id,name,expires,t_1,t_2,t_3,t_4,t_5,t_6,t_7,t_8,t_9,t_10,t_11,t_12,t_13,t_14,t_15,t_16,t_17,t_18,t_19,t_20,t_21,t_22,t_23,t_24,t_25,t_26,t_27,t_28,t_29,t_30,t_31,t_32,t_33,t_34,t_35,t_36,t_37,t_38,t_39,t_40,t_41,t_42,t_43,t_44,t_45,t_46,t_47,t_48,t_49,t_50,t_51,t_52,t_53,t_54,t_55,t_56,t_57,t_58,t_59,t_60,t_61,t_62,t_63,t_64,t_65,t_66,t_67,t_68,t_69,t_70,t_71,t_72,t_73,t_74,t_75,t_76,t_77,t_78,t_79,t_80,t_81,t_82,t_83,t_84,t_85,t_86,t_87,t_88,t_89,t_90,t_91,t_92,t_93,t_94,t_95,t_96,t_97,t_98,t_99,t_100,Axial Piston Model,InfoCore Size,Arakyd Vocabulator Model,Nanochip Model,AutoTerrain Tread Count,Repulsorlift Motor HP,Astrogation Buffer Length,Polarity Sinks,Cranial Uplink Bandwidth,Sonoreceptors,Productivity
0,Excawalker Botsky,57.0,43.187584334425075,39.23663055870526,35.436777902005346,31.796450930319764,28.32362374050941,25.02579685206014,21.909975622743747,18.98265018818146,16.249776925309916,13.716761439749689,11.388443077076221,9.26908095799336,7.3623415374093355,5.671287687415211,4.198369304165954,2.945415438663838,1.9136279514445103,1.1035766911654261,0.5151961970968619,0.14778392551542183,0.0,0.06986848563029291,0.3547801870877991,0.851496970659269,1.5561576101427506,2.4642851566560617,3.570795832347774,4.870009448010711,6.355661344597982,8.020915858641388,9.858381311572483,11.86012652294608,14.017698847566216,16.322143736514665,18.764025822081866,21.33345152660052,24.02009319518156,26.813214752352582,29.701698882598933,32.67407573480714,35.71855315061095,38.82304841663976,41.97522154066977,45.16251005167726,48.37216532379477,51.591290424169564,54.806879484724504,58.0058585978218,61.1751282358286,64.30160719458607,67.37227806077982,70.37423420321377,73.294728287986,76.12122231756729,78.84143919378211,81.44341580469221,83.91555763538244,86.2466949026494,88.4261402135924,90.44374774810696,92.28997396528075,93.9559398336924,95.43349458561184,96.71528099510466,97.79480218003735,98.6664899279864,99.32577454604885,99.76915623455614,99.99427798468984,100.0,99.78647564182721,99.35522889862462,98.70923337918505,97.85299282976877,96.79262317513513,95.53593608347572,94.09252405525027,92.47384703592557,90.69332055261602,88.76640537462724,86.71069869790283,84.54602685337174,82.29453953919945,79.98080557694244,77.6319101916036,75.27755381558968,72.95015241657491,70.68493934926177,68.52006873104848,66.49672034159694,64.65920604630497,63.055077743677565,61.73523683660495,60.7540452275404,60.16943783758033,60.04303664944952,60.440266274387035,61.430471042931615,63.08703361961664,65.48749514156201,model C,-0.4353238266558913,kappa,v1.0,1.7637252379844415,1.813275606780154,-0.45822753863983195,0.4450386814163506,99.0,93.0,-80.0
1,Extraminer Boterson I,31.0,69.46082643651458,64.52280637826169,59.62485643326596,54.79656625547774,50.06522100949956,45.45586231421313,40.99134918640605,36.69241898439882,32.57774835167167,28.66401416049136,24.96595445553813,21.496429397532545,18.266482206862346,15.285400107209366,12.560775269176316,10.09856575391373,7.9031564567468235,5.977420050802331,4.322777930635369,2.9392611558563884,1.825571394757909,0.9791418679415335,0.39619829194468503,0.07181982286757262,0.0,0.173707689448305,0.5849480277621015,1.2248233655613334,2.0835942111629353,3.1507401742078653,4.415020909287935,5.86453705957257,7.486791200435881,9.268748783083337,11.196899078178731,13.257316119471046,15.435719647421362,17.717536052829566,20.087959320461383,22.532011972675235,25.034606013049,27.580603870006993,30.154879340446804,32.74237853336615,35.32818081348963,37.89755974489589,40.4360440346442,42.92947847640144,45.36408489406902,47.72652308540963,50.00395176567437,52.184089511229125,54.255275703181894,56.20653147100947,58.02762063618433,59.709110655801624,61.242433566205776,62.61994692661745,63.83499476276084,64.8819685104897,65.75636795941494,66.45486219653138,66.97535054984424,67.31702353199623,67.48042378389457,67.46750701833774,67.2817029636425,66.92797630727016,66.41288763945413,65.74465439682655,64.93321180604518,63.99027382742069,62.92939409854183,61.766026877904665,60.51758798853797,59.2035157616304,57.845331980157596,56.466702822508964,55.09349980611415,53.753860731070155,52.478250623768666,51.29952268052256,50.25297921119175,49.37643258281258,48.71026616322238,48.297495264686766,48.18382808752659,48.41772666374666,49.05046780065918,50.13620402451399,51.73202452412301,53.89801609448854,56.69732408042829,60.19621332020573,64.464129089153,69.57375804330009,75.6010891630012,82.62547469656171,90.72969110386558,100.0,model E,-0.2235532753267142,kappa,v1.0,1.7659558308772216,1.7622337518528939,-0.12868436947755368,0.16961783462948135,48.0,94.0,-27.180361903228516
2,Waterborer Botski Jr.,40.0,90.10306481049183,81.44900107228446,73.33011703855261,65.7304723689716,58.63432887974687,52.026150543613845,45.890603489838064,40.21255600421508,34.977078529070496,30.169443663259983,25.775126162169272,21.779802937714095,18.16935305834032,14.929857749023757,12.047600391270372,9.509066523116125,7.300943839127042,5.410122190399201,3.823693584558701,2.5289521857617587,1.513394314694588,0.7647184485734566,0.2708252211447356,0.019817422684754473,0.0,0.1998800564269269,0.6081668518321054,1.2137718026120734,2.005808481693527,2.973592618533119,4.106642099117618,5.394676965963803,6.827619418118525,8.395593811158657,10.088926657191188,11.898146624853144,13.813984539311527,15.827373382263449,17.92944829193603,20.111546563086577,22.365207647002194,24.68217315150037,27.05438684092837,29.473994636163603,31.933344614613603,34.424987010215716,36.9416742134377,39.47636077127707,42.02220338726149,44.572560921448755,47.12099439042653,49.661266967312756,52.187343981755205,54.6933929199318,57.17378342455077,59.62308729484976,62.03607848659718,64.40773311209087,66.73322944015922,69.00794789616039,71.2274710619826,73.38758367604441,75.48427263329405,77.51372698520989,79.4723379398006,81.35669886160456,83.16360527169047,84.89005484765691,86.53324742363259,88.09058499027643,89.559671694777,90.93831384085306,92.22451988875399,93.4165004552582,94.51266831367491,95.51163839384336,96.41222778213229,97.21345572144139,97.91454361119936,98.51491500736583,99.01419562242957,99.41221332541058,99.70899814185792,99.90478225385124,100.0,99.99528787544378,99.89148453185189,99.68963077742457,99.39096957689098,98.99694605151153,98.50920747907547,97.92960329390306,97.26018508684375,96.50320660527792,95.6611237531156,94.73659459079693,93.73247933529204,92.6518403601009,91.49794219525351,90.2742515273107,model A,-0.57727837317952,beta,windows 2000,1.3923691436695655,1.3901454579930497,-0.5018953278962262,0.5049290344783912,44.0,12.0,100.0
3,Excawalker Botson,95.0,77.24846326498238,70.44647982943927,64.00816996973761,57.926446316256154,52.19422149937365,46.804408149468884,41.749918896920626,37.02366637210764,32.618563205408684,28.52752202720254,24.743455467867964,21.25927615778373,18.067896727328616,15.162229806881356,12.535188026820743,10.179684017525565,8.088630409374533,6.254939832746453,4.671524918020096,3.3312982955742254,2.227172595787585,1.3520604490389745,0.6988744857071254,0.2605273361708494,0.029931630808878045,0.0,0.16364507412296966,0.5137794835565643,1.0433158586795384,1.7451668298706802,2.6122450275087328,3.6374630819724625,4.81373362364067,6.133969282892096,7.59108269010552,9.177986475659695,10.88759326993342,12.712815703305418,14.646566406154502,16.68175800885941,18.811303141798888,21.028114435351757,23.32510451989675,25.695186025812646,28.131271583478195,30.62627382327221,33.1731053755734,35.76467887076058,38.3939069392125,41.05370221130792,43.73697731742561,46.43664488794433,49.14561755324291,51.85680794370003,54.56312868969444,57.257492421605015,59.9328117698104,62.58199936468949,65.19796783662099,67.77362981598375,70.30189793315638,72.77568481851772,75.18790310244644,77.53146541532159,79.79928438752165,81.98427264942549,84.07934283141199,86.07740756385978,87.97137947714758,89.75417120165432,91.41869536775866,92.9578646058394,94.3645915462753,95.63178881944502,96.7523690557275,97.71924488550145,98.52532893914562,99.16353384703879,99.62677223955981,99.90795674708716,100.0,99.89581462867679,99.58831326349652,99.07040853483772,98.33501307307944,97.37503950860014,96.18340047177884,94.75300859299422,93.07677650262491,91.14761683104992,88.95844220864788,86.50216526579759,83.7716986328778,80.75995494026729,77.45984681834479,73.86428689748924,69.96618780807913,65.75846218049335,61.234022645110805,56.38578183230987,model A,-0.2901787315499188,beta,v1.0,1.5191567128208008,1.5203399131090276,-0.21703856870850136,0.2309736175566958,53.0,15.0,96.95545910203057
4,Excavator Botsky I,81.0,0.0,2.924671125352613,5.3262485546319205,7.247429581975373,8.730117169796953,9.815342319591325,10.543190173484007,10.952729846527678,11.081947989744492,10.967686083914527,10.64558146411025,10.150012074977125,9.514044956760197,8.769388462076858,7.946348203435622,7.073786731500956,6.179086944104248,5.288119226000806,4.425212319372938,3.613127925079098,2.8730390346491155,2.224511993025527,1.685492292050909,1.2722940947013366,0.999593490065921,0.8804254790723911,0.9261846909587824,1.1466298304911435,1.5498918559273516,2.142485887727087,2.9293268480076784,3.9137488307461723,5.0975282027274655,6.480910435238566,8.062640666508624,9.839997994895434,11.808833502817919,13.963612011434314,16.29745756606704,18.802202652373094,21.468441143260797,24.28558497655273,27.241924563394313,30.32469292740892,33.52013357459867,36.81357209399177,40.189491489035554,43.63161123973537,47.122970095540325,50.64601259897449,54.18267934001422,57.71450094121161,61.222695773564304,64.68827140313108,68.09212976839349,71.41517608836368,74.63843150143803,77.7431494349976,80.71093570575401,83.52387235084142,86.16464518965394,88.6166751164317,90.8642531235892,92.89267905579302,94.68840409478376,96.23917697494439,97.53419392961528,98.56425236815485,99.32190828374578,99.80163739194853,100.0,99.91580960685805,99.55030523399324,98.90732748692554,97.99349834750734,96.81840469695344,95.39478556961592,93.7387231375053,91.86983742555798,89.81148475765141,87.59095993336071,85.23970213546694,82.79350456820889,80.29272782627783,77.78251699456654,75.31302247865338,72.93962456604459,70.72316171815064,68.73016259301848,67.03308179880332,65.7105393779915,64.8475640223665,64.53584001871619,64.87395792530033,65.96766897904706,67.93014323351028,70.88223142756192,74.95273058483491,80.27865334391704,87.00550101927922,model E,0.03488860921138759,zeta,windows 2000,0.96,0.9901743266690837,-0.6435670022728921,0.6454445081633609,59.0,92.0,-45.406343759194016
5,Wallminer Botski,52.0,33.00505620262759,34.03800931169593,34.41831520597543,34.22892676018808,33.548079136867216,32.44939994498421,31.00201939857503,29.270680475366927,27.31584907540504,25.19382417967902,22.956848008749684,20.653216181375665,18.327387873139976,16.020095975076725,13.768457252297678,11.60608250261896,9.563186715187616,7.6666992291083025,5.940373892069837,4.404899218971988,3.0780085505519095,1.9745902120109455,1.1067976716411714,0.4841596994520041,0.11369052579689222,0.0,0.14540374898264619,0.5500333358901998,1.2119464187183961,2.127236908940378,3.290145130132883,4.693167976603228,6.327169072015769,8.181488928018489,10.244055102869872,12.501492360065145,14.939232826963503,17.541626153413898,20.29204967038257,23.17301854857916,26.166295957083147,29.253003221971134,32.41372998494313,35.62864436194874,38.877603101814714,42.14026174487119,45.396184781577425,48.6249558111502,51.80628770018897,54.92013274130311,57.94679281173833,60.86702953200383,63.662174424498076,66.31423907213627,68.80602527697616,71.12123521884558,73.24458161396883,75.16189787359167,76.86024826261124,78.32803805819977,79.55512370843265,80.53292299091385,81.25452517140482,81.71480116244894,81.91051368199835,81.84042741204239,81.50541915723147,80.90858800350695,80.05536547672429,78.95362570128344,77.61379555875058,76.04896484649116,74.27499643628917,72.31063643298182,70.17762433307783,67.90080318339125,65.50822973966386,63.03128462519246,60.50478248945732,57.967082166746145,55.460196834783204,53.029904173353174,50.72585652293304,48.601691043309486,46.7151398722184,45.12814028395532,43.90694484802079,43.1222315877275,42.84921413884593,43.16775190821385,44.16246023237682,45.92282053620506,48.54329049152446,52.123414175743655,56.767932230477314,62.58689202018157,69.69575779076213,78.21552082822694,88.27280961728444,100.0,model E,0.023326135990150654,kappa,v1.0,1.8189988815772864,1.7635783680456525,-0.22043171095568803,0.20039310675156216,23.0,5.0,61.45171817579458
6,Excawalker Botsky I,74.0,41.9930704213417,37.32962820370791,33.01520498151039,29.035467222793187,25.37636691349657,22.02414155745701,18.965314176407155,16.186693309975865,13.675373015688203,11.418732868965416,9.404437963124959,7.620438909380494,6.054971836841851,4.69655839251509,3.5340057413024595,2.5564065660024085,1.7531390673095595,1.113866963814777,0.6285394920050913,0.2873914062637427,0.08094297887015932,0.0,0.03565377772506349,0.17928113801342216,0.42254442472926135,0.757391499633051,1.176055742381395,1.671056050527129,2.23519683951927,2.8615680427030292,3.543545111319838,4.274789014507342,5.049246239299312,5.861148790625789,6.705014191312969,7.575645482083286,8.468131221555366,9.377845486243956,10.300447870560147,11.23188348681108,12.168382965200152,13.106462453827056,14.04292361868745,14.97485364367346,15.899625230573225,16.814896599071112,17.718611486747875,18.60899914908006,19.484574359440852,20.34413740909935,21.18677410722098,22.011855780867325,22.81903927499608,23.608266952461435,24.3797666940133,25.134051898298292,25.871921481858873,26.59445987913377,27.30303704245811,27.999308442062887,28.68521506607576,29.36298342051985,30.035125529315387,30.704438934278084,31.374006695120123,32.04719738944991,32.727665112771916,33.419349478487234,34.12647561789228,34.85355418018062,35.60538133244144,36.387038759660385,37.20389366471923,38.06159876839572,38.96609230936435,39.92359804419495,40.94062524735459,42.02396871120575,43.180708746007454,44.41821117991475,45.74412735897906,47.16639414714796,48.69323392626487,50.333154596070315,52.09494957419981,53.98769779618623,56.020763715457534,58.20379730333899,60.54673404905111,63.05979495971133,65.75348656033269,68.63860089382506,71.72621552099386,75.02769352054098,78.55468348906479,82.31911954105945,86.33322130891557,90.60949394291968,95.16072811125483,100.0,model C,-0.866426408973988,zeta,windows 2000,0.974579008507178,0.981763390170518,-0.93,0.8838987321358044,28.0,2.0,100.0
7,Wallpulverizer Botberg Jr.,53.0,100.0,92.49041091546474,85.32750410137749,78.50499406140598,72.01659529921803,65.8560223184814,60.01698962286388,54.49321171603325,49.278403101657275,44.366278283403744,39.75055176494045,35.424938049935136,31.383151642055594,27.618907044969614,24.125918762345,20.897901297849444,17.928569155150832,15.211636837916881,12.740818849815385,10.509829694514107,8.51238387568083,6.742195896983348,5.192980262089426,3.8584514746668597,2.7323240383834135,1.808312456906899,1.0801312339050324,0.5414948730456423,0.18611787799647586,0.0077147524253297324,0.0,0.15668812438821839,0.4714936292578133,0.938131018276581,1.5503147951121885,2.3017594634325453,3.186179526905318,4.197289489198384,5.328803853979458,6.574437124916321,7.9279038056767694,9.382918399928615,10.933195411339588,12.572449343577489,14.294394700310109,16.09274598520518,17.961217701930522,19.89352435415389,21.883380445543096,23.924500479765847,26.01059896049,28.135390391383353,30.292589276113564,32.47591011834852,34.67906742175602,36.89577569000371,39.11974942675949,41.344703135691034,43.5643513204662,45.772408484752766,47.962589132218525,50.128607766531196,52.26417889135859,54.36301701036857,56.41883662722872,58.42535224560695,60.376278369171,62.26532950158866,64.08622014652768,65.83266480765599,67.49837798864118,69.07707419315106,70.56246792485351,71.94827368741623,73.22820598450707,74.39597931979367,75.44530819694394,76.36990711962551,77.16349059150633,77.81977311625427,78.33246919753672,78.69529333902179,78.9019600443771,78.94618381727064,78.82167916136987,78.52216058034277,78.04134257785708,77.37293965758056,76.51066632318113,75.44823707832636,74.17936642668408,72.6977688719221,70.99715891770828,69.07125106771036,66.91375982559599,64.518399695033,61.878885179689306,58.98893078323254,55.84225100933061,52.432560361651205,model A,-0.7065879781806222,alpha,windows 2000,1.3089004468166197,1.322519550254616,-0.2683148436562667,0.2378887801837156,41.0,81.0,35.6516698407674
8,Excavator Boterson II,53.0,49.740090826854754,46.905295928826646,44.113008009847874,41.368714939380105,38.677705078408906,36.045067279443806,33.47569088651825,30.974265735189586,28.545282152539116,26.19303095717205,23.92160345921753,21.73489146032862,19.636587253682322,17.630183623979548,15.718973847445131,13.906051691827859,12.194311416400415,10.586447771959419,9.084956000825418,7.692131836842893,6.410071505380219,5.240671723329733,4.185629699107679,3.2464431326542287,2.424410215433495,1.7206296304334845,1.136000552166145,0.6712226466673658,0.3267960714969501,0.10302147573860863,0.0,0.017633276412710605,0.15562342863222714,0.4134730718379914,0.7904853127333524,1.2857637495456002,1.8982124720259193,2.6265360614494613,3.4692395906152798,4.424628623846342,5.490809216989562,6.665687917415776,7.946971764019748,9.332168287220163,10.818585508959606,12.403331942704645,14.083316593445721,15.855248957697226,17.715639023497488,19.660797270408708,21.686834669517076,23.789662683432685,25.964993266289532,28.208338863745563,30.51501241298265,32.88012734270655,35.29859757314702,37.76513751605772,40.27426207471617,42.820286643923865,45.39732711000626,47.999299850812655,50.619921735716375,53.25271012561454,55.89098287292832,58.52785832160276,61.156255307106875,63.76889315643345,66.35829168809938,68.91677121214542,71.43645253013628,73.90925693516046,76.3269062118305,78.68092263628297,80.9626289761781,83.16314849070025,85.27340493055773,87.2841225379825,89.18582604673084,90.96884068208259,92.62329216084186,94.13910669133627,95.50601097341784,96.71353219846218,97.7509980493688,98.60753670056145,99.27207681798754,99.73334755911849,99.97987857294946,100.0,99.78184247231322,99.31333711345599,98.58221553851963,97.57600985411895,96.28205265839293,94.6874770410043,92.77921658313986,90.54400535751026,87.96837792835005,85.03866935141774,model C,-0.49500275620835815,beta,windows 2000,1.4438643725841538,1.4714643589940957,-0.4147221603714303,0.46480968669298967,64.0,0.0,83.56846982130816
9,Pushwidget Boterson,74.0,0.0,8.262395549406149,15.523516011819332,21.84607378863018,27.29189322677472,31.921803759213752,35.79553773141411,38.97163291383187,41.5073397003975,43.458532993002876,44.87962877199031,45.82350535264341,46.341429327679904,46.48298619574644,46.29601567591523,45.826551708182656,45.11876713996977,44.214923098624766,43.1553230499274,41.9782715425952,40.72003763879173,39.41482303063682,38.094734842718424,36.78976312060686,35.52776300537053,34.334441594093995,33.233349486397536,32.245877016958815,31.391255174036747,30.68656120399691,30.14672890183881,29.784563587725692,29.61076176951542,29.633935491294196,29.860641367911022,30.29541430551576,30.94080590809708,31.797427570024478,32.86399825459003,34.13739695855419,35.61271986269177,37.283342168340944,39.14098461995384,41.17578471364885,43.37637259176505,45.72995162341826,48.22238367106051,50.838279043038625,53.561091132157266,56.373215740242486,59.25609508870849,62.19032651512456,65.15577585578562,68.13169551428301,71.09684721607937,74.02962944908379,76.90820959022793,79.71066071804826,82.41510311126441,84.99985043336453,87.44356060319005,89.72539135152229,91.82516046367117,93.72351070806788,95.40207945085567,96.84367295648659,98.03244537431723,98.95408241120587,99.59598969011795,99.94748579472223,100.0,99.74727468884936,99.18557245469388,98.31388789009408,97.13416406135647,95.65151366915116,93.87444489512492,91.81509193452213,89.48945021480125,86.91761630025931,84.12403248265392,81.13773605782933,77.99261328834623,74.72765805210634,71.38723517698804,68.02134846147713,64.68591338130652,61.44303448208495,58.36128745794689,55.51600591618222,52.98957282788683,50.87171666460939,49.259812220988096,48.25918612340857,47.98342702465182,48.55470048454588,50.10406853661957,52.77181394076208,56.7077691218763,62.071649794547625,model C,-0.7246041014664468,gamma,v1.0,1.5856475448479928,1.602597502591567,-0.17513009800234625,0.11608790463301635,13.0,48.0,90.93096799449233
