id,name,expires,t_1,t_2,t_3,t_4,t_5,t_6,t_7,t_8,t_9,t_10,t_11,t_12,t_13,t_14,t_15,t_16,t_17,t_18,t_19,t_20,t_21,t_22,t_23,t_24,t_25,t_26,t_27,t_28,t_29,t_30,t_31,t_32,t_33,t_34,t_35,t_36,t_37,t_38,t_39,t_40,t_41,t_42,t_43,t_44,t_45,t_46,t_47,t_48,t_49,t_50,t_51,t_52,t_53,t_54,t_55,t_56,t_57,t_58,t_59,t_60,t_61,t_62,t_63,t_64,t_65,t_66,t_67,t_68,t_69,t_70,t_71,t_72,t_73,t_74,t_75,t_76,t_77,t_78,t_79,t_80,t_81,t_82,t_83,t_84,t_85,t_86,t_87,t_88,t_89,t_90,t_91,t_92,t_93,t_94,t_95,t_96,t_97,t_98,t_99,t_100,Astrogation Buffer Length,AutoTerrain Tread Count,Cranial Uplink Bandwidth,Arakyd Vocabulator Model,Axial Piston Model,Nanochip Model,Polarity Sinks,Repulsorlift Motor HP,Sonoreceptors,InfoCore Size,Productivity
0,Thumpvator Botson,27.0,75.82784666872804,78.92666503367735,81.78980636359657,84.42239977222792,86.8295743733138,89.0164592805965,90.98818360781834,92.74987646872165,94.30666697704876,95.66368424654195,96.82605739094356,97.7989155239959,98.58738775944133,99.19660321102212,99.63169099248063,99.89778021755914,100.0,99.94347945354555,99.73334769193804,99.37473382891984,98.8727669782333,98.23257625362066,97.45929076882426,96.55803963758649,95.53395197364962,94.39215689075594,93.13778350264778,91.77596092306753,90.31181826575745,88.75048464445983,87.09708917291708,85.35676096487144,83.53462913406527,81.63582279424087,79.66547105914059,77.62870304250667,75.53064785808155,73.37643461960745,71.17119244082674,68.92005043548176,66.62813771731476,64.30058340006809,61.9425165974841,59.559066423305104,57.15536199127336,54.736532415131244,52.30770680862108,49.87401428548519,47.44058395946584,45.01254494430537,42.59502635374615,40.193157301530476,37.812066901400634,35.45688426709898,33.13273851236783,30.844758750949484,28.598074096586256,26.397813663020496,24.249106563994527,22.157081913250614,20.126868824531158,18.163596411578407,16.272393788134725,14.458390067942412,12.72671436474377,11.082495792281154,9.530863464296877,8.076946494533258,6.725873996732616,5.482775084637243,4.352778871989492,3.3410144725316755,2.452611000006124,1.6926975681551506,1.0664032907210412,0.5788572814461949,0.2351886540728384,0.04052652234335305,0.0,0.11873820078515204,0.4018702384411219,0.8545252267102307,1.4818322793347998,2.2889205100571077,3.2809190326195092,4.462956960764336,5.840163408233899,7.417667488770477,9.200598316116485,11.194085004014195,13.403256666205824,15.833242416433887,18.489171368440463,21.376172635968118,24.499375332758976,27.86390857255555,31.47490146909992,35.33748313613469,39.45678268740185,43.8379292366441,8.051332304554947,0.3355115421793293,0.7731580540775127,model E,kappa,v2.0,1.6140195021136303,-1.6079214921545169,84.0,28.0,-81.05328179310794
1,Extrapulverizer Botberg I,80.0,100.0,98.34313884158772,96.66160317923888,94.95677440188756,93.23003389846791,91.48276305791403,89.71634326916006,87.93215592114011,86.13158240278833,84.31600410303876,82.4868024108256,80.64535871508298,78.79305440474495,76.93127086874568,75.06138949601927,73.18479167549985,71.30285879612154,69.41697224681846,67.52851341652475,65.63886369417449,63.74940446870183,61.86151712904089,59.97658306412579,58.095983662890625,56.22110031426957,54.35331440719667,52.49400733060612,50.64456047343201,48.80635522460844,46.98077297306958,45.16919510774949,43.37300301758235,41.59357809150222,39.83230171844328,38.090555287339626,36.369720187125374,34.67117780673463,32.99630953510157,31.346496761160253,29.723120873844817,28.12756326208941,26.561205314828136,25.025428420995105,23.52161396952445,22.05114334935028,20.61539794940675,19.215759158627925,17.853608365947974,16.530326960300986,15.24729633062111,14.005897865842448,12.807512954899122,11.653522986725246,10.545309350254971,9.484253434422389,8.471736628161644,7.509140320406825,6.597845900092068,5.739234756151506,4.934688277519257,4.1855878531294115,3.493314871916116,2.859250722813506,2.284776794755699,1.7712744766767694,1.3201251575108808,0.9327102261921522,0.6104110716547018,0.3546090828326187,0.16668564866006652,0.048022158071149075,0.0,0.024000563380693184,0.12140523714742216,0.29359541023426083,0.5419524715753279,0.867857810104757,1.2726928147566672,1.7578388744651916,2.3246773781644197,2.9745897147884994,3.7089572732715355,4.52916144254769,5.436583611551024,6.432605169215684,7.518607504475806,8.695972006265462,9.966080063518845,11.330313065170017,12.790052400153124,14.3466794574023,16.001575625851633,17.756122294435258,19.61170085208731,21.569692687741878,23.63147919033312,25.79844174879512,28.07196175206203,30.453420589067946,32.944199648747045,-68.40357792603928,0.040237806516853714,0.31199991637845603,model C,beta,v1.5,1.175973014922691,-1.1840837426939967,99.0,40.0,-49.98743404104235
2,Fireminer Botchik,35.0,92.57939826164237,90.69524667004025,89.02222417427329,87.54441541691646,86.24634762977132,85.11299063386592,84.12975683945477,83.282501246019,82.55752144226618,81.94155760613043,81.4217925047724,80.98585149457924,80.62180252116458,80.31815611936867,80.06386541325818,79.84832611612633,79.66137653049289,79.4932975481041,79.33481264993276,79.17708790617812,79.01173197626605,78.83079610884884,78.62677414180538,78.39260250224102,78.12166020648766,77.80776886010368,77.44519265787403,77.02863838381013,76.55325541114996,76.01463570235798,75.4088138091252,74.73226687236914,73.98191462223383,73.15511937808981,72.24968604853414,71.26386213139043,70.1963377137088,69.04624547176579,67.81316067106467,66.49710116633499,65.09852740153296,63.61834240984131,62.05789181366922,60.41896382465243,58.70378924365319,56.91504146076025,55.05583645528894,53.129732795781024,51.14073164000486,49.093276734955225,46.9922544168535,44.84299361114768,42.65126583251201,40.423285184847465,38.16570836128142,35.88563464416792,33.590605905087436,31.28860660484679,28.98806379347964,26.69784711024597,24.427268783632325,22.186083631351764,19.984489060343808,17.83312506677465,15.743074236036799,13.725861742749451,11.793455350758238,9.958265413135345,8.233144872179404,6.631389259415692,5.166736695595855,3.853367890698181,2.705906143927408,1.7394173437148341,0.9694099677182563,0.41183508282189374,0.08308634513674071,0.0,0.1798548819755865,0.6403724148539132,1.399716611651866,2.476494074612791,3.8897539952067968,5.658988154130137,7.804130921305931,10.345559255883614,13.30409270623923,16.70099340997532,20.557966093920797,24.89715807413136,29.74115925588916,35.11300213370262,41.036161791306945,47.53455590166371,54.632544726960994,62.35493111861396,70.72696051726312,79.77432095277686,89.52314304424867,100.0,65.40502275228638,0.1867854465257246,0.6231679024861682,model E,kappa,v2.0,1.4361232643250323,-1.469353808589573,50.0,58.0,-57.37460978051587
3,Wallvator Botchik I,41.0,84.26913005957222,87.44095931823583,90.22834840679472,92.64187075714601,94.6923173980124,96.39068882337327,97.74818651329002,98.77620410712652,99.48631822916369,99.8902789666089,100.0,99.82754838600384,99.38513399260933,98.68509858671534,97.73990457411294,96.56212339186234,95.1644235530645,93.55955834402714,91.76035317382556,89.7796925762579,87.6305068641951,85.32575843632529,82.87842773629313,80.30149886423322,77.60794484069864,74.81071252298368,71.92270717384133,68.9567766825955,65.92569543864755,62.84214785737756,59.718711558440354,56.56784019645579,53.401845944093786,50.23288162755419,47.07292251444092,43.933747754030556,40.82692146993621,37.763773505165304,34.7553798195722,31.81254253970542,28.94576966104958,26.165254402661702,23.480854214202207,20.902069435360644,18.438021607675577,16.097431438749958,13.88859641885979,11.819368089958695,9.897128967076215,8.12876911211097,6.520662360018682,5.078642197394196,3.807977293448602,2.7133466833808804,1.7988146041439514,1.0678049826053084,0.5230755761026098,0.1666917653934928,0.0,0.023600895947786204,0.23732198589989287,0.6401901216851966,1.230403529220881,2.005303515830355,2.9613458299552065,4.0940716732618645,5.398078365142949,6.866989659613109,8.493425714599693,10.268972713627452,12.184152139898693,14.228389702766886,16.38998391660638,18.656074332075136,21.012609419773067,23.444314106295007,25.934656962677128,28.46581704523978,31.018650388822692,33.572656152417785,36.105942417192836,38.59519163691322,41.01562574075557,43.34097088851797,45.54342187822417,47.59360620612105,49.460547779073,51.11163027934871,52.5125601818051,53.627329423461845,54.418177725475495,54.84555456750417,54.8680808144688,54.44250999570785,53.523689236528725,52.06451984215048,50.01591753404478,47.32677233866806,43.94390812859107,39.81204181602093,89.80258554270867,0.3956106125321699,0.5738915788289295,model E,kappa,v2.0,1.567330349823636,-1.613802949919389,17.0,62.0,-79.40304412349587
4,Pullwaller Botsky I,35.0,63.18628290158797,67.51974570006558,71.59177822996796,75.39734910379036,78.93239175126801,82.19377604906629,85.1792799504708,87.88756111507759,90.3181285384832,92.47131418197492,94.34824460222083,95.95081258096005,97.2816487546927,98.34409324437024,99.14216728508555,99.68054485576292,99.96452430884847,100.0,99.79343391777739,99.35182731333256,98.68269233009966,97.79402363348527,96.69427004055842,95.39230614974092,93.89740397049732,92.21920455302508,90.36768961794482,88.35315318599037,86.18617320769891,83.87758319310115,81.4384438414115,78.88001467071807,76.21372564767297,73.45114881718237,70.6039699320967,67.68396008290071,64.7029473274036,61.67278832042934,58.60533994350663,55.51243093455898,52.40583351759519,49.29723503239906,46.19820956421988,43.120189573462355,40.07443752537682,37.07201751974945,34.12376692059226,31.24026798583339,28.431819497007055,25.708408388943955,23.079681379461164,20.554916599052543,18.14299522057836,15.852373088956236,13.69105235085043,11.666553084362667,9.785884928721849,8.055518713974449,6.4813580906744,5.0687111595736045,3.8222621013116678,2.7460428061062157,1.843404503443175,1.1169893917668046,0.5687022681696652,0.19968215808302786,0.010273944966851065,0.0,0.1675318117702636,0.5106616159648047,1.026274025059879,1.710317658011271,2.557776769944413,3.5626428818444094,4.717886410246138,6.015428296924728,7.446111638585114,8.999673316552819,10.664715626463533,12.428677907953812,14.277808174350714,16.19713474236249,18.17043786176778,20.18022134510687,22.20768419737084,24.23269224569306,26.23374976903776,28.187971127890744,30.071052393950264,31.857242979816203,33.519317268680346,35.02854624401716,36.35466911927327,37.46586496755847,38.32872435133418,38.90822095210497,39.1676832001092,39.06876590400754,38.57142188057399,37.63387358438621,-36.73775885677808,-0.14852688617526,0.11161415323439669,model B,gamma,windows 2000,1.0809138031214587,-1.2115944141176782,2.0,96.0,-49.88054345722955
5,Rockvator Botberg II,91.0,100.0,99.36603150773134,98.65484743484583,97.86884668554632,97.01042816403556,96.08199077451633,95.08593342119143,94.02465500826365,92.90055443993577,91.71603062041059,90.4734824538909,89.17530884457946,87.8239086966791,86.42168091439258,84.9710244019227,83.47433806347226,81.934020803244,80.35247152544078,78.73208913426531,77.07527253392045,75.38442062860894,73.6619323225336,71.91020651989719,70.1316421249025,68.32863804175236,66.5035931746495,64.65890642779677,62.7969767053969,60.9202029116527,59.03098395076699,57.1317187269425,55.224806144382065,53.31264510728847,51.39763451986447,49.48217328631287,47.56866031083648,45.65949449763806,43.75707475092041,41.86379997488633,39.98206907373857,38.11428095167996,36.262834512913294,34.430128661641305,32.61856230206683,30.830534338392628,29.06844367482152,27.334689215556264,25.63166986479969,23.961784526754506,22.32743210562359,20.731011505609686,19.17492163091558,17.661561385744072,16.19332967429795,14.772625400779996,13.401847469393013,12.08339478433976,10.819666249823051,9.613060770045687,8.465977249210425,7.380814591520039,6.359971701177357,5.405847482385165,4.520840839346235,3.7073506762633546,2.9677758973393096,2.3045154067769142,1.7199681087789138,1.216532907548163,0.7966087072873669,0.4625944121993794,0.21688892648697383,0.06189115435290953,0.0,0.03361436763103177,0.16513316144880483,0.3969552856560922,0.7314796444556398,1.171105142050329,1.7182306826428781,2.3752551704361013,3.144577509632798,4.028596604435728,5.029711359047665,6.150320677671435,7.3928234645098385,8.759618623765649,10.253105059641623,11.87568167634059,13.629747378065272,15.517701069018544,17.54194165340317,19.70486803542192,22.008879119277584,24.456373809172955,27.049751009310775,29.791409623893934,32.68374855712515,35.72916671320724,38.93006299634297,-43.17287537417038,-0.0004228062728732773,0.15543724935069994,model C,beta,v1.5,1.2147864191057272,-1.1598108981294821,65.0,25.0,-100.0
6,Pushwidget Botberg Jr.,21.0,99.84486553848072,99.9848526417046,100.0,99.89381476378722,99.66980408348657,99.33147510951834,98.88233499230282,98.3258908822603,97.66564992981111,96.90511928537553,96.04780609937386,95.09721752222639,94.05686070435343,92.93024279617526,91.7208709481122,90.43225231058457,89.06789403401261,87.63130326881665,86.12598716541699,84.55545287423391,82.92320754568775,81.23275833019875,79.48761237818725,77.69127684007353,75.84725886627788,73.95906560722064,72.03020421332208,70.06418183500249,68.06450562268218,66.03468272678144,63.978220297720576,61.89862548591989,59.79940544179967,57.684067315780204,55.55611825828183,53.41906541972481,51.276415950529454,49.13167700111606,46.98835572190492,44.84995926331634,42.71999477577062,40.60196940968805,38.49939031548893,36.41576464359357,34.35459954442224,32.31940216839528,30.31367966593296,28.34093918745558,26.40468788338344,24.508432904136836,22.655681400136064,20.849940521801457,19.09471741955326,17.393519243811806,15.749853144997383,14.167226273530275,12.649145779830809,11.199118814319265,9.820652527415943,8.517254069541139,7.292430591115166,6.14968924255831,5.09253717429088,4.124481536733144,3.249029480305432,2.4696881554280403,1.789964712521236,1.2133663020053627,0.7434000743006877,0.3835731798274935,0.13739276900613834,0.008365992256859541,0.0,0.11580194265582726,0.35927897064463904,0.7339382343867481,1.2432868843024671,1.8908320708120638,2.680080944335866,3.614540655294126,4.697718354107186,5.933121191195331,7.3242563169788415,8.87463088187806,10.587752036313242,12.467126930704682,14.516262715472722,16.73866654103762,19.1378455578197,21.71730691623924,24.480557766716547,27.431105259671945,30.572456545525682,33.90811877469807,37.44159909760944,41.17640466468005,45.11604262633023,49.26402013298027,53.62384433505044,58.19902238296108,55.75108963533066,-0.53,-0.1147246205029649,model A,alpha,v0.5,0.7071404715838049,-0.834025922788101,44.0,81.0,13.496295093110334
7,Thumpwaller Boterson II,27.0,100.0,98.9479586441793,97.82734923680863,96.64072060129027,95.3906215610264,94.07960093941928,92.71020755987117,91.28499024578427,89.80649782056088,88.27727910760316,86.69988293031341,85.07685811209386,83.41075347634673,81.70411784647428,79.95950004587871,78.17944889796232,76.36651322612728,74.52324185377591,72.65218360431037,70.75588730113296,68.83690176764588,66.89777582725138,64.94105830335172,62.969298019349104,60.98504379864579,58.990844464644034,56.98924884074603,54.98280575035406,52.97406401687035,50.96557246369713,48.95987991423665,46.959535191891156,44.967087120062864,42.98508452215403,41.01607622156688,39.06261104170368,37.12723780596665,35.21250533775801,33.32096246048003,31.455157997534954,29.617640772324993,27.810959608252407,26.037663328719436,24.30030075712829,22.60142071688125,20.943572031380523,19.32930352402836,17.761164018227,16.2417023373787,14.77346730488566,13.359007744150162,12.000872478574411,10.70161033156068,9.463770126511163,8.289900686828144,7.18255083591383,6.144269397170477,5.177605194000319,4.285107049805601,3.469323787988543,2.732804231951426,2.078097205096447,1.5077515308258629,1.0243160325419065,0.6303395336468226,0.3283708575428559,0.12095882763222764,0.010652267317205673,0.0,0.09155084908286674,0.2878536379680275,0.5914571900577499,1.0049103287542438,1.5307618774597886,2.17156065957656,2.9298554985068366,3.8081952176528744,4.809128640416897,5.935204590201122,7.188971890407821,8.572979364439213,10.089775835697557,11.74191012758507,13.531931063504013,15.462387466856603,17.53582816104509,19.754801969471714,22.1218577155387,24.639544222648308,27.31041031420277,30.137004813604324,33.12187654425521,36.26757432955766,39.57664699291393,43.05164335772625,46.69511224739684,50.509602485327974,54.4976628949218,58.66184229958071,63.00468952270687,77.41824224501153,-0.05640708768877328,0.17301340990890632,model B,gamma,windows 2000,1.0624968663215704,-1.110207253609188,58.0,5.0,-100.0
8,Wallwalker Botson II,60.0,20.600950754919616,28.451095915514323,35.85006177633916,42.80288759038285,49.315103466494286,55.392713350119806,61.04217800404083,66.2703979891112,71.08469664499476,75.49280307090268,79.50283510633102,83.12328231179814,86.3629889495822,89.23113696445859,91.73722896443742,93.89107120150094,95.70275655234101,97.18264749909663,98.34135911009135,99.18974202057065,99.73886541343954,100.0,99.98460100068831,99.70429112581272,99.17084355629068,98.39616492438653,97.39227829444876,96.17130614364761,94.74545334271248,93.12699013666943,91.3282351255785,89.36153824527145,87.23926374808886,84.97377318361795,82.57740837942971,80.06247442181672,77.44122263653026,74.72583356951793,71.92839996766125,69.06090975951282,66.13522903603405,63.1630850313325,60.15604910339935,57.12551971484682,54.08270541364578,51.03860781386291,48.00400457639858,44.98943238972406,42.005169950618914,39.061220944908634,36.167297028202015,33.332800806628654,30.566808817576312,27.87805451042864,25.274911227302233,22.765375183784382,20.357048449670536,18.057121929701665,15.872358344301723,13.809075210315195,11.873127821744394,10.069892230487104,8.404248227073827,6.880562321405743,5.5026707234914936,4.273862324184944,3.1968616759230315,2.273811973462423,1.5062580346174859,0.8951292809978828,0.44072271874582897,0.14268591927336088,0.0,0.010962605090297893,0.1731708861914154,0.48350448316976447,0.9381085048496937,1.532376509750147,2.260933486821972,3.1176188361862898,4.095469349871051,5.186702192548733,6.3826978822739004,7.67398327122136,9.050214526422023,10.500160110501865,12.011683762417952,13.571727478198332,15.166294491676341,16.780432255230245,18.398215420520476,20.00272881922558,21.576050443782467,23.099234428120532,24.552294028402024,25.91418460375784,27.162786597025345,28.27488851548589,29.22616991160247,29.991184363756858,70.60975059837432,-0.41636417091431865,-0.12679198472414388,model A,alpha,v0.5,0.730464434412902,-0.5928884164843072,20.0,56.0,-58.04580479813319
9,Rockdigger Botski,35.0,73.52348314198008,76.3874783579608,79.06876974943106,81.57076594564334,83.89687557585016,86.05050726930403,88.03506965525744,89.85397136296291,91.51062102167293,93.00842726064002,94.35079870911666,95.54114399635537,96.58287175160865,97.47939060412901,98.23410918316895,98.85043611798098,99.3317800378176,99.6815495719313,99.9031533495746,100.0,99.97549815246002,99.83305643620713,99.57608348049388,99.20798791457271,98.73217836769618,98.1520634691168,97.471051848087,96.69255213385937,95.81997295568635,94.85672294282051,93.8062107245143,92.67184493002023,91.45703418859082,90.16518712947857,88.79971238193599,87.36401857521557,85.8615143385698,84.29560830125122,82.66970909251233,80.98722534160561,79.2515656777836,77.46613873029877,75.63435312840365,73.75961750135069,71.84534047839244,69.89493068878143,67.91179676177016,65.89934732661105,63.86099101255665,61.80013644885951,59.72019226477207,57.624567089546886,55.516669552436426,53.39990828269321,51.27769190956973,49.15342906231853,47.03052837019206,44.912398462442894,42.802447968323435,40.704085517086234,38.62071973798385,36.55575926026869,34.51261271319337,32.494688726010274,30.50539592797198,28.548142948330963,26.626338416339763,24.74339096125088,22.90270921231679,21.10770179878996,19.361777349922995,17.668344494968334,16.030811863178478,14.452588083805933,12.937081786103233,11.487701599322888,10.107856152717366,8.800954075539174,7.570403997040811,6.419614546474846,5.351994353093696,4.370952046149885,3.47989625489595,2.682235608584372,1.9813787364677184,1.3807342677983956,0.883710831828927,0.4937170578118661,0.21416157499972205,0.04845301264490086,0.0,0.0722111663174844,0.2684951408499368,0.5922605528497338,1.0469160315694286,1.63587020626156,2.3625317061785926,3.2303091605731242,4.242611198697516,5.402846449804323,44.81951207189155,0.004194260775778114,0.11931856891992978,model C,beta,v1.5,1.1944758491732335,-1.1826787936462908,79.0,2.0,-86.10263871189997
