id,name,expires,t_1,t_2,t_3,t_4,t_5,t_6,t_7,t_8,t_9,t_10,t_11,t_12,t_13,t_14,t_15,t_16,t_17,t_18,t_19,t_20,t_21,t_22,t_23,t_24,t_25,t_26,t_27,t_28,t_29,t_30,t_31,t_32,t_33,t_34,t_35,t_36,t_37,t_38,t_39,t_40,t_41,t_42,t_43,t_44,t_45,t_46,t_47,t_48,t_49,t_50,t_51,t_52,t_53,t_54,t_55,t_56,t_57,t_58,t_59,t_60,t_61,t_62,t_63,t_64,t_65,t_66,t_67,t_68,t_69,t_70,t_71,t_72,t_73,t_74,t_75,t_76,t_77,t_78,t_79,t_80,t_81,t_82,t_83,t_84,t_85,t_86,t_87,t_88,t_89,t_90,t_91,t_92,t_93,t_94,t_95,t_96,t_97,t_98,t_99,t_100,Arakyd Vocabulator Model,Astrogation Buffer Length,Repulsorlift Motor HP,Sonoreceptors,Axial Piston Model,Nanochip Model,Cranial Uplink Bandwidth,Polarity Sinks,AutoTerrain Tread Count,InfoCore Size,Productivity
0,Waterhauler Botski,26.0,95.59857812726204,97.39728130717215,98.69717367795485,99.53826753750991,99.95976823556843,100.0,99.69633555655847,99.08512954206637,98.20165571103796,97.08004793574086,95.75324499969626,94.25293918461787,92.60952865078934,90.85207361088038,89.00825629720146,87.10434472239719,85.16516023357822,83.21404885989176,81.27285645353088,79.3619076241822,77.49998846691223,75.7043330834926,73.9906138971635,72.372935760836,70.86383385873295,69.47427540146838,68.21366511456563,67.08985452041416,66.10915501366463,65.2763547300631,64.59473920872341,64.06611584783852,63.690842153829976,63.46785778393669,63.3947203822418,63.46764520913807,63.68154856423259,64.03009500268922,64.50574834501039,65.09982648025682,65.80255996270662,66.60315440195231,67.48985664643689,68.45002476042836,69.47020179443292,70.53619334904675,71.63314893224626,72.74564711011719,73.85778445102248,74.95326826320797,76.01551312584772,77.0277412135275,77.9730864141662,78.83470224037758,79.59587353426853,80.24013196567792,80.75137532385249,81.11399060256213,81.312980878654,81.33409598404452,81.16396697115049,80.79024437175887,80.20174024933479,79.38857404476856,78.3423222155612,77.05617166844786,75.52507698546177,73.745921443434,71.71768182693516,69.44159703465203,66.92134047920617,64.16319628040942,61.17623925195693,57.97251868156269,54.56724590452875,50.97898567075752,47.22985130519687,43.345703661733985,39.35635387051432,35.29576987871164,31.202286784728855,27.11882096584001,23.093087999271646,19.177824376720622,15.431013012314763,11.916112544005331,8.702290428404488,5.864659829058657,3.4845202981596186,1.6496022516973872,0.4543152380473877,0.0,0.39518433022740446,1.7558427201863096,4.205659802466508,7.87629758656813,12.907666488127557,19.44820015157323,27.655134066228165,37.69478797584115,model E,1.2214664546577572,0.10459062081200177,-0.07335306136640796,kappa,v1.5,0.8836034833540992,0.8903924950200147,71.0,68.0,60.88341513183222
1,Rocklift Botberg,48.0,28.586066741308784,35.189870843815605,41.42327679120022,47.293758988966275,52.80879184261743,57.97584975765729,62.80240713958955,67.29593839391778,71.46391792614568,75.3138201417769,78.85311944631503,82.08929024526375,85.02980694412673,87.68214394840753,90.05377566360987,92.15217649523736,93.98482084879366,95.55918312978238,96.8827377437072,97.96295909607171,98.80732159237962,99.42329963813454,99.81836763884012,100.0,99.97567112711778,99.75285542569716,99.33902730124179,98.74166115925527,97.96823140524128,97.0262124447034,95.92307868314539,94.66630452607076,93.26336437898325,91.72173264738646,90.04888373678396,88.2522920526796,86.3394320005768,84.31777798597935,82.19480441439082,79.97798569131486,77.67479622225515,75.29271041271528,72.83920266819892,70.32174739420975,67.74781899625137,65.12489187982737,62.460440450441546,59.76193911359737,57.036862274798594,54.29268433954883,51.53687971335168,48.77692280171093,46.02028801013,43.27444974411274,40.54688240916269,37.84506041078348,35.17645815447879,32.54855004575227,29.968810490107483,27.444713893048235,24.983734660078042,22.593347196700503,20.281025908419366,18.05424520073823,15.92047947916079,13.887203149190624,11.961890616331385,10.152016286086765,8.465054563960281,6.908479855455786,5.4897665660767805,4.216389101326845,3.0958218667097426,2.135539267729132,1.3430157098885152,0.7257255986917417,0.29114333964224226,0.04674333824373177,0.0,0.15838773041438736,0.5293809349908492,1.1204540192328676,1.9390813886440867,2.9927374487281506,4.288896604988695,5.835033262929537,7.6386218280541485,9.707136705866006,12.048052301869172,14.668843021567039,17.576983270463074,20.77994745406135,24.285209977865176,28.100245247378265,32.23252766810435,36.6895316455469,41.478731585209836,46.6076018925966,52.083616973210766,57.914251232556246,model D,0.3920853792793042,-0.017512363327399583,-0.9029978919336658,gamma,v0.5,0.05047905163080878,0.04945469981011384,47.0,34.0,-84.86273548424845
2,Excahauler Botberg II,47.0,60.77725049770325,69.38558135350499,76.74575775848372,82.93769602884066,88.04012091604521,92.1304281402758,95.28455313078341,97.57684597317771,99.07995256363586,99.86470197003374,100.0,99.55272897589262,98.5876537166981,97.16733372685326,95.35204159198959,93.19968758160037,90.76575045863025,88.10321449598753,85.26251269997898,82.29147624066736,79.23529008915146,76.13645486176873,73.03475487122083,69.96723238462135,66.96816808846619,64.0690677605272,61.298655148667436,58.68287105657978,56.2448786364478,54.005074888529634,51.98110836766362,50.18790309669775,48.6376886868407,47.340036664936,46.30190300765861,45.52767688263436,45.019235596481586,44.77600574977576,44.7950305989367,45.071043625037994,45.59654830953965,46.361904116942604,47.35541868436687,48.563446218051034,49.970492096775594,51.55932368220818,53.311087336171056,55.20543164483258,57.220636849819904,59.333750486254665,61.520729227712366,63.756586938101464,66.01554893046966,68.2712124327276,70.49671326030018,72.66489869569645,74.74850657500332,76.7203505813044,78.55351174501723,80.22153615115624,81.69863885351769,82.95991399578556,83.98155113956203,84.74105779932047,85.21748818427999,85.39167814720227,85.24648634011335,84.76704157694411,83.94099640310033,82.7587868719447,81.21389852821078,79.30313859833757,77.02691438772409,74.38951788490537,71.39941657265739,68.0695504460204,64.41763523724187,60.4664718476488,56.24426198643936,51.784930016395315,47.12845100651842,42.32118499159327,37.41621743866373,32.473705920444615,27.5612329956433,22.75416529621067,18.136018821516217,13.798830439440191,9.84353559439338,6.380352222255213,3.529170872239921,1.4199510356779153,0.19312368172505742,0.0,1.0031863501270786,3.3770054182191975,7.30792358027452,12.994984472494798,20.650248768538553,30.499240163673058,model C,1.054141561703335,0.0504433617503951,-0.13338724133650648,beta,v1.0,0.7141601091877885,0.7267502314716678,19.0,64.0,-39.96639058365335
3,Firevator Botsky,79.0,38.7351710971344,44.24177407244522,49.45006063330648,54.365683787565764,58.99429654307065,63.34155190766866,67.41310288920741,71.21460249553448,74.7517037344974,78.03005961394378,81.05532314172115,83.83314732567712,86.36918517365923,88.66908969351506,90.73851389309219,92.58311078023819,94.20853336280058,95.62043464862703,96.82446764556502,97.82628536146218,98.63154080416602,99.24588698152417,99.67497690138417,99.92446357159358,100.0,99.907239194451,99.65183416279413,99.23943791287694,98.67570345254705,97.96628378965202,97.11683193203937,96.13300088755673,95.02044366405167,93.78481326937174,92.43176271136447,90.96694499787749,89.39601313675836,87.72462013585462,85.95841900301387,84.10306274608372,82.16420437291166,80.1474968913453,78.05859330923215,75.90314663441988,73.68680987475595,71.41523603808805,69.09407813226372,66.72898916513051,64.32562214453593,61.8896300783276,59.42666597435316,56.94238284046006,54.44243368449595,51.932471514308354,49.4181493377449,46.90512016265312,44.39903699688054,41.905552848274866,39.43032072468349,36.978993633954154,34.55722458393429,32.17066658247158,29.824972637413488,27.525795756607675,25.27878894790162,23.089605219142946,20.96389757817931,18.907319032858098,16.92552259102707,15.02416126053365,13.208888049225514,11.485355964950122,9.859218015555152,8.336127208888067,6.921736552796492,5.621699055128104,4.441667723730254,3.3872955664507423,2.464235591136903,1.6781408056365428,1.034664217797054,0.5394588354660664,0.19817766649120905,0.01647371871999881,0.0,0.15440951817878276,0.48535528110391724,0.9984902966229735,1.6994675725835278,2.5939401168332092,3.6875609372193927,4.985983041589986,6.494859437792215,8.219843133673853,10.166587137082415,12.340744455865527,14.74796809787056,17.393911070945286,20.28422638293728,23.424567041693898,model C,1.207094606799725,0.18291127956951836,-0.2965887753807116,kappa,v1.5,0.8501792095865471,0.8587430094061188,48.0,5.0,-89.26110054132826
4,Firevator Botberg,39.0,88.69111440482,87.82686962503551,87.14988201622688,86.64702288756192,86.30546982777398,86.11270670516186,86.05652366758996,86.12501714248809,86.3065898368517,86.5899507372416,86.96411510978427,87.41840450017155,87.94244673366094,88.52617591507531,89.15983242880313,89.83396293879838,90.53942038858051,91.26736400123448,92.00925927941083,92.75687800532556,93.50229824076014,94.23790432706166,94.95638688514263,95.6507428154811,96.31427529812065,96.94059379267034,97.52361403830476,98.05755805376401,98.53695413735373,98.95663686694499,99.31174709997448,99.59773197344431,99.81034490392213,99.94564558754114,100.0,99.9700803965629,99.85286531205956,99.6456395608852,99.34599423700053,98.95182671393178,98.46134064477073,97.87304596217461,97.18575887836623,96.39860188513387,95.51100375383132,94.52269953537785,93.43373056025835,92.24444443852308,90.95549505978799,89.56784259323433,88.082753487609,86.50180047122441,84.82686255195844,83.06012501725445,81.20407943412138,79.26152364913364,77.23556178843123,75.12960425771952,72.94736774226956,70.69287520691776,68.37045589606609,65.98474533368204,63.5406853232987,61.0435239480146,58.4988155704936,55.91242083296542,53.29050665722508,50.63954624463302,47.96631907611537,45.27791091216382,42.581713792835465,39.88542603775276,37.19705224610397,34.52490329664267,31.877596347688105,29.26405483712472,26.6935084824029,24.17549328053842,21.719851508112168,19.33673172127097,17.03658875572701,14.830183726758264,12.72858402920763,10.743163337483962,8.885601605561671,7.167885066980381,5.602306234845388,4.201463901827618,2.978263140163274,1.9459153016542874,1.11793801766772,0.5081551991368549,0.13069703655962017,0.0,0.1308068390875516,0.5381665830171639,1.237434540548909,2.2442723000090443,3.5746477292890115,5.244834975845398,model E,1.0605011492867016,0.19151482359234084,-0.22855646364411197,beta,v1.0,0.7140539775117681,0.7149104369565684,29.0,5.0,-100.0
5,Extrahauler Botski,53.0,22.947479179836535,38.294165311997446,51.52873924746147,62.813071086639304,72.30184714586778,80.14271546901448,86.47643133908235,91.43700278981434,95.151836117298,97.74188139157005,99.32177796822104,100.0,99.87900194841893,99.05536409535756,97.61993805466793,95.65799228377884,93.24935759530074,90.46857266863007,87.38502956155415,84.06311922185547,80.56237699891666,76.93762815532476,73.23913337847614,69.51273429218087,65.79999896826749,62.138367438187615,58.561297204620224,55.09840875307703,51.77563106350619,48.61534712189757,45.63653943188713,42.85493552636127,40.28315347906229,37.93084741619165,35.80485302801622,33.90933308047132,32.24592292676655,30.81387601898934,29.61020941971067,28.629849313588977,27.86577651897497,27.309171999516018,26.94956237576135,26.774965436765413,26.772035651694576,26.926209681429487,27.221851890171138,27.64239985704529,28.17050988770629,28.78820252594289,29.47700806528089,30.2181120605916,30.992500839691022,31.781107014948812,32.56495499489268,33.3253064958092,34.04380605335186,34.70262653414674,35.284614647393255,35.77343645647091,36.15372289054357,36.41121525616541,36.532910748882145,36.507207964840745,36.3240524123899,35.975082023684365,35.45377266629251,34.75558365479977,33.8781032624142,32.821194232565496,31.5871392905183,30.180786654968898,28.609695549659463,26.88428171497127,25.017962919533066,23.027304471835176,20.93216473181972,18.75584062249365,16.525213141528646,14.270892872876138,12.027365498353689,9.833137309272681,7.730880718020695,5.767579769677931,3.994675653622993,2.4682122151313437,1.2489814669858978,0.40266910107394593,0.0,0.1168837486881164,0.8345601459818065,2.239744716254695,4.424774221009542,7.48775217049081,11.532694335277823,16.66967425790384,23.014968764441328,30.691203476134728,39.82749832096802,50.559613045311856,model D,0.4376341000805467,-0.1832541309745161,-0.6555565992488942,gamma,v0.5,0.10494575327478513,0.18823772823323132,16.0,58.0,-67.59154736988182
6,Stonewaller Botski II,60.0,100.0,87.31465510023149,76.10911959554866,66.30164021190062,57.811322514965056,50.55826217967275,44.463671077208936,39.44999817949111,35.44104528112362,32.362077538828885,30.13992882835514,28.703101918861,27.98186346477657,27.90833381514122,28.41657164041796,29.442653376784616,30.92474748790146,32.803183544155566,35.02051611938188,37.52158350506082,40.25356124199262,43.16601046944826,46.210921091796976,49.34274976261061,52.51845268624463,55.697513236895226,58.84196439513395,61.91640600191827,64.88801683007912,67.7265614732851,70.40439205248302,72.8964447398157,75.18023110001543,77.2358242492753,79.04583983159621,80.59541181261082,81.87216309088447,82.86617092669208,83.56992718827254,83.97829341555897,84.08845070138591,83.89984439017348,83.41412359408761,82.63507552667748,81.56855465398941,80.22240666315624,78.60638724846622,76.73207571490556,74.61278339917882,72.26345690820638,69.70057617509812,66.94204733260395,64.00709040403953,60.9161218116921,57.69063170269828,54.35305609240299,50.92664382519183,47.4353183528019,43.90353433010864,40.35612902838921,36.81816856606235,33.31478895690492,29.871031975747254,26.511675841640542,23.26106071850525,20.14290903325494,17.180140611394336,14.394682630098032,11.807274388763535,9.437266897038029,7.302417280330463,5.418678002791031,3.7999809077718902,2.4580160757632012,1.402005499809758,0.6384715783937528,0.17100042580970218,0.0,0.1224530478810291,0.531664868136739,1.2170058914888955,2.1636490784517446,3.352302134556756,4.75893454305433,6.354499415093397,8.104650157380924,9.969451957311135,11.903088085577087,13.853561016255798,15.76238836437335,17.564293640938196,19.186891825471385,20.55036975597955,21.567161336441252,22.141617561747015,22.169671360117004,21.538497253010842,20.12616583249208,17.801293056093172,14.422684359136856,model D,0.6912459230080163,-0.2153709766438493,-0.4921100422944756,zeta,v2.0,0.3557988743569465,0.31901845812124896,31.0,68.0,-35.24397631718573
7,Thumpwaller Botberg I,95.0,100.0,93.17537608692173,87.13810264375029,81.83406260404054,77.211134937088,73.21916335820548,69.80992503899954,66.93709931764712,64.55623640917196,62.62472611572131,61.10176653684227,59.948332779758495,59.12714566964665,58.60264045991298,58.34093554246982,58.309801158012164,58.47862810629423,58.81839645640592,59.301644257049404,59.90243624681576,60.596332564461285,61.360357459184236,62.1729680009013,63.01402279052412,63.86475067023588,64.70771943376783,65.52680453667568,66.30715780661647,67.03517615362473,67.69847028038937,68.28583339252992,68.78720990887327,69.1936641717301,69.49734915717153,69.69147518530552,69.77027863055343,69.7289906319269,69.56380580330377,69.27185094370508,68.85115374757136,68.30061151503976,67.6199598622196,66.80974143146956,65.87127460167409,64.80662219852024,63.61856020477351,62.310546470555074,60.88668942361791,59.35171677962332,57.71094425241821,55.970244264310345,54.136014656346,52.21514739858571,50.21499730038174,48.14335072065346,46.00839427816487,43.818683561801045,41.58311184084348,39.310878775248575,37.011459125922535,34.69457146499828,32.37014688611339,30.048297714683812,27.739286218183963,25.45349331641922,23.201387291806757,20.993492499648,18.84035807840911,16.752526659993734,14.740503080022238,12.81472308810733,10.985522058130442,9.263103698518565,7.657508762519968,6.1785837584828975,4.83594966012866,3.6389706168324563,2.596722663896434,1.717962432826328,1.0110958616107388,0.4841469049964916,0.1447262447628702,0.0,0.0566584373879908,0.3208846814670306,0.7983234249224126,1.494049638851394,2.4125372830482794,3.5576280162767495,4.932499906547027,6.539636141390308,8.380793738141444,10.456972254209033,12.768382497352745,15.314415235967916,18.093609909347478,21.103623337973612,24.341198433782058,27.80213291044951,31.481247993659977,model C,0.8671000093362592,-0.13330521949793323,-0.3163642532150187,beta,v1.0,0.5239125219084916,0.5234578239926215,37.0,19.0,-100.0
8,Pullvator Botchik,97.0,72.6009451740681,76.64833927042112,79.85563083934952,82.28627204780258,84.0025823939792,85.06563459397002,85.53514591116897,85.46937492845379,84.92502376313628,83.95714572468152,82.61905841519653,80.96226227268838,79.03636455709143,76.88900877906394,74.56580957155403,72.11029300413487,69.56384234010939,66.96564923638402,64.35267038611201,61.75958960410577,59.21878535501892,56.76030372429721,54.41183683189927,52.198706688786054,50.143854496180126,48.267835387594104,46.588818613628334,45.12259316953771,43.88257886556849,42.87984284006347,42.12312151533746,41.61884799632101,41.37118491197466,41.3820626994713,41.65122333114886,42.176269484231625,42.95271915332111,43.97406570565636,45.23184337914343,46.71569822315423,48.413464482094554,50.31124642174163,52.393505598350956,54.643153570532455,57.0416500538952,59.56910651846308,62.20439522885846,64.92526372725521,67.70845475910197,70.52983164161327,73.36450907503213,76.1869893966593,78.97130427765379,81.69116186260256,84.32009935185818,86.83164102664719,89.19946171694808,91.39755571213533,93.4004111143984,95.18318963492459,96.7219118328539,97.99364779700448,98.97671327036267,99.65087121734858,99.99753883384462,100.0,99.64362317579813,98.91608473939773,97.80759776824185,96.31114626293508,94.42272481389277,92.14158371075582,89.47047949458003,86.41593095278846,82.98848055689731,79.20296134301171,75.0787692350867,70.64014081096231,65.91643651116435,60.94242929047514,55.75859871227645,50.41143048565881,44.95372144529858,39.444889974110666,33.95129186866407,28.546541647368233,23.311839301431608,18.33630248858832,13.717304169591497,9.560815687478176,5.9817552896043376,3.1043420924461973,1.0624554891748577,0.0,0.07127556527199613,1.4413532813742238,4.2864565793659954,8.794347846401251,15.164720489921768,23.609596444610847,model D,0.9754177968705102,0.09297604766262302,-0.30701524165193705,beta,v1.0,0.6637132006905629,0.6892186597687612,34.0,92.0,6.82842670927802
9,Pushdigger Botson I,69.0,41.64497269137235,44.10008500662215,46.037809257067615,47.50311234075347,48.540004278858014,49.19145320233429,49.49930469452512,49.50420548975229,49.24553152787928,48.761320364848224,48.08820793919055,47.261369694511714,46.31446605794963,45.27959227460721,44.18723259795868,43.06621883622987,41.943693254752304,40.845075834291364,39.79403588534821,38.81246801843569,37.92047247032811,37.13633978628496,36.476539858248444,35.955715319015106,35.586679292381106,35.38041749926167,35.34609471978417,35.4910656113554,35.8208898827025,36.33935182388799,37.04848419229849,37.94859645460764,39.03830738471257,40.31458201764469,41.77277295945393,43.40666605306719,45.20853040012084,47.16917273876648,49.27799617745141,51.52306328467253,53.89116353470401,56.36788510929961,58.937691055367644,61.58399979862163,64.2892700132026,67.03508984727759,69.80227050461045,72.570944182107,75.32066636333484,78.03052246801523,80.67923885749151,83.2452981961688,85.70705916892932,88.04288055452056,90.2312496549191,92.25091508066542,94.08102389217562,95.70126309702488,97.09200550320631,98.23445992836284,99.11082576499285,99.70445190163049,100.0,99.98361212814191,99.64308274951641,98.96803506807805,97.95010172932507,96.58310987732337,94.86327056770268,92.7893725366295,90.36298032574997,87.58863676311145,84.4740698000524,81.03040370407201,77.2723746076682,73.21855041315568,68.89155505345094,64.31829710883667,59.53020277969746,54.5634532152301,49.459226198128135,44.26394218523915,39.02951470419844,33.813605106030344,28.679881673734243,23.69828308683512,18.945286241909994,14.504178429090441,10.46533386453866,6.926494578895703,3.993055661707313,1.7783548618160057,0.4039665437373001,0.0,0.7054021194702774,2.6682644116374377,6.04613438688994,11.006331292746385,17.72626620607426,26.39376648128,model E,1.022625665957183,0.1085286286099707,-0.19450701369503787,beta,v1.0,0.6953369953301983,0.7026648221053255,41.0,79.0,9.326871188654295
