id,name,expires,t_1,t_2,t_3,t_4,t_5,t_6,t_7,t_8,t_9,t_10,t_11,t_12,t_13,t_14,t_15,t_16,t_17,t_18,t_19,t_20,t_21,t_22,t_23,t_24,t_25,t_26,t_27,t_28,t_29,t_30,t_31,t_32,t_33,t_34,t_35,t_36,t_37,t_38,t_39,t_40,t_41,t_42,t_43,t_44,t_45,t_46,t_47,t_48,t_49,t_50,t_51,t_52,t_53,t_54,t_55,t_56,t_57,t_58,t_59,t_60,t_61,t_62,t_63,t_64,t_65,t_66,t_67,t_68,t_69,t_70,t_71,t_72,t_73,t_74,t_75,t_76,t_77,t_78,t_79,t_80,t_81,t_82,t_83,t_84,t_85,t_86,t_87,t_88,t_89,t_90,t_91,t_92,t_93,t_94,t_95,t_96,t_97,t_98,t_99,t_100,Arakyd Vocabulator Model,Cranial Uplink Bandwidth,Axial Piston Model,Nanochip Model,Astrogation Buffer Length,Polarity Sinks,InfoCore Size,AutoTerrain Tread Count,Sonoreceptors,Repulsorlift Motor HP,Productivity
0,Pushpulverizer Botson,60.0,51.16906301373183,59.971350694299076,67.7502056129331,74.55684971763247,80.44145691305712,85.45315306052828,89.64001597802861,93.04907544020203,95.72631317835393,97.71666288045097,99.06401019112117,99.81119271165393,100.0,99.67117357077146,98.86440689524174,97.61834540134569,95.9705864736794,93.95767945350043,91.61512563872759,88.97737828394112,86.07784260038261,82.94887575595489,79.62178687522233,76.1268370394105,72.49323928640638,68.74915861075829,64.92171196367593,61.03696825303035,57.119948343353876,53.19462505584037,49.283923168344735,45.409719415383634,41.59284248813472,37.85307303443714,34.20914365879153,30.678738922359706,27.278495342964682,24.02400139509129,20.929797509885397,18.009376075154147,15.27518143536616,12.738609891651578,10.410009701801577,8.298681080268935,6.412876198167691,4.759799183273092,3.345606120022123,2.1754050495126434,1.253255969504282,0.5821708344177652,0.16411355533507835,0.0,0.08969799281703995,0.43202731485297724,1.0247597038348244,1.864618854151797,2.9472804168540767,4.267371999653199,5.81847316692247,7.5931154396959135,9.582782295669228,11.777909169199452,14.167883451304993,16.741044489665715,19.484683588622733,22.385044009178394,25.42732096899639,28.59566164240201,31.873165160382023,35.241882610583566,38.68281703731635,42.175923441550964,45.7001087809192,49.233231969714645,52.75210387889123,56.232487336065795,59.64909712551514,62.975599988177656,66.18461462165412,69.2477116802055,72.13541377475413,74.81719547288513,77.2614832988431,79.43565573353514,81.3060432145296,82.83792813605582,83.99554484900439,84.74207966092784,85.0396708360396,84.84940859521447,84.13133511598953,82.84444453256127,80.94668293578886,78.39494837319418,75.14509084895722,71.15191232392107,66.3691667155901,60.749559898131125,54.24474970237021,46.80534591579636,model B,0.13286457902615406,beta,v0.5,-0.49445558994031275,-0.4994065881171179,-0.46357988523996285,-0.500640830330804,76.0,67.0,55.215075881005816
1,Excaborer Botchik II,83.0,74.86760373237352,80.69983595431759,85.66424861206647,89.80863957333034,93.17976535418046,95.82334111904926,97.78404068073033,99.10549650037838,99.83029968750925,100.0,99.6551058440888,98.83508427437494,97.57836099381886,95.92232035374218,93.90330535382765,91.55661764211919,88.91651751502182,86.01622391730172,82.88791444208623,79.56272533086388,76.07075147348428,72.44104640815819,68.70162232145755,64.8794500483154,61.000459072026025,57.08953752424474,53.17053218498805,49.26624848263365,45.398450493920386,41.587860943948066,37.854161206177935,34.2159913024322,30.690949902894243,27.295594326108624,24.045440538980937,20.95496315677818,18.037595443128236,15.305729310020222,12.770715317804376,10.442862675192368,8.331439239256348,6.444671515430428,4.789744657509242,3.3728024676488904,2.198947396366515,1.2722405425404057,0.5957016534100413,0.17130912457595784,0.0,0.08166997200476636,0.415173381274881,0.9983232168548418,1.8278911161514761,2.8996073649320717,4.208160897325357,5.74719929582093,7.50932879126984,9.486114262884133,11.66807923823708,14.04470589326294,16.60443505225702,19.33466618787635,22.221757421138477,25.25102552142247,28.406745906468583,31.672152642377853,35.02943844361256,38.45975467299655,41.94321134171414,45.45887710931166,48.98477928369522,52.49790382113376,55.974195326256336,59.388557052053535,62.714850899876495,65.9258974194381,68.99347580881174,71.8883239144334,74.58013823109884,77.03757390196519,79.22824471855077,81.11872312073531,82.67454019675966,83.86018568322565,84.63910796509688,84.97371407569644,84.82536969671007,84.15439915818375,82.92008543852646,81.08067016450673,78.59335361125332,75.414294702258,71.49861100937208,66.80037875281057,61.27263280114698,54.86736667131652,47.5355325286172,39.22704118670644,29.890762107602352,19.474523401686852,model A,0.1701984939954797,beta,v0.5,-0.5108148158741843,-0.516980139238701,-0.43532814164540046,-0.4180258381158461,26.0,89.0,-28.332790743474263
2,Wallminer Botson II,91.0,100.0,99.80391917903856,99.3066615737803,98.52706173175744,97.48356161895714,96.19421061982155,94.67666553724776,92.9481905925879,91.02565742564903,88.92554509469319,86.6639400764374,84.25653626605364,81.71863497716888,79.06514494186506,76.31058231067911,73.4690706526029,70.5543409550833,67.57973162402214,64.55818848377626,61.50226477715742,58.42412116543241,55.33552572832292,52.24785396400572,49.172088789112436,46.118820538729786,43.09824696639936,40.12017324411779,37.19401196233662,34.32878312996248,31.533114174356836,28.815239941336245,26.183002695172153,23.643852118591028,21.204845312774275,18.87264679735835,16.653528510434583,14.553369808549382,12.577657466704062,10.731485678354865,9.019556055413103,7.4461776282450804,6.015266845671932,4.730347574969948,3.594551101870247,2.610616130558976,1.780888783677295,1.1073226023213025,0.5914785460419948,0.23452499284551126,0.03723773919285405,0.0,0.12280240863788189,0.40524301693255527,0.8465272951648464,1.4454681320706675,2.2004858348409417,3.109608129121438,4.1704701590129725,5.3803144870714865,6.735991094307596,8.233957380186988,9.87027816263056,11.640625678013896,13.54027958116756,15.564126945377495,17.706662262384086,19.961987442382792,22.32381181402454,24.78545212441473,27.339832539113594,29.979484642136995,32.69654743595529,35.482767341493826,38.32949819813291,41.22770126370832,44.167945214510034,47.14040614528346,50.134867569229115,53.14072041800198,56.146963041712525,59.142201208926,62.11464810666245,65.05212434039709,67.9420579340603,70.77148433003686,73.52704638916697,76.19499439074599,78.76118603252371,81.21108643070514,83.52976811995056,85.70191105337442,87.71180260254717,89.54333755749366,91.18001812669347,92.60495393708177,93.80086203404856,94.75006688143822,95.43450036155066,95.83570177514103,95.93481784141855,model B,0.754644289579419,zeta,windows 2000,-0.008669073611204503,0.002291414734918451,0.16030189383670435,0.1485055102940188,64.0,73.0,37.20548492990755
3,Thumpwalker Botsky,50.0,62.80765523126075,64.16267391475316,65.26182640906433,66.1166934623299,66.73867726018659,67.13900142577214,67.32871101972536,67.31867254018617,67.11957392279548,66.74192454069531,66.19605520452872,65.49211816243982,64.64008710007386,63.649757140577,62.53074484459661,61.29248821028106,59.94424667327976,58.4951011067432,56.95395382132297,55.32952856517165,53.630370523942936,51.86484632079156,50.041144016373316,48.16727310884508,46.25106453386476,44.30017066459135,42.32206531168487,40.32404372330645,38.31322258511826,36.29654002028351,34.28075558946647,32.27245029083254,30.278026560048094,28.30370827028061,26.35554073219863,24.43939069397173,22.5609463412706,20.725717297266918,18.93903462263349,17.20605081554413,15.531739811673736,13.920896984198293,12.378139143794819,10.907904538641395,9.514452854417165,8.201865214302263,6.974044178978104,5.834713746626892,4.787419352932084,3.83552787107809,2.9822276117503925,2.2305283231356348,1.5832611909214467,1.0430788382965066,0.6124553259505116,0.2936861520743089,0.0888882523598626,0.0,0.028781205688797787,0.17681311762129526,0.4454984214935384,0.8360612405027784,1.349547135347295,1.9868231042263307,2.7485775828403227,3.635320444390603,4.647382999579711,5.784917996611224,7.047899621189749,8.436123496520878,9.949206683311438,11.586587679769115,13.347526421602884,15.23110428202266,17.23622407173941,19.36161003896509,21.605807869412754,23.96718468629673,26.443929050332176,29.034050959735453,31.735381850223753,34.54557459501546,37.46210350483017,40.48226432788843,43.60317424991184,46.82177189412302,50.134817321245414,53.53889202950409,57.030398954624886,60.605562469834695,64.26042838586147,67.99086395093387,71.79255785078254,75.66102020863823,79.59158258523333,83.57939797880091,87.6194408250755,91.70650699729246,95.83521380618787,100.0,model A,0.9786629661744293,gamma,windows 2000,-0.08917232353208693,-0.11338024679060886,0.37287374651404626,0.38180140082921515,69.0,60.0,30.418132255480117
4,Pushdigger Botberg I,45.0,18.116176464919587,30.159727957929665,41.04718501756401,50.831327477337496,59.563913663362186,67.29568039434727,74.07634298159907,79.9545952290211,84.97810943311396,89.19353638297541,92.64650536030038,95.3816241393809,97.44247898710624,98.87163466296268,99.71063441903371,100.0,99.77923164313931,99.08680807832654,97.96018652803382,96.43580270733028,94.54907082388235,92.33438357795349,89.82511216240432,87.05360626269271,84.05119405687353,80.8481822155988,77.47385590211792,73.95647877227704,70.32329297451983,66.60051914988688,62.813356432015944,58.98598244714207,55.14155331409726,51.30220364431077,47.48904654180897,43.72217360321539,40.020654917750704,36.40253906723267,32.88485312607627,29.483602661293602,26.21377173249394,23.089322891883644,20.123197184266193,17.327314147042326,14.712571810209724,12.288846696363606,10.064993820695943,8.048846690995944,6.247217307649958,4.665896163641699,3.3096522445516996,2.182233028557734,1.2863644864349635,0.6237510815553359,0.1950757698883124,0.0,0.03716371305439848,0.3041853428117777,0.7976618156301758,1.5131685504643893,2.4452594588666217,3.5874669449860854,4.932301905569565,6.471253729960134,8.194790300098875,10.092357990523434,12.152381668368887,14.362264693367162,16.708388917847625,19.176114686736792,21.749780837558504,24.412704700433075,27.147182098077966,29.934487345809107,32.754873251538605,35.58757111577481,38.41079073162513,41.2017203847922,43.93652685357719,46.590355408878445,49.13732981419035,51.55055232560575,53.80210369181292,55.863043154098804,57.70340844634689,59.29221579503863,60.59745991925065,61.58611403065907,62.22412983353558,62.47643752474878,62.3069457937663,61.67854182265143,60.55309128606506,58.89143835126435,56.653405678105095,53.79779441903918,50.28238421911584,46.06393321598144,41.09817803987973,35.33983381365136,model A,0.9961462259772883,gamma,windows 2000,-0.3740154364102478,-0.37502684962474886,0.389707541590812,0.34227560623186204,92.0,86.0,58.71433819756474
5,Pullhauler Botchik II,35.0,35.56344974705409,46.28637749922698,55.849463151695964,64.3098642183554,71.72356216313857,78.14536240001762,83.62889429300361,88.22661115614655,91.98979025353529,94.96853279929762,97.21176395760021,98.76723284264867,99.68151251868746,100.0,99.76691625090852,99.02530618577427,97.81703866899736,96.18280651501674,94.16212648831032,91.79333930339492,89.11360962482632,86.15892606719898,82.96410119514653,79.56277152334133,75.98739751649471,72.2692635893569,68.43847810671706,64.52397338340313,60.553505684282115,56.55365522425985,52.54982616828096,48.56624663132918,44.625968678427085,40.75086832463596,36.961645535056356,33.277824224827434,29.717752259127213,26.298601453172893,23.0363675722205,19.94587033156457,17.040753396539227,14.333484382517,11.83535485490932,9.556480329166828,7.505800270778969,5.6910780952737685,4.118901168218471,2.794680805219351,1.7226522719212334,0.9058747840079725,0.3462315072024264,0.04442955726625302,0.0,0.21129785124324804,0.6755020768742199,1.3886155928105726,2.345465265008199,3.5397019094622917,4.963800292206964,6.609059129314783,8.465601086898106,10.522372781107151,12.76714477813164,15.186511594200503,17.76589169558081,20.48952749857835,23.340485369539422,26.300655624848122,29.350752530926442,32.47031430423641,35.63770311128035,38.83010506859675,42.02353024276403,45.19281265040054,48.31161025816269,51.352404982744936,54.28650269088271,57.084033199348696,59.71395027495407,62.14403163455117,64.34087894502937,66.26991782331703,67.89539783638223,69.18039250123151,70.08679928491055,70.57533960450294,70.60555882713328,70.13582626996251,69.12333520019173,67.52410283506211,65.29297034185187,62.38360283787843,58.74848939049887,54.338943017108235,49.105100685142325,42.99592331207312,35.95919576541315,27.94152686271548,18.888349371567763,8.743920009599883,model B,0.1885722414661128,beta,v0.5,-0.5864778794941231,-0.5688902184079994,-0.4209738205197191,-0.44245278776613933,71.0,8.0,-29.96769762308847
6,Walldigger Botchik,55.0,50.598943586421605,56.89657518454402,62.36418316592979,67.0460436694155,70.98549533400255,74.22493929885705,76.80583920330999,78.76872118685714,80.15317388915898,80.99784845004088,81.34045850949295,81.2177802076701,80.66565218489205,79.71897558164328,78.41171403857308,76.77689369649555,74.84660319638951,72.65199367939866,70.22327878683143,67.5897346601611,64.77969994102565,61.820575771228,58.738825792735696,55.55997614768112,52.308615478361574,49.008394927238975,45.68202813694013,42.351291250256594,39.03702291014478,35.7591242597258,32.53655894228565,29.387353101275004,26.328595380309505,23.376436923169376,20.546091373799825,17.85183487631064,15.307006074976595,12.92400611423719,10.714298638696748,8.688409793124212,6.855928222453597,5.225505071783423,3.8048539863772177,2.600751111663195,1.6190350932344766,0.8646070768487734,0.34143070842869777,0.052532134061725896,0.0,0.18498545266043875,0.6077021386251562,1.2674262046403157,2.1624962976175293,3.290313564632758,4.647341652927112,6.229106709906288,8.030197383140948,10.044264820366031,12.264022669482104,14.681247078553755,17.286776695810797,20.070512669647613,23.021418648623797,26.127520781462877,29.375907717054478,32.75273060445152,36.243203092872704,39.83160133170121,43.501263970485354,47.234592158937765,51.01304954693621,54.81716228452262,58.6265190219044,62.419770909453554,66.17463159770753,69.86787723736653,73.4753464792984,76.97194047453341,80.33162287426721,83.52741982986102,86.53141999284091,89.3147745148962,91.84769704788275,94.09946374382005,96.03841325489235,97.63194673345,98.84652783200724,99.64768270324234,100.0,99.86713087528837,99.21178898228047,97.99575047431594,96.17985400489701,93.72400072769071,90.58715429653078,86.7273408654141,82.10164908850288,76.66623012012468,70.3762976147706,63.1861277270974,model D,0.21096617952597968,beta,v0.5,-0.4315751373090621,-0.4504114662571737,-0.3559978882343946,-0.3519290580835969,42.0,57.0,-28.97956834807671
7,Firewaller Botson,83.0,88.03413101134385,90.23254259619372,92.00913915158256,93.38476979017753,94.37990384997858,95.0146308943184,95.30866071186253,95.28132331660916,94.95156894788936,94.33796807036686,93.4587113740383,92.33160977423299,90.97409441161298,89.40321665217321,87.63564808724128,85.68768053347762,83.5752260328754,81.31381685276057,78.91860548579184,76.40436464996075,73.7854872885915,71.07598657034117,68.2894958891995,65.43926886448914,62.538179340865305,59.59872138831624,56.63300930216276,53.652777603058496,50.669381036989904,47.69379457527613,44.736613414569156,41.80805297685372,38.91794890944731,36.075757085000184,33.29055360149537,30.57103478224869,27.925517175908727,25.361937556456816,22.887852923207063,20.510440500806343,18.236497739234327,16.072442313803478,14.02431212515893,12.097765299278706,10.298080187473483,8.630155366386722,7.098509637994812,5.707282029606733,4.460231793864359,3.360738408742165,2.411801577547555,1.6160412289206716,0.9756975168343754,0.4926308205944089,0.16832174483908927,0.0038711195395825858,0.0,0.1570496668570118,0.47498162608029776,0.9533776089717271,1.591439572166709,2.387989697633002,3.3414703926710545,4.449944289914371,5.711094247328934,7.1222233482139155,8.68025490120069,10.381732440253739,12.222819724670389,14.1993007390806,16.30657969344712,18.539681023065356,20.89324938856371,23.361549675903063,25.93846699637748,28.61750668661364,31.39179430857027,34.25407564954035,37.19671672214827,40.21170376435169,43.290643239441486,46.424761836040226,49.604906468104474,52.82154427492267,56.06476262111647,59.32426909664018,62.589391516780644,65.84907792215769,69.09189657872439,72.30603597776565,75.47930483589982,78.59913209507765,81.65256692258296,84.6262787110323,87.5065570783748,90.27931186789225,92.93007314819938,95.44399121324429,97.80583658230674,100.0,model D,0.8375082098074909,zeta,windows 2000,-0.17667822921403253,-0.22495838953012381,0.22520124340387015,0.20393909452921444,30.0,69.0,-49.9028107220079
8,Stonedigger Botson Jr.,85.0,60.02418279014671,66.71082541132917,72.6849991606602,77.97829214199571,82.62171600805331,86.64570596041223,90.08012074951348,92.95424267465965,95.29677758401508,97.13585487460576,98.49902749231937,99.4132719319053,99.9049882369746,100.0,99.72355436231591,99.10032201411845,98.1543971944654,96.90929769127624,95.3879648413321,93.6127635302758,91.6054821926119,89.38733281170657,86.9789509197877,84.4003955979449,81.67114947612934,78.81011873315406,75.83563309669356,72.76544584328421,69.61673379832398,66.40609733607253,63.14956037965126,59.86257040104312,56.559998421092864,53.25613900950692,49.96471028485334,46.69885391456193,43.47113511492403,40.2935426510929,37.17748883708328,34.13380953577175,31.17276415889633,28.30403566705707,25.536730569715438,22.879378925194743,20.339934340679676,17.925773972217062,15.64369852471508,13.499932251943775,11.500122956534648,9.649341989981176,7.952084252638311,6.412268193722744,5.0332358113128555,3.81775265234875,2.7680078126321663,1.8856139368265326,1.1716072184568989,0.626447399910106,0.25001777243457735,0.04162517614057507,0.0,0.12329618184613567,0.40909120837443225,0.8543861151417788,1.4556054865666146,2.2085974559292025,3.108633705371403,4.1504094658973,5.328043517371736,6.635078188521831,8.064479356936314,9.608636449065687,11.259362440221778,13.007893854578153,14.8448907651705,16.760436793895988,18.744039111513377,20.784628437642986,22.87055904076669,24.989608738228554,27.12897889623446,29.275294429851456,31.414603803007914,33.532379028494454,35.613515667964215,37.642332831930126,39.60257317976837,41.47740291971564,43.249411808872,44.90061315319716,46.41244380751336,47.76576417550504,48.940858209718186,49.917433411559905,50.67462083129889,51.190975068066436,51.44447426985499,51.41252013351809,51.07193790477208,50.39897637819448,model B,0.49423374821877913,kappa,v0.5,-0.2767287540249858,-0.29672761968647543,-0.10802012731066668,-0.10207742124677392,22.0,0.0,-98.17153518421827
9,Stonevator Boterson I,91.0,65.70363439687422,72.0114726554392,77.5817000180269,82.44882579302903,86.64670688930114,90.20854781616238,93.16690068339561,95.55366520124738,97.40008868042794,98.7367660321112,99.59363976793479,100.0,99.9844844408718,99.57507840357889,98.79911480161363,97.68327414893207,96.25358455995395,94.53542174956269,92.55350903310543,90.33191732639294,87.89406514569976,85.26271860776401,82.45999142978762,79.5073449294361,76.42558802483872,73.23487723458841,69.95471667774176,66.60395807381909,63.20080074280446,59.76279160514544,56.30682518175352,52.849143594003635,49.40533656373466,45.990341413248935,42.618443065312626,39.303274043155525,36.05781447047117,32.89439207141668,29.82468217061297,26.859707693144617,24.009839164559917,21.284794710870656,18.693640058552617,16.24478853454502,13.946001066250924,11.804386181537001,9.826400008733554,8.017846276634883,6.383876314498399,4.928989052045868,3.6570310194622397,2.5711963473963353,1.6740267669607254,0.9674116097315104,0.45258780774874474,0.13013989351598518,0.0,0.06144786063250512,0.31311080930762947,0.7529637803838847,1.3783293086832697,2.1858775294912713,3.1716261785575517,4.330940592094862,5.658533706780514,7.148466059754592,8.794145788620966,10.588328631447927,12.52311792676676,14.58996461357295,16.779667231325078,19.08237191994546,21.48757241982126,23.984110071801428,26.56017381720035,29.203300197794956,31.90037335582599,34.63762503399878,37.40063457548172,40.17432892390653,42.942982623369055,45.690217818429055,48.39900425410898,51.051659275896334,53.62984782974129,56.11458246205814,58.48622331972501,60.72447815008282,62.80840230093769,64.71639872055843,66.42621795767691,67.91495816149036,69.15906508165793,70.1343320683041,70.81590007201652,71.17825764384558,71.19524093530613,70.84003369837622,70.08516728549935,68.90252064958045,model A,0.5410628086469175,kappa,v0.5,-0.11084464684946982,-0.09690512505496587,-0.06210985415233106,-0.017735975874088213,33.0,22.0,-97.41100437813614
