id,name,expires,t_1,t_2,t_3,t_4,t_5,t_6,t_7,t_8,t_9,t_10,t_11,t_12,t_13,t_14,t_15,t_16,t_17,t_18,t_19,t_20,t_21,t_22,t_23,t_24,t_25,t_26,t_27,t_28,t_29,t_30,t_31,t_32,t_33,t_34,t_35,t_36,t_37,t_38,t_39,t_40,t_41,t_42,t_43,t_44,t_45,t_46,t_47,t_48,t_49,t_50,t_51,t_52,t_53,t_54,t_55,t_56,t_57,t_58,t_59,t_60,t_61,t_62,t_63,t_64,t_65,t_66,t_67,t_68,t_69,t_70,t_71,t_72,t_73,t_74,t_75,t_76,t_77,t_78,t_79,t_80,t_81,t_82,t_83,t_84,t_85,t_86,t_87,t_88,t_89,t_90,t_91,t_92,t_93,t_94,t_95,t_96,t_97,t_98,t_99,t_100,Nanochip Model,Polarity Sinks,Arakyd Vocabulator Model,Axial Piston Model,InfoCore Size,Repulsorlift Motor HP,Astrogation Buffer Length,Sonoreceptors,Cranial Uplink Bandwidth,AutoTerrain Tread Count,Productivity
0,Waterdigger Botberg I,42.0,68.84019948486112,57.46151126776422,47.31402424588896,38.3351471312493,30.46361753442437,23.639501964558505,17.804195829361287,12.900423435107475,8.872237986637046,5.665021587355206,3.225485239232375,1.5016688428041287,0.4429411971713284,0.0,0.1248718475214257,0.7709122345319792,1.8928055543934352,3.4465650990325973,5.38953305894164,7.680380523177768,10.279107479363532,13.147042813686744,16.24684431090021,19.54249865432216,22.99932142583591,26.583957105890104,30.26437907349844,34.00988960623995,37.79111988025888,41.58002997026454,45.34990884953164,49.07537438990005,52.73237336177466,56.29818143412594,59.75140317448911,63.07197204896509,66.24115042221962,69.24152955748391,72.05702961655416,74.67289965979201,77.07571764612415,79.25339043304245,81.19515377660423,82.89157233143168,84.33453965071253,85.51727818619939,86.43433928821071,87.0816032056291,87.4562790859033,87.55690497504686,87.3833478176388,86.93680345682301,86.21979663430864,85.23618099037078,83.99113906384838,82.49118229214635,80.74415101123557,78.75921445565045,76.54687075849216,74.11894695142665,71.48859896468404,68.67031162706103,65.67989866591854,62.53450270718408,59.25259527534836,55.853976793469286,52.359776583168994,48.79245286463429,45.17579275661826,41.5349122764381,37.89625633997802,34.28759876168575,30.738042254574683,27.278018430223582,23.939287798776437,20.754939768942364,17.75939264799508,14.988393641774694,12.479018854686943,10.269673289700396,8.400090848350604,6.911334330738043,5.845795435528178,5.247194759951494,5.160581799804278,5.632334949448536,6.710161501810141,8.443097648381285,10.88150847921771,14.07708798294203,18.082859046740914,22.95317345636672,28.74371189613995,35.51148394894093,43.31482809621825,52.21341171798473,62.268231092819484,73.5416113978679,86.0972067088358,100.0,model A,0.7766097706078452,alpha,v1.5,0.016236697387675057,0.015737916167936107,0.4609857069197262,-0.43106255482172934,65.0,17.0,41.936700098395605
1,Stonewaller Botchik I,42.0,0.0,11.12571500744188,21.426441402494614,30.934456132722776,39.68148130077609,47.69868416438942,55.01667713638276,61.66551778466124,67.67470883221515,73.07319815711986,77.88937879253595,82.15108892670905,85.88561190297006,89.11967621973484,91.87945553050454,94.19056864386536,96.0780795234887,97.56649728813102,98.67977621163396,99.4413157229243,99.87396040601399,100.0,99.8411693990646,99.41864865247508,98.75306296458386,97.86448269482855,96.77242335773192,95.49584562290177,94.0531553150312,92.46220341389827,90.74028605436632,88.90414452638363,86.96996527498392,84.95337990028582,82.86946515749311,80.73274295689477,78.55718036386502,76.35618959886288,74.14262803743286,71.92879821020452,69.72644780289232,67.54676965629622,65.40040176630109,63.29742728387691,61.24737451507891,59.25921692104754,57.341373118008086,55.501706877271204,53.74752712523274,52.08558794337341,50.52208856825936,49.06267339154156,47.71243195995663,46.47589897532563,45.35705429455543,44.35932292963737,43.48557504764852,42.738125970750964,42.11873617619155,41.62861129630263,41.26840211850165,41.03820458529114,40.93755979425844,40.96545399807675,41.120318604503886,41.40003017638273,41.801910431641616,42.32272624329393,42.958689639437935,43.705457803257524,44.55813307302138,45.51126294208312,46.558840058882105,47.69430222694253,48.91053240487331,50.199858706369206,51.55405440020967,52.96433791025932,54.42137281546788,55.915267849870986,57.43557690258834,58.97129901782431,60.510878394871035,62.0422043881027,63.552611506980604,65.02887941605032,66.4572329349428,67.82334203837367,69.1123218561452,70.30873267314277,71.39657992933826,72.35931421978886,73.17983129463515,73.84047205910424,74.32302257350894,74.60871405324609,74.67822286879753,74.51167054573165,74.08862376470036,73.38809436144122,model D,1.0491636106739128,zeta,v2.0,0.5443308445960463,0.32747367742755507,0.6547172668575737,-0.6606317969355956,39.0,65.0,15.668440584120773
2,Wallwalker Botberg Jr.,57.0,0.0,10.374924112739167,20.022995588684488,28.972234260337153,37.250168411825285,44.883834778903875,51.899778548954835,58.32405336098698,64.18222130563603,69.49935292516457,74.30002721346214,78.60833161604513,82.44786203005688,85.84172280426759,88.8125267390744,91.3823950865013,93.57295755019923,95.405352285446,96.90022589914635,98.07773344983187,98.95753844766114,99.55881285441954,99.90023708351944,100.0,99.87579892052742,99.54483961339471,99.02383629852179,98.32901164745554,97.47609678336961,96.48033128106476,95.35646316696838,94.11874891913506,92.78095346724604,91.35635019260957,89.85772092816083,88.2973559584618,86.68705401970155,85.03812229969579,83.36137643788733,81.66714052534584,79.96524710476791,78.26503717047679,76.57536016842307,74.9045739961839,73.26054500296348,71.65064798959281,70.0817662085299,68.56029136385948,67.0921236112935,65.6826715581705,64.33685226345612,63.059091237742706,61.853322443249716,60.72298829382346,59.67103965493694,58.699935843690355,57.8116446288107,57.00764223065177,56.288913321194386,55.655951024046246,55.10875691444185,54.64684101924281,54.26922181693722,53.97442623764073,53.76048966309519,53.62495592666986,53.56487731336074,53.576814559790634,53.65683685420937,53.80052183649365,54.00295559814702,54.25873268229997,54.56195608370994,54.90623724876114,55.284696075464765,55.68996091345914,56.11416856400885,56.54896428000627,56.985501765969794,57.414443178045474,57.82595912400552,58.20972866324963,58.55493930680408,58.850287017322664,59.08397620908475,59.24371974799855,59.31673895159688,59.289763589041634,59.14903188111974,58.88029050024656,58.46879457046362,57.89930766743932,57.15610181846911,56.222957502475204,55.08316365000704,53.719517643240444,52.11432531597882,50.249400953651644,48.106067293316116,45.665155523655685,model A,1.0892804822554818,kappa,v1.0,0.8778499347970353,0.7958042483514133,0.4128926478778623,-0.45209304341569284,76.0,70.0,-43.5434774291429
3,Pushwidget Botsky,85.0,15.444495457779187,14.875421831327806,14.577142044819205,14.53543794853597,14.736345717897434,15.16615585345969,15.811413180915615,16.658916851094823,17.69572033996371,18.909131448625423,20.286712303319884,21.816279355423767,23.485903381450505,25.28390948305031,27.198877087010153,29.219639945253757,31.33528613484161,33.53515805797097,35.80885244197586,38.14622033932705,40.53736712763209,42.97265250963529,45.44269051321772,47.9383494913972,50.450752122328346,52.9712754093025,55.49155068074778,58.00346359022905,60.49915411644802,62.97101656324307,65.41169955958932,67.81410605959879,70.17139334252012,72.4769730127388,74.72451099977704,76.9079275582938,79.02139726808494,81.05934903408283,83.01646608635677,84.8876859801129,86.66820059569395,88.35345613857945,89.93915313938582,91.42124645386609,92.7959452629101,94.05971307254445,95.20926771393266,96.24158134337466,97.1538804423075,97.9436458173048,98.60861260007705,99.14677024747137,99.55636254147171,99.83588758919883,99.9840978229101,100.0,99.88285520299931,99.63217883957594,99.24774064253438,98.7295646698159,98.07792930449857,97.29336725479715,96.37666555406341,95.32886556078549,94.15126295858862,92.84540775623465,91.41310428762226,89.85641121178672,88.17764151290032,86.37936250027194,84.46439580834719,82.43581739670861,80.29695755007545,78.05140087830354,75.70298631638586,73.25580712445169,70.71421088776727,68.0827995167359,65.36642924689711,62.57021063892756,59.69950857864043,56.75994227698599,53.75738527005102,50.69796541905917,47.588064910370825,44.43432025548272,41.24362229102929,38.02311617878104,34.78020140564519,31.522531783666107,28.258015450024732,24.994814867038592,21.74134682216254,18.506282427987212,15.29854712224123,12.127320667788917,9.002037152632008,5.932384989908809,2.928306917894126,0.0,model A,0.8811491699676768,gamma,windows 2000,0.45551301855410226,0.47021470219319905,1.0031094835341154,-1.0312056101821665,54.0,49.0,36.87279933467563
4,Pushborer Botberg,94.0,4.702113496289683,15.897413885683404,26.227403362106887,35.72598817007987,44.426481208993984,52.361602033112796,59.56347685157175,66.06363852837823,71.8930265824115,77.08198718742277,81.66027317203508,85.6570440197435,89.1008658689149,92.0197115127881,94.44096039947387,96.39139863195479,97.89721896808547,98.98402082059233,99.67681025707375,100.0,99.97740942671325,99.6322645694276,98.98719811522909,98.06424940607556,96.88486443879685,95.46989586509478,93.83960299154286,92.01365177958671,90.01111484554369,87.85047146060325,85.54960755082669,83.1258156971471,80.59579513536966,77.9756517561713,75.28089810510093,72.52645338257942,69.72664344389945,66.89520079922568,64.04526461359465,61.189380706914754,58.339501553966386,55.50698628440195,52.70260068274523,49.93651718839286,47.21831489561249,44.55697955354403,41.96090356619938,39.437885992462284,36.995132546088314,34.63925559570494,32.37627416481178,30.211613931780164,28.15010722985306,26.195993047146064,24.352917026646157,22.623931466212106,21.011495318575168,19.517474191337737,18.143140346974697,16.88917270283295,15.755656831130699,14.742084958958355,13.847355968278771,13.06977539592554,12.40705543360534,11.856314927896005,11.414079380247601,11.07628094698199,10.838258439292954,10.69475732324616,10.639929719779568,10.667334404702059,10.769936808695908,10.940109017314064,11.169629770981615,11.44968446499608,11.770865149526248,12.123170529612919,12.496005965169758,12.878183470980858,13.257921716703303,13.62284602686525,13.959988380867754,14.255787412983075,14.496088412355512,14.666143323001284,14.750610743808815,14.733555928538134,14.598450785820416,14.328173879161204,13.905010426934705,13.310652302389045,12.526198033644592,11.532152803692192,10.308428450395397,8.834343466489504,7.088622999581709,5.049398852151805,2.6942094815496342,0.0,model A,0.6173408691396582,alpha,v1.5,0.0290064003608794,0.10848868987285436,0.7174780770406067,-0.750734470094616,54.0,65.0,-14.786386339363887
5,Excawaller Botski,37.0,0.0,7.093306687890817,13.881966823685534,20.370595917449553,26.563841941401652,32.46638532991399,38.08293897951211,43.41824824887493,48.47709095883475,53.264277392377245,57.784650294641494,62.043084872919906,66.04448879665831,69.79380219745592,73.29599766906529,76.5560802673924,79.57908751049659,82.37008937859055,84.9341883140404,87.27651922136562,89.40224946723907,91.31657888048697,93.02473975208892,94.531996835178,95.8436473450405,96.96502095911619,97.90147981699823,98.65841852043314,99.24126413332081,99.65547618171449,99.9065466538209,100.0,99.94139313276526,99.73631542678343,99.39038871887475,98.9092673080127,98.29863795532425,97.56421988408974,96.71176477974284,95.74705678987063,94.67591252421356,93.50418105466545,92.23774391527351,90.88251510223839,89.44444107391402,87.92950075080775,86.3437055155803,84.69309921304587,82.9837581501718,81.2217910960791,79.41333928204202,77.5645764014881,75.6817086099984,73.77097452530738,71.83864522730266,69.89102425802547,67.93444762167043,65.97528378458529,64.01993367527143,62.074830684383606,60.1464406647297,58.2412619312712,56.36582526112301,54.52669389355322,52.73046352998335,50.98376233398852,49.29325093129694,47.66562240979042,46.10760231950386,44.62594867262598,43.227451943498416,41.91893506861651,40.70725344662882,39.599294938337316,38.601979866697505,37.722261016817946,36.96712363596089,36.34358543354192,35.85869658112971,35.51953971244662,35.333229923368414,35.30691477192393,35.44777427829576,35.763020924819564,36.25989965598452,36.94568787843316,37.82769546096157,38.91326473451882,40.2097704922079,41.724619989284584,43.4652529431584,45.439141533392146,47.65379040170221,50.116736651957936,52.835549850182595,55.817832024552075,59.07121766539656,62.60337372519893,66.42199961859558,70.5348272223767,model A,0.7434110633464391,alpha,v0.5,0.2989983749759756,0.3162488560491272,0.4937856504037679,-0.4672553446034838,13.0,20.0,34.0801583702396
6,Waterwaller Botchik II,66.0,0.0,6.886863658440282,13.479649494855936,19.78341615071238,25.803232204949733,31.544176173982823,37.01133651170121,42.20981160946913,47.14470979612557,51.82114933798421,56.244258438833405,60.419175239936294,64.35104782003067,68.04503419532908,71.50630231951875,74.74003008376162,77.75140531669436,80.54562578442834,83.12789919054963,85.50344317611903,87.67748531967204,89.65526313721888,91.44202408224452,93.04302554570852,94.46353485604527,95.70882927916384,96.78419601844801,97.69493221475625,98.44634494642176,99.04375122925245,99.49247801653091,99.79786219901453,99.9652506049353,100.0,99.90747708739008,99.69305850776176,99.36213083924586,98.92009059744801,98.37234423544857,97.72430814380246,96.9814086505395,96.14908202116412,95.23277445865544,94.23794210346738,93.17005103352844,92.03457726424202,90.83700674848602,89.58283537661326,88.27756897645102,86.92672331330161,85.53582408994173,84.11040694662306,82.65601746107176,81.17821114848887,79.6825534615501,78.17461979040581,76.65999546268115,75.1442757434759,73.63306583536473,72.13198087839673,70.64664595009602,69.18269606546116,67.74577617696544,66.34154117455722,64.9756558856591,63.65379507516874,62.38164344545829,61.16489563637468,60.009256225239625,58.92043972684935,57.904170593475044,56.96618321486269,56.11222191823233,55.34804096827961,54.67940456717426,54.11208685456075,53.65187190755898,53.30455374076227,53.075936306239946,52.97183349353526,52.998069129666334,53.16047697912647,53.4649007438826,53.91719406337765,54.523220514528546,55.288853611726765,56.21997680683896,57.322483489206334,58.60227698564481,60.06527056044465,61.717387415371675,63.56456068966544,65.6127334600409,67.86785874068758,70.33589948326943,73.02282857692546,75.934628848269,79.07729306138866,82.45682391784727,86.07923405668248,model D,0.4214462508304939,alpha,v1.5,0.0019721676988531216,-0.015410466119584122,0.6385416943015385,-0.6298097057513206,46.0,53.0,25.36279415571532
7,Excaminer Botberg,44.0,0.0,7.44004162073667,14.573074494747248,21.400378485571654,27.923406121361545,34.143782594880285,40.06330576350296,45.68394614921641,51.00784693861916,56.03732398292151,60.77486579794541,65.2231335641246,69.38496112650448,73.26335499474226,76.86149434310681,80.18273101047875,83.23058950035039,86.0087669808258,88.52113328462076,90.77173090906277,92.76477501609105,94.50465343225662,95.99592664872206,97.24332782126181,98.25176277026202,99.0263099807205,99.57222060224683,99.89491844906233,100.0,99.89323439850459,99.58056345263253,99.06810163505206,98.36213608304307,97.46912659849724,96.39570564791785,95.14867836242006,93.73502253773063,92.16188863418814,90.4365997767428,88.56665175495661,86.55971302300328,84.42362469966828,82.16640056834868,79.79622707705339,77.32146333840303,74.75064112962991,72.09246489257808,69.35581173370326,66.54973142407307,63.683446399366574,60.76635175987486,57.808015270500505,54.81817736075792,51.80675112477322,48.78382232128424,45.759649373640556,42.74466336980338,39.749468062345855,36.78483986845259,33.861727869920166,30.991253813156654,28.184712109181998,25.453569833627782,22.809466726737487,20.264215193366073,17.829800302980377,15.51837978965889,13.342284052091898,11.314016153581424,9.446251822040946,7.75183944999619,6.243800094583991,4.935327477553536,3.8397879852650036,2.970720668691222,2.341837243415907,1.967022089634772,1.8603322521553514,2.035997440397105,2.5084200283905216,3.29217505477861,4.402010222815707,5.852845900367975,7.659775119912771,9.838063578540229,12.403149637951365,15.370644324459128,18.756331328988296,22.5761670070756,26.846280378868602,31.582973129127577,36.80271960722446,42.52216682714195,48.75813446747552,55.52761487143167,62.84777304682924,70.73594666609824,79.20964606628074,88.28655424903035,97.98452688061265,model B,1.274832232653707,kappa,v1.0,0.9466254553857018,0.9074015516007963,1.21,-1.2095021958387167,75.0,23.0,52.727325918888155
8,Watervator Botson I,85.0,0.0,2.698919758068451,5.471179279511946,8.307596152990966,11.199227167418092,14.13736831195801,17.113554776027478,20.11956094929543,23.147400421682807,26.189325983362693,29.23782962476033,32.28564253655299,35.32573510967006,38.35131693529304,41.35583680485555,44.332982710043275,47.276681842794,50.1811005952977,53.04064455999631,55.84995852958398,58.60392649700693,61.29767165546348,63.926556398404,66.4861823195311,68.97239021279931,71.38126007241544,73.70911109283827,75.9525016687787,78.10822939519983,80.17333106731677,82.14508268059673,84.02099943075912,85.79883571377529,87.47658512586887,89.05248046351547,90.52499372344278,91.89283610263075,93.15495799831129,94.31054900796848,95.35903792933838,96.3000927604094,97.1336206994218,97.85976814486808,98.47892069549279,98.99170315029262,99.39897950851633,99.70185296966478,99.90166593349097,100.0,99.99867596944895,99.89975384234722,99.70553281945614,99.41855130178918,99.04158689061201,98.5776563874422,98.03001579404965,97.40216031245622,96.69782434493584,95.92098149401475,95.07584456247108,94.16686555333511,93.1987356698893,92.17638531566811,91.1049840944582,89.98994081029822,88.83690346747906,87.65175927054358,86.44063462428684,85.20989513375596,83.96614560425016,82.71623004132074,81.46723165077121,80.22647283865697,79.00151521128583,77.80015957521735,76.63044593726347,75.50065350448817,74.41930068420733,73.39514508398925,72.43718351165418,71.55465197527437,70.75702568317433,70.05401904393061,69.4555856663719,68.97191835957895,68.61344913288451,68.3908491958737,68.31502895838351,68.39713803050309,68.64856522257382,69.08093854518896,69.706125209194,70.53623162568655,71.58360340601625,72.86082536178495,74.38072150484645,76.1563550473069,78.20102840152418,80.5282831801085,83.15190019592242,model A,0.41,alpha,v1.5,0.1555768552886173,0.042596317902835565,0.2918070192363493,-0.2962188109947876,89.0,93.0,-100.0
9,Excaminer Botchik Jr.,24.0,27.987928514969823,27.75053669800173,27.854737297214466,28.27394173973486,28.982254486572923,29.95447303262187,31.16608790665808,32.593282671341136,34.212933923213804,36.00261129270202,37.94057744411494,40.00578807564489,42.17789191936737,44.43723074124108,46.76483934110791,49.14244555269293,51.55247024360441,53.978027315333776,56.40292370325568,58.811659376627915,61.18942733859153,63.52211362617069,65.79629731027278,67.99925049568837,70.1189383210912,72.14401895903823,74.0638436159696,75.86845653220861,77.54859498196176,79.09568927331871,80.50186274825238,81.75993178261884,82.8634057861573,83.80648720249023,84.58407150912322,85.19174721744511,85.62579587272786,85.88319205412672,85.96160337468002,85.85939048130925,85.57560705481932,85.10999980989803,84.46300849511658,83.63576589292916,82.63009781967338,81.44852312556984,80.09425369472251,78.57119444511824,76.88394332862754,75.03779133100363,73.03872247188315,70.893413804786,68.60923541711513,66.1942504301567,63.65721499908008,61.00757831293782,58.255482594665644,55.41176310108249,52.48794812289025,49.49625898467463,46.44961004490392,43.36160869592957,40.24655536398674,37.11944350919351,33.99595962555087,30.892483240943353,27.82608691713856,24.814536249787277,21.876289868423363,19.030499436464247,16.297009651210143,13.696358243844447,11.249775979434181,8.979186656928954,6.907207109162177,5.05714720284982,3.4530098385916834,2.1194909508700874,1.0819795080508736,0.3665575123836192,0.0,0.009775040915603692,0.42404373902903286,1.2716602321218586,2.5821716918594606,4.385818323789574,6.7135333673439765,9.596943095836986,13.068366816466314,17.160816870312395,21.90799863234026,27.34431051139647,33.50484395021173,40.42538342539996,48.1424064474572,56.693083560764265,66.11527834358412,76.44754740806317,87.72914040023096,100.0,model A,1.052599270419708,kappa,v1.0,0.8125877112942013,0.8121311308367825,0.8860191028834276,-0.8702982788925986,6.0,10.0,50.0642215514372
