id,name,expires,t_1,t_2,t_3,t_4,t_5,t_6,t_7,t_8,t_9,t_10,t_11,t_12,t_13,t_14,t_15,t_16,t_17,t_18,t_19,t_20,t_21,t_22,t_23,t_24,t_25,t_26,t_27,t_28,t_29,t_30,t_31,t_32,t_33,t_34,t_35,t_36,t_37,t_38,t_39,t_40,t_41,t_42,t_43,t_44,t_45,t_46,t_47,t_48,t_49,t_50,t_51,t_52,t_53,t_54,t_55,t_56,t_57,t_58,t_59,t_60,t_61,t_62,t_63,t_64,t_65,t_66,t_67,t_68,t_69,t_70,t_71,t_72,t_73,t_74,t_75,t_76,t_77,t_78,t_79,t_80,t_81,t_82,t_83,t_84,t_85,t_86,t_87,t_88,t_89,t_90,t_91,t_92,t_93,t_94,t_95,t_96,t_97,t_98,t_99,t_100,Nanochip Model,AutoTerrain Tread Count,Arakyd Vocabulator Model,Axial Piston Model,Polarity Sinks,InfoCore Size,Cranial Uplink Bandwidth,Sonoreceptors,Astrogation Buffer Length,Repulsorlift Motor HP,Productivity
0,Excawalker Botsky Jr.,71.0,0.0,9.90964112323027,19.15340972197184,27.756312368881446,35.74291672514809,43.13735154049309,49.96330665317004,56.24403298996484,62.00234256619566,67.260608485713,72.04076494089963,76.36430721267064,80.25229167047337,83.72533577228745,86.80361806462487,89.50687818252985,91.85441684957891,93.86509587788092,95.55733816807697,96.94912770934047,98.05800957937714,98.90108994442501,99.49503605925433,99.85607626716771,100.0,99.9421577781184,99.69746121042242,99.28038299434373,98.70495691584641,97.9847778494269,97.13300175811372,96.16234569346787,95.0850877955826,93.91306729308333,92.65768450312795,91.32990083140659,89.94023877214164,88.49878190808774,87.01517491053188,85.4986235392934,83.95789464272383,82.40131615770706,80.83677710965921,79.27172761252879,77.71317886879652,76.16770316947552,74.64143389411099,73.14006551078059,71.66885357609429,70.2326147351944,68.83572672175515,67.48212835798351,66.17531955461865,64.9183613109318,63.713875714726775,62.56404594233948,61.470616258638145,60.43489201702338,59.45773965942804,58.53958671631735,57.680421806688486,56.87979463807144,56.136816006528434,55.45015779665318,54.818052981572706,54.23829562294588,53.70824087096403,53.224804964350184,52.78446523036059,52.38326008478318,52.01678903193835,51.680212664678606,51.36825266438929,51.07519180098713,50.794873932921945,50.52070400717589,50.245648059262514,49.96223321322846,49.662547681652825,49.33824076564608,48.980522854851834,48.58016542744535,48.12750105013535,47.612423378160926,47.02438715529524,46.35240821384314,45.58506347464121,44.710490947059284,43.71638972899864,42.59002000689359,41.31820305570999,39.887321238946306,38.28331800863412,36.49169790533547,34.49752655814656,32.28543068469516,29.8395980911412,27.143777672176117,24.18127941102532,20.9349743794456,model A,0.5886904325372972,kappa,v1.5,0.49134168638065534,-0.512256042193656,-0.36102899186048526,-0.41199478636999115,23.0,41.0,43.71890378336413
1,Pullwidget Botski Jr.,75.0,44.6016431291606,51.80916544576123,58.408726928933696,64.42471987940654,69.8811023064543,74.80139792789747,79.20869617010256,83.12565216798204,86.57448676499443,89.57698651314416,92.15450367298172,94.32795621360356,96.1178278126521,97.54416785631577,98.62659143932898,99.38427936497217,99.8359781450717,100.0,99.8942228586754,99.5360903585623,98.94261184567104,98.13036237455796,97.11548270832536,95.91367931862163,94.54022438564105,93.00995579812394,91.33727715335651,89.53615775717115,87.6201326239461,85.60230247660554,83.49533374661985,81.31145857400519,79.06247480732375,76.75974600368384,74.41420142873957,72.03633605669123,69.63621057028499,67.22345136081293,64.80725052811327,62.39636588057026,59.999120935113915,57.62340491722041,55.27667276091185,52.96594510875641,50.69780831186811,48.47841442990715,46.31348123107939,44.20829219213718,42.1676964983784,40.19610904364717,38.29751043033343,36.47544696937327,34.733030680248774,33.072939290987925,31.49741623816454,30.008270666898905,28.60687743085675,27.294177092250173,26.070675921837022,24.93644589892132,23.891124711352884,22.933915755527885,22.063588136388034,21.27847666742131,20.576481870661393,19.955069976688325,19.411272924628147,18.941688362152608,18.542479645479432,18.20937583937244,17.937671717141527,17.7222277606427,17.557470160277436,17.437390814993602,17.355547332285386,17.305063028192116,17.278626927299428,17.268493762739805,17.266483976190088,17.26398371787454,17.251944846562868,17.220884929570392,17.16088724275975,17.061600770537407,16.91224020585773,16.70158595022037,16.41798411367083,16.049346514800867,15.583150680748204,15.006439847195804,14.305822958374423,13.46747466705911,12.47713533457078,11.320111030778175,9.981273534094187,8.445060331478329,6.695474618436817,4.716085299020057,2.4900269858269484,0.0,model A,0.5754567397078968,zeta,v0.5,0.8797221492658962,-0.8653694641014368,-0.21701320534382412,-0.18977767923495362,94.0,99.0,-120.0
2,Rockwaller Botberg II,39.0,20.73535446626812,26.317571567913276,31.685294263328988,36.83903978875891,41.779433801030294,46.507210377553996,51.02321201632443,55.32838963591962,59.42380257550117,63.310618594814315,66.99011387418781,70.46367301453402,73.73278903734897,76.79906338471217,79.66420591928679,82.33003492431956,84.79847710364082,87.07156758166445,89.151449903388,91.04037603439255,92.74070636084274,94.25490968948691,95.58556324765689,96.73535268326816,97.70707206481971,98.50362388139422,99.1280190426579,99.58337687886055,99.87292514083559,100.0,99.96804604835432,99.78061629848283,99.44137218355317,98.95408355731674,98.32262869410849,97.5509942888469,96.64327545703412,95.60367573475588,94.43650707868142,93.14618986606365,91.73725289473907,90.21433338312771,88.58217697023325,86.8456377156429,85.00967809952753,83.07936902264153,81.05988980632294,78.95652819249337,76.77468034365793,74.5198508429055,72.19765269390838,69.81380732092256,67.37414456878763,64.88460270292664,62.351228409346405,59.78017679463714,57.17771138597285,54.55020413111102,51.90413539839265,49.24609397674249,46.582777075668865,43.92099032526352,41.26764777620188,38.629771899743,36.01449358772958,33.42905215258785,30.88079532732743,28.37717926554188,25.92576854140811,23.534236149686823,21.210363505721975,18.96204044544144,16.797265225356494,14.72414452256212,12.750893434736765,10.8858354801426,9.137402597625313,7.514135146614183,6.02468190712202,4.677800079745484,3.4823552856644207,2.4473215666424677,1.5817813850271307,0.894925623748951,0.3960535863224761,0.09457299684555796,0.0,0.12195916105090547,0.47018346584696685,1.0545143208206125,1.8849015529877062,2.9714034099480218,4.324186559884442,5.9535260915636785,7.869805514336273,10.083516758135957,12.60526017348021,15.445744531470188,18.615787023790546,22.126313262709367,model A,0.49098594867921863,gamma,windows 2000,0.15307284862205026,-0.1595224504256327,-0.591218663824999,-0.7667858549404309,6.0,56.0,13.593860733470848
3,Extravator Botson,56.0,61.18113939449774,53.82911982017619,47.38070981542268,41.788261186435356,37.00513590002905,32.98570608363528,29.685354025302196,27.060472173694645,25.06846313809415,23.66773968839888,22.81772475512368,22.478851429400102,22.612562962976302,23.18131276821719,24.148564418104243,25.47879164623569,27.137478346826427,29.09111857470798,31.307216545328554,33.75428663475303,36.401853379662995,39.2204514773567,42.18162578574894,45.25793132337139,48.422933269372244,51.65120696351641,54.91833790618542,58.20092175837761,61.47656434170782,64.72388163840769,67.92249979132549,71.05305510392614,74.0971940402912,77.03757322511895,79.85785944372442,82.54272964203909,85.07787092661137,87.44998056460607,89.64676598380495,91.65694477260621,93.47024468002488,95.07740361569262,96.47016964985758,97.64130101338493,98.58456609775615,99.29474345506962,99.76762179804035,100.0,99.98968709489677,99.735502277296,99.23727490237894,98.49584448594418,97.51306070440673,96.291783394798,94.83588255476677,93.15023834257757,91.24074107711246,89.11429123786976,86.77879946496435,84.24318655912832,81.51738348170932,78.6123313546731,75.53998146060104,72.31329524269134,68.9462443047594,65.45381041123683,61.851985487172016,58.15777161822992,54.389181050692635,50.56523619145838,46.70596960804204,42.83242402857548,38.96665234180677,35.13171759710158,31.351693004441394,27.651661934425007,24.057717918266757,20.596964647799275,17.297515975470464,14.18849591434591,11.300038638106578,8.663288481050872,6.310399938094734,4.274537664770104,2.5898764772248737,1.291601352223769,0.41590742714945445,0.0,0.08209452939059422,0.7014166345529124,1.898202095335488,3.7136968522040172,6.190157006239886,9.37084881914146,13.300048713223333,18.02304327141923,23.586129237275678,30.03661351495797,37.42281316924972,45.79405542554833,model C,0.5926818020903256,alpha,v1.0,0.9038921876327155,-0.895561086493227,0.19386966123490557,0.2257337275699383,88.0,52.0,25.490903549873288
4,Thumpvator Botsky,79.0,38.26566706199677,42.8691652365451,47.242954398095655,51.39351479307085,55.32722144096164,59.050344134327496,62.569047438796396,65.8893906930649,69.01732800889803,71.95870827112934,74.71927513766096,77.3046670394635,79.72041718057605,81.97195353810635,84.06459886223055,86.00357067619336,87.79398127630805,89.44083773195636,90.9490418855886,92.32339035272355,93.56857452194858,94.68918055491949,95.68968938636078,96.57447672406524,97.34781304889437,98.0138636147781,98.57668844871493,99.04024235077189,99.40837489408446,99.6848304248567,99.87324806236126,99.97716169893913,100.0,99.94508640402206,99.81563912255193,99.61477114020482,99.34549021466452,99.01069887668316,98.61319443008163,98.15566895174915,97.64070929164357,97.07079707279127,96.44830869128704,95.77551531629433,95.0545828900451,94.2875721278397,93.47643851804716,92.62303232210498,91.72909857451911,90.79627708286417,89.82610242778321,88.82000396298776,87.77930581525798,86.70522688444252,85.59888084345856,84.4612761382917,83.29331598799624,82.09579838469485,80.86941609357882,79.61475665290803,78.33230237401061,77.0224303412835,75.685412412192,74.32141521727009,72.93050016012003,71.5126234174129,70.06763593888805,68.59528344735351,67.09520643868572,65.56694018182992,64.00991471879924,62.423454864676216,60.806780207611155,59.1590051088234,57.47913870260025,55.766084896298295,54.018642370341865,52.23550457822448,50.415259746507736,48.55639087482191,46.657275735865696,44.71618687540669,42.73129161228051,40.70065203839166,38.62222501871278,36.49386219128568,34.31330996721995,32.07820953069428,29.786096838955423,27.434402622319187,25.020452384169428,22.54146640095871,19.9945597222081,17.376742170507423,14.684918341514402,11.915887603956268,9.066344099627589,6.132876743392417,3.111969223183014,0.0,model C,0.3532376441607391,gamma,windows 2000,0.4160370025676814,-0.3736244218029089,-0.503831434888121,-0.4945640733139332,79.0,45.0,15.170183360412238
5,Fireborer Boterson I,46.0,0.15122511664500785,5.031156800382334,9.827552884533691,14.535675847863166,19.150965675421617,23.669039858546604,28.08569339486249,32.396898788280346,36.598806048998014,40.6877426935001,44.6602137445579,48.51290173122953,52.24266668885982,55.84654615908035,59.32175518980946,62.66568633525221,65.87590965590046,68.95017271853277,71.88640059621451,74.68269586829773,77.33733862042125,79.84878644451067,82.2156744387783,84.43681520772324,86.51119886213134,88.4379930190751,90.21654280191392,91.84637084029383,93.32717727014769,94.65883973369506,95.84141337944226,96.87513086218235,97.76040234299516,98.49781548924732,99.08813547459206,99.53230497896953,99.83144418860648,99.98685079601654,100.0,99.87254450564393,99.60631452432219,99.20331777369526,98.66573947771052,97.99594236660204,97.19646667689061,96.27003015138382,95.21952803917593,94.0480330956481,92.75879558246804,91.35524326759038,89.84098142525642,88.21979283599418,86.4956377866186,84.67265407023103,82.75515698621999,80.74763934026038,78.6547714443141,76.48140111662968,74.23255368174246,71.91343197047443,69.52941631993447,67.08606457351807,64.5891120809076,62.04447169807208,59.458233787267275,56.83666621703583,54.186214362206975,51.51350110389675,48.82532682950805,46.12866943273035,43.43068431353998,40.73870437819994,38.06024003926006,35.40297921555698,32.774787332213826,30.183707320640725,27.63795961853452,25.145942169878815,22.716230424943753,20.357577340286365,18.078913378750617,15.889346509466781,13.798162207852508,11.814823455611572,9.948970740734875,8.21042205749994,6.609172906471103,5.155396294499255,3.859442734722365,2.7318402465648886,1.783294355738092,1.024688094240063,0.46708200035549713,0.1217141186561261,0.0,0.11353270153235055,0.4740827866848693,1.0935983251760686,1.9842048930112857,3.1582055724824545,model E,0.6385940277498273,gamma,windows 2000,0.343399364983871,-0.3389231890814209,-0.46411455065165863,-0.47586252739275525,67.0,33.0,42.43287315771224
6,Waterwidget Botsky I,37.0,59.5122261506123,53.17796969501909,47.68351470897553,42.982557187552096,39.02980770341315,35.78099140681689,33.19284802561535,31.223131865254423,29.83061180877388,28.97507131680731,28.617308427582174,28.719135756919773,29.243380498235254,30.153884422537665,31.415503878429817,32.994109792108475,34.85658766736419,36.97083758558135,39.30577420573827,41.83132676440706,44.518439075753655,47.33906953153793,50.266191101113556,53.27379133142808,56.33687234702281,59.43145085003304,62.534558120187924,65.62424001481024,68.67955696881687,71.68058399471853,74.60841068261956,77.44514120021843,80.17389429280726,82.7788032832722,85.24501607209304,87.55869513734359,89.70701753469145,91.67817489739805,93.4613734363188,95.0468339399028,96.42579177419296,97.59049688282632,98.53421378703351,99.25122158563914,99.7368139550616,99.9872991493132,100.0,99.77325391632208,99.30641288507319,98.59984347064102,97.65492681500713,96.47405863774708,95.0606492360296,93.41912348461847,91.55492083587006,89.47449531973541,87.1853155437593,84.6958646930799,82.01564053042976,79.155155396135,76.12593620811597,72.94052446188614,69.61247623055367,66.1563621648198,62.587767492980085,58.9232920209242,55.180550132135,51.37817078768908,47.535797526258264,43.674088464106795,39.81471629509299,35.9803682906698,32.19474629988317,28.48256674937309,24.869560643374022,21.38247356371352,18.04906566981259,14.89811169868847,11.959400964949271,9.263737360798132,6.8429393560328675,4.729839998044068,2.958286911816215,1.5631422999287228,0.5802829425535655,0.046600197456840325,0.0,0.47940286313574254,1.5247438774120796,3.1769727109715906,5.478053609549871,8.470965396475112,12.19970147267194,16.709269816657585,22.04569298454158,28.256008110030322,35.388266904422515,43.49153565660921,52.6158952330789,62.81244107791041,model A,0.6679403487500787,kappa,v1.5,0.6859080018770702,-0.6835536325830356,-0.324339844634228,-0.4394257932963182,48.0,47.0,43.300016423534636
7,Extraborer Boterson,75.0,0.0,2.8490290812922447,5.742129951447449,8.672407953635282,11.6331364364095,14.617756753707917,17.619878264852424,20.63327833454899,23.651902332887655,26.669863635342523,29.681443622771788,32.68109168141769,35.66342520290656,38.62322958424881,41.55545822783891,44.45523254145539,47.31784193826088,50.13874383680207,52.91356366100972,55.63809484019865,58.30829880906781,60.92030500770014,63.47041088156272,65.95508188150666,68.37095146376714,70.7148210899635,72.98366022709898,75.17460634756107,77.28496492912124,79.31220945493503,81.25398141354212,83.10809029886617,84.87251361021497,86.54539685228038,88.12505353513829,89.60996517424876,90.99878129045582,92.2903194099876,93.48356506445631,94.57767179085826,95.57196113157381,96.46592263436736,97.25921385238742,97.9516603441666,98.54325567362153,99.03416141005287,99.42470712814553,99.71539040796827,99.9068768349741,100.0,99.99576149926705,99.89533093438042,99.70004591232932,99.411412045487,99.03110295161099,98.5609602538426,98.00299358070733,97.35938056611488,96.63246684935886,95.82476607511701,94.93895989345114,93.97789795980707,92.94459793501484,91.84224548528844,90.67419428222598,89.44396600280965,88.15525032940558,86.81190494976424,85.4179555570199,83.9775958496911,82.49518753168036,80.97526031227423,79.42251190614346,77.84180803334273,76.23818241931092,74.61683679487093,72.9831408962296,71.34263246497812,69.70101724809162,68.06416899792924,66.43812947223418,64.82910843413374,63.24348365213949,61.6878009001468,60.16877395743522,58.693284608668314,57.26838264389394,55.901285858543744,54.59938005343352,53.370219034763366,52.22152461411703,51.161186608462764,50.197262840152575,49.337979136922655,48.59172933189344,47.96707526356896,47.47274677583809,47.117641717972944,46.910825944630155,46.86153331585054,model E,0.5504363064067685,zeta,v0.5,0.5375247093901303,-0.553890308650768,-0.14689668622766583,-0.1799949447858085,95.0,8.0,46.29061184895579
8,Wallwaller Botsky II,25.0,39.829447294235315,46.238045911616865,52.22047520231109,57.78858744465041,62.95412163545729,67.72870349004428,72.12384544221396,76.15094664425894,79.82129296696192,83.14605699959566,86.13629804992291,88.80296214419657,91.15688202715954,93.20877716204474,94.9692537305752,96.448804632964,97.65780948791425,98.60653463261909,99.3051331227618,99.76364473251562,99.99199595454388,100.0,99.7973567985274,99.39365299825957,98.79836196582006,98.0208437863225,97.0703452633705,95.95599991905776,94.68682799396811,93.27173644717529,91.71951895624322,90.03885591722587,88.2383144446671,86.326348371601,84.31129824955167,82.20139134853324,80.00474165704986,77.72934988209582,75.38310344915543,72.97377650220305,70.509029903703,67.9964112346098,65.44335479436795,62.85718160091213,60.24509939066678,57.61420261854665,54.97147245795655,52.323776800791165,49.677870257435345,47.04039415676391,44.417876546142004,41.816732191424485,39.243262576956376,36.7036559055729,34.20398709859908,31.750217795850265,29.348196355631632,27.00365785473852,24.722224088456205,22.509403570560345,20.37059153331627,18.311069927479487,16.33600742229563,14.450459405500341,12.659367983319342,10.967561980468265,9.379756940153133,7.900555124069605,6.534445512403712,5.285803803831336,4.158892415518482,3.1578604831213304,2.2867438607859345,1.5494651211483192,0.9498335553350494,0.49154517296217765,0.1781827021361086,0.013215589453214958,0.0,0.14177881735295697,0.4416816435786209,0.9027247992333614,1.5278113233643371,2.3197309735078835,3.2811602256908277,4.414662274430051,5.722687032732651,7.207571132094894,8.871537922504643,10.71669747243827,12.745046568863168,14.958468717236558,17.35873414150503,19.94749978410657,22.72630930596848,25.69659308650732,28.859668223631264,32.21673853373758,35.7688945517137,39.51711353093735,model A,1.1,alpha,v1.0,0.9330745747298663,-0.9554123883265774,0.33999999999999997,0.5662116755312339,81.0,98.0,-108.26393879709619
9,Firewaller Botson Jr.,59.0,25.09912078136547,27.077472088412772,29.16351587368559,31.34567359709564,33.612652172102855,35.953443965715344,38.357326798489424,40.8138639445296,43.31290413148857,45.84458154056726,48.399315806514736,50.9678120176283,53.54106071575344,56.110337896283845,58.667205008161375,61.20350895387612,63.71138208946635,66.18324222451852,68.6117926221673,70.99002199909556,73.31120452553431,75.56889982526283,77.75695297560857,79.86949450744717,81.90094040520245,83.84599210684644,85.69963650389938,87.45714594142967,89.11407821805398,90.66627658593707,92.10986975079196,93.44127187187988,94.6571825620102,95.75458688754054,96.7307553683767,97.58324397797263,98.30989414333054,98.90883274500085,99.37847211708205,99.717510047221,99.92492977661257,100.0,99.94227486567465,99.75159397547603,99.42808238479188,98.9721506025582,98.38449459125911,97.6660957669269,96.81822099914224,95.84242261103367,94.74053837927823,93.51469153410103,92.16729075927537,90.70103019212283,89.11888942351294,87.42413349786379,85.6203129131414,83.71126362086001,81.70110702608223,79.59424998741865,77.39538481702823,75.10948928061788,72.7418265974432,70.2979454403073,67.78367993556202,65.20514966310718,62.568759656390874,59.881200402409384,57.14944784170706,54.38076336837659,51.582693830058815,48.76307152794274,45.93001421676565,43.09192510481302,40.25749285391834,37.43569157946345,34.63578085037832,31.867305689141418,29.14009657177888,26.46426942786528,23.850225640523625,21.308652046424807,18.85052093578802,16.487090052380648,14.22990259351826,12.090787210064505,10.08185800643161,8.215514540579496,6.504441824016878,4.961610321799827,3.600275952533328,2.433980088370622,1.476549555012304,0.742096631708002,0.24501905125522092,0.0,0.022008117835688793,0.32629749820468446,0.9284076880974944,1.8441636880522725,model E,0.5392110183983216,zeta,v1.5,0.27199683315592355,-0.24868194571838872,-0.2410798282368546,-0.23977590418532815,18.0,43.0,48.564380526994185
