id,name,expires,t_1,t_2,t_3,t_4,t_5,t_6,t_7,t_8,t_9,t_10,t_11,t_12,t_13,t_14,t_15,t_16,t_17,t_18,t_19,t_20,t_21,t_22,t_23,t_24,t_25,t_26,t_27,t_28,t_29,t_30,t_31,t_32,t_33,t_34,t_35,t_36,t_37,t_38,t_39,t_40,t_41,t_42,t_43,t_44,t_45,t_46,t_47,t_48,t_49,t_50,t_51,t_52,t_53,t_54,t_55,t_56,t_57,t_58,t_59,t_60,t_61,t_62,t_63,t_64,t_65,t_66,t_67,t_68,t_69,t_70,t_71,t_72,t_73,t_74,t_75,t_76,t_77,t_78,t_79,t_80,t_81,t_82,t_83,t_84,t_85,t_86,t_87,t_88,t_89,t_90,t_91,t_92,t_93,t_94,t_95,t_96,t_97,t_98,t_99,t_100,InfoCore Size,Polarity Sinks,Sonoreceptors,Arakyd Vocabulator Model,Axial Piston Model,Nanochip Model,Repulsorlift Motor HP,Cranial Uplink Bandwidth,AutoTerrain Tread Count,Astrogation Buffer Length,Productivity
0,Thumpwidget Botberg Jr.,32.0,22.134440114553627,20.933600035858856,20.40078010810889,20.475913561606472,21.100155700726493,22.215995734162835,23.767363024668654,25.699727758290074,27.960196033093325,30.49759936738532,33.26257862742767,36.20766237464409,39.28733963232128,42.45812707180324,45.67863061817894,48.90960147546365,52.113986571273294,55.25697342099267,58.30602941143687,61.23093550400609,64.00381435733405,66.59915286942976,68.99381913931265,71.1670738481412,73.10057605983503,74.77838344119037,76.186946901489,77.31509965160058,78.1540406825785,78.69731266374892,78.94077426029364,78.88256687032612,78.52307578146086,77.86488574687651,76.91273098087214,75.6734395739173,74.15587232719476,72.37085600663775,70.33111101645977,68.05117349217798,65.54731181313073,62.83743753448721,59.941010738752084,56.878939806762176,53.67347560817717,50.348100111464355,46.92740941337548,43.436991187918345,39.90329655482046,36.35350636748798,32.81539192045598,29.317170076333703,25.88735281224317,22.5545911857492,19.34751372028667,16.294559210077118,13.423803944541415,10.762783352204796,8.338308064096612,6.17627439664083,4.301469254042753,2.737369450168274,1.5059354499154756,0.6273995300817207,0.12004835972105989,0.0,0.2809753235404001,0.9740638532614685,2.0874840207123744,3.626337843897545,5.592360024598676,7.983661465186411,10.794467204926942,14.014848775784666,17.63045097771355,21.622213073443756,25.96608440276552,30.632734416299005,35.58725712876514,40.78886999174337,46.19060718592858,51.739007332878195,57.37379562625193,63.02756038254771,68.62542401132912,74.08470840494739,79.31459474775541,84.2157777448148,88.68011427010416,92.5902664342039,95.81933907149315,98.23051164682947,99.67666458172113,100.0,99.03165689298532,96.59132070413102,92.48682733318668,86.51376155982933,78.45504988680642,68.0805478025607,9.350040134473645,0.8604547071146152,0.6105083003922542,model B,kappa,v1.0,1.645491546141515,-1.6372191660480337,94.0,77.0,100.0
1,Stonelift Botchik,91.0,39.20727145057001,28.848879370948577,20.373490700086112,13.608789622271264,8.390970513874915,4.564554764336421,1.9822075971498754,0.504554890850316,0.0,0.34454057617463135,1.4215853889495804,3.121771146886173,5.342779318517887,7.989152953336633,10.97211350277892,14.209377641212248,17.62497408692115,21.149060423093665,24.71773991880721,28.27287835001541,31.761920820533685,35.137708583025955,38.35829585999067,41.3867666647472,44.19105162242178,46.74374479093419,49.021920481983535,51.006950082034976,52.6843188733056,54.043442854750445,55.07748556304959,55.78317489359358,56.16061992146988,56.21312772244957,55.94702019397286,55.37145087613571,54.49822177267618,53.34160017196058,51.91813546796947,50.246475981284256,48.34718578007309,46.24256150107754,43.956449170598724,41.51406102548261,38.94179233410776,36.267038217371535,33.51801046967368,30.72355437990636,27.91296555243813,25.115806728100427,22.361724605173862,19.680266660375025,17.100697969841708,14.65181803012127,12.361777579154053,10.257895417261178,8.366475228130692,6.712622399802848,5.32006084565938,4.210949825405526,3.4057007660580583,2.922794082933832,2.778596000632661,2.9871753740235247,3.560120509234202,4.506355984635628,5.831959471825784,7.539978556621017,9.630247560035341,12.099204359274312,14.93970720871658,18.14085156090193,21.687786887512505,25.561533500371453,29.73879937241414,34.19179695868166,38.888060017310046,43.790260430513165,48.85602502556614,54.03775239579607,59.28242972156716,64.53144959126503,69.72042682228542,74.77901528201694,79.63072470883634,84.19273753308156,88.37572569804536,92.08366748096228,95.21366431399548,97.65575760521541,99.2927455595959,100.0,99.64528318814914,98.08856464563429,95.1818379748883,90.76893768016649,84.68535598855136,76.7580596709248,66.80530686295234,54.636463886082495,-29.11014331049975,0.25220487852475965,0.08315653242800636,model C,zeta,v2.0,0.9971164114949302,-0.9488145210181211,71.0,87.0,96.28171634837304
2,Firewalker Boterson II,31.0,61.50373826894223,49.57132556114679,39.44587652084758,31.00581913845584,24.13155312205441,18.705662741947137,14.61311966151537,11.741475754381138,9.981045907877446,9.22508081282524,9.369929739617538,10.31519330061022,11.963866198819963,14.222469962928882,17.001175668596122,20.21391664607652,23.778491174145845,27.616655160333398,31.654204807461017,35.82104926648931,40.05127327567081,44.28318978600985,48.459382573029394,52.52673883484492,56.436471776544984,60.144133180879,63.60961596525154,66.79714672502365,69.67526826312164,72.21681210595169,74.3988610056224,76.20270142847345,77.61376602991196,78.62156611555503,79.21961408867946,79.40533588397858,79.17997338762572,78.54847684364466,77.51938724658669,76.10470872051579,74.3197708842984,72.18308120320323,69.71616732680452,66.94340941319486,63.89186243950411,60.59106849872504,57.07285908284503,53.371147352286854,49.5217103916544,45.561961451786345,41.530712178115145,37.4679248253376,33.41445445838336,29.411781139701976,25.501732102845224,21.726193912366526,18.126814610019334,14.744695847267472,11.620075004100055,8.791997294153765,6.297977856141287,4.173653831590245,2.4524264288835127,1.1650929736096498,0.3394689452224547,0.0,0.16736398032112038,0.8580629102369508,2.084004977359942,3.852076501054539,6.163703886934827,9.014405567667989,12.393333930090938,16.282807228623085,20.65783148500077,25.485612374301493,30.72505709728903,36.32626623906012,42.23001561399356,48.36722809701506,54.65843544116341,61.01323008146653,67.32970692511596,73.49389512796652,79.37917985731725,84.8457140410292,89.73982010291773,93.89338168448474,97.12322535292269,99.23049229546247,100.0,99.19959392203997,96.57948913795039,91.87160198451221,84.78887168479396,75.02457196031217,62.25161262951734,46.1218311925723,26.265274402451276,2.2894698223277903,67.1369459370612,0.5399484715280567,0.36190249163347216,model D,alpha,v1.0,1.6489465894808433,-1.6167143801424921,3.0,48.0,-50.852941893939416
3,Thumplift Botberg,87.0,72.16719160337603,58.37141695240559,46.329586598762674,35.93610966657735,27.086845358678868,19.679281302711733,13.6127040338275,8.78836161395248,5.109618387631103,2.482101874445076,0.8138417980083869,0.0154012515379082,0.0,0.6836299188326842,1.9851625692437436,3.8264489100844394,6.1324111462991855,8.831126713950717,11.853904401821442,15.135352609590155,18.613439742584635,22.229546743110447,25.928511758354418,29.65866694486556,33.37186740961,37.02351228760278,40.57255795611544,43.98152338545848,47.21648762634062,50.247079433803364,53.04645902773125,55.59129198993777,57.861715297828034,59.8412954946353,61.51697899623589,62.87903453453683,63.9209877374422,64.63954784539293,65.03452656448367,65.10874905615586,64.86795706346443,64.32070417392258,63.47824321892087,62.35440580972358,60.96547401003863,59.33004414516528,57.468882747716656,55.40477463991852,53.16236315248243,50.76798248005747,48.24948217325453,45.636043767248914,42.95798954695709,40.24658344878957,37.53382409898125,34.8522299884933,32.23461678449713,29.713866778427555,27.32269047061566,25.09338029149792,23.0575564593988,21.24590497488792,19.68790775171862,18.411564884337242,17.44310905196841,16.806712059280002,16.524183513618826,16.614661638827233,17.094296225629492,17.97592371859961,19.26873443970074,20.97793194840702,23.104384538388675,25.644268870785353,28.588705744052096,31.923388000372515,35.62820056866223,39.67683264413862,44.0363820044633,48.66695146246888,53.52123745546257,58.544110771092036,63.67218940980061,68.8334035838536,73.94655285293837,78.92085539634913,83.65548942172505,88.03912671039895,91.94945829928572,95.25271229937451,97.80316385077785,99.44263721437443,100.0,99.29064953124742,97.11599134682075,93.2629098384733,87.50323102550743,79.5931774658746,69.27281530383866,56.26549345420682,-78.00865018997132,0.11778943617803223,-0.018237553054038347,model C,beta,v2.0,1.050511447042111,-1.0840876150601912,46.0,78.0,31.668468015909554
4,Pushlift Boterson I,57.0,15.446910946089703,19.603929626309505,23.51743784559761,27.18387568727924,30.600275665886738,33.76428264695519,36.67417169955775,39.32886388158086,41.72793995773919,43.87165205033047,45.76093322273005,47.39740499562535,48.783382795989986,49.92187933879784,50.81660594147684,51.47197177110255,51.893081024331686,52.08572804007522,52.056390344911485,51.812219631238996,51.361030668169036,50.71128814515819,49.87209144838051,48.85315736983957,47.66480074922042,46.31791304848107,44.82393885918412,43.19485034256793,41.44311960235776,39.581688990316536,37.623939344535664,35.583656160465424,33.47499369468531,31.312437001414068,29.110761901759663,26.884992885708908,24.650358946857054,22.422247349877004,20.21615533072854,18.047639729607155,15.932264556632743,13.885546490278285,11.922898308538056,10.059570252835831,8.310589324672675,6.690696515014906,5.214281966421546,3.8953180679115786,2.747290482571242,1.7831271079010558,1.0151249689024278,0.45487504390413064,0.11318502312900748,0.0,0.12432109518597886,0.49412201338773587,1.1162635328634662,1.996405927694342,3.1389193227894645,4.546791981630904,6.2215365267588165,8.163094092995713,10.36973641341091,12.83796583802513,15.562413285253918,18.535734126092045,21.748502001036847,25.18910056975167,28.843613193469135,32.69571055013467,36.72653618228817,40.914589977688095,45.23560958267259,49.662449748263256,54.16495960900561,58.70985789455222,63.260606073983475,67.77727943286999,72.21643608307278,76.53098390528599,80.6700454243156,84.5788206171018,88.1984476534795,91.46586156967713,94.31365087455873,96.66991208860227,98.45810221562076,99.59688914721988,100.0,99.57606738549194,98.22847361283925,95.85519282421491,92.34863106298037,87.59546427458436,81.47647424020073,73.86638244310556,64.63368186779606,53.64046673184835,40.74226015051374,25.787839734056462,-46.8115026101932,0.9916877431994545,0.7071566032930656,model B,kappa,v1.0,1.5119722215085662,-1.5016925958308358,88.0,56.0,71.32152298458146
5,Pushminer Botsky I,46.0,56.911420403880406,52.40675714888327,48.86343722389568,46.17619460256411,44.24564589256536,42.97815230372195,42.28568161611746,42.08567014821196,42.30088472495738,42.859284645912865,43.693883653360224,44.742611900419284,45.94817791916325,47.257930588734155,48.62372110345818,50.001764940961124,51.35250383028366,52.64046771999686,53.834136746317526,54.90580320122351,55.83143350056924,56.590530152201026,57.16599372407234,57.54398481235947,57.713786009576665,57.6676638726916,57.40073089124083,56.91080745544508,56.198283824324626,55.265982093814806,54.11901816488132,52.764663711635485,51.212208149450014,49.47282060307393,47.55941187474817,45.486496412321095,43.27005427736386,40.92739311328531,38.477010113448166,35.93845398928382,33.332186938407645,30.679446612735017,28.002108086596266,25.322545824852167,22.663495651008773,20.047916715333994,17.498853462971987,15.039297602058815,12.692050071837608,10.479583010774904,8.423901724675076,6.546406654795183,4.867755345962671,3.4077244146878156,2.18507151728134,1.217397317969127,0.5210074570065087,0.11077451879590268,0.0,0.20027627765884212,0.7213485773034415,1.5709769410733987,2.7547981958291436,4.2761879212713225,6.13612241805348,8.333040675897507,10.862706341709606,13.718069687697316,16.889129579480365,20.3627954442107,24.12274923868609,28.149307417464865,32.41928290098365,36.90584704366911,41.57839160205567,46.40239070290166,51.3392628113014,56.34623269880588,61.37619341153281,66.37756823828346,71.29417267866187,76.06507641118412,80.62446526139779,84.90150316999916,88.82019416093996,92.2992443095524,95.25192371066002,97.58592844669552,99.20324255580974,100.0,99.86634663320572,98.68630216944435,96.33762215091292,92.69165991611212,87.61322856795677,80.9604629418874,72.58468157399697,62.33024866913557,50.034436069031806,35.52728522040866,53.451754268160414,0.17748214057160772,-0.026452614684213366,model C,beta,v2.0,1.2936260104563617,-1.265935540195311,70.0,52.0,69.80851822331022
6,Firepulverizer Boterson,31.0,18.90520831467919,13.461614391752594,9.05156102359673,5.602194789477315,3.0418853560920276,1.3003541332372435,0.3087968426464031,0.0,0.30845131010717225,1.1704439752589315,2.52417491675297,4.309836909590155,6.469704630342581,8.948214618193244,11.692039149147396,14.650154023415421,17.773900265967427,21.01703974025934,24.33580467513082,27.68894110487451,31.037746222477107,34.346099646032094,37.58048859832384,40.710026999583555,43.70646847341681,46.54421326590266,49.20030907786418,51.6544458103111,53.88894422305349,55.88873850648773,57.6413527665531,59.13687142286127,60.367903519996304,61.32954095198691,62.01931059994986,62.437120382905675,62.58519922176543,62.468030916488736,62.09228193641494,61.466723123763735,60.60214531030952,59.51126884722569,58.20864704810188,56.71056354513135,55.034923558472,53.20113907877655,51.23000796289682,49.143586942758034,46.96505854740438,44.7185919382179,42.42919765730826,40.12257628907284,37.82496103493027,35.56295420122488,33.36335760030237,31.252996864758444,29.258539674855694,27.406307899117934,25.722083648090504,24.230909241273498,22.95688108722992,21.922937476862682,21.150640289860817,20.65995061432456,20.46899827955279,20.593845302010912,21.048243244463745,21.843384488284318,22.987647418930916,24.486335524598417,26.341410408040417,28.55121871156167,31.11021295518446,34.00866628798556,37.23238115260243,40.76239186291619,44.57466109490019,48.63977029064778,52.9226039755608,57.382027988723706,61.97056162643306,66.63404369891555,71.31129250020268,75.93375969119059,80.42517809585617,84.70120341066168,88.66904982711536,92.22711956751601,95.26462633386285,97.66121266993638,99.28656123655591,100.0,99.65010133361073,98.07427503255715,95.0983552417799,90.53618129710588,84.1891724795176,75.84589668263322,65.28163299331194,52.257928185462866,48.39461026877942,0.33559654596255634,0.043548412275437515,model E,zeta,v2.0,1.2959321718377625,-1.2869024611784214,71.0,83.0,92.82596940647699
7,Thumpdigger Botski,77.0,47.902372956170396,35.76137919259417,25.725068836010507,17.60930588970843,11.238760756925473,6.44672469756315,3.0749242849024467,0.9733358623192736,0.0,0.020835951656887508,0.9094561112435781,2.5469804696706486,4.821851071520979,7.629646471765296,10.872896192477665,14.46089517955097,18.309518259412375,22.34103459573878,26.483922146172333,30.672682119036043,34.84765343004903,38.95482715904201,42.9456610066732,46.77689375114307,50.41035970491073,53.81280317140832,56.95569290175763,59.81503655148484,62.371195137236114,64.60869749349327,66.51605472928924,68.08557468492317,69.3131763886768,70.19820451352878,70.74324383387112,70.9539336822237,70.83878240595133,70.40898182397748,69.67822168350003,68.66250411670923,67.3799580974991,65.85065389818521,64.09641754622176,62.14064528091336,60.00811801013345,57.724815767038386,55.31773216678258,52.814688863237116,50.24415000569854,47.63503669561324,45.01654144328578,42.41794262459723,39.868418937719724,37.39686385983463,35.03170010384322,32.80069407508665,30.730770328060103,28.8478260231255,27.17654538323158,25.740214150625913,24.560534043571433,23.65743721306423,23.04890069954408,22.750760889613726,22.77652797275494,23.137200398038978,23.841079330848235,24.89358310958813,26.29706170240488,28.050611163895585,30.149888091833134,32.58692408387384,35.34994019427069,38.42316139060333,41.78663101047371,45.41602521823646,49.282467461712784,53.352342928895034,57.58711300467275,61.943129727547465,66.37145024634353,70.81765127692829,75.22164355892293,79.51748631241941,83.63320169469999,87.490589256948,91.00504040095917,94.0853528358766,96.63354503487952,98.54467069191328,99.70663317841525,100.0,99.29781725320564,97.46542408219311,94.36026713546343,89.83171502258391,83.7208727708778,75.86039628217247,66.07430678949594,54.177805313789676,-55.6154827292644,0.722262461601901,0.6319217851293908,model B,gamma,v1.0,1.7808253797117568,-1.7398975802046417,31.0,13.0,-37.38575376665939
8,Waterborer Botsky,67.0,20.394174260593335,14.141398906390066,9.151195706877962,5.332243256226244,2.5947671434561537,0.850701653625102,0.013843844682880248,0.0,0.7271244565680743,2.115450808872381,4.087615488436374,6.568773719038449,9.486707847600625,12.771928050749503,16.357765417049162,20.180457404906225,24.179225676147002,28.296346305266674,32.47721236435071,36.67038888366815,40.827660187937205,44.90406960826274,48.857951569746106,52.65095605476681,56.24806544193641,59.617603720724354,62.731238081756246,65.5639728827838,68.09413599032716,70.30335749698902,72.17654081444147,73.70182614208402,74.8705463113744,75.67717500583122,76.11926735670873,76.19739291434384,75.91506099517467,75.27863840443206,74.29725953450209,72.98272883896249,71.34941568228817,69.41414156523234,67.19605972587695,64.71652711635681,61.998968755254516,59.068734455669755,55.95294792895709,52.680348264139724,49.281123782992424,45.78673827079795,42.2297495827759,38.64362062618184,35.06252271808077,31.521131318791202,28.054414141000557,24.69741163455696,21.485009846927085,18.451705659329164,15.631364398540246,13.05696982437051,10.760366492814269,8.771994494870626,7.120616571036233,5.833037601470951,4.933816471836484,4.444970314804138,4.385671127237904,4.7719347630476,5.616302301713723,6.9275137924873915,8.710174374260978,10.96441277110544,13.685532163490668,16.863653435167063,20.483350795726786,24.523279778832197,28.955797616122354,33.7465759867816,38.854206142790495,44.22979640984283,49.81656206394131,55.54940758365113,61.35450127804538,67.14884229030463,72.83981997700234,78.32476566304943,83.49049677232165,88.21285333395834,92.356226864324,95.77308162465195,98.30346825435352,99.77452978000335,100.0,98.77969424488299,95.8989925133442,91.1283149838923,84.22258990220382,74.92071384413222,62.945004354403345,48.00064496097525,-15.224493635497808,0.22009017768371067,0.055376209938513055,model C,zeta,v2.0,1.0243217859313116,-1.0214746161780326,51.0,58.0,28.350708657593756
9,Stonepulverizer Botberg I,95.0,46.309831301559406,34.87444520678956,25.5265258053025,18.07323481909402,12.331337981332057,8.126996549116544,5.295558816239098,3.6813516259427796,3.1374718836818802,3.5255780698815844,4.715681752697757,6.585939100776731,9.022442396015,11.919011546318899,15.176985598364542,18.70501425035742,22.41884936479203,26.241136481212017,30.10120632896941,33.93486633998483,37.68419216150684,41.29731916887207,44.7282339782647,47.936565959476155,50.887378748665014,53.55096176111689,55.9026217040039,57.9224740891442,59.595234745762525,60.91001133324934,61.860094853920145,62.44275116577634,62.65901249526463,62.513468950035524,62.014060031705284,61.17186614861323,60.000900128583915,58.51789873168466,56.742114162987264,54.695105585326445,52.40053063205904,49.883936919826546,47.172553561310934,44.29508267799825,41.28149091293482,38.162800943490105,34.97088299411456,31.738246349099796,28.497830865338763,25.282798485083436,22.126324748709415,19.06139030747047,16.120572436259234,13.335836546371127,10.738327698258457,8.358162114294432,6.224218691528965,4.363930514452809,2.8030763677546604,1.5655722490814428,0.6732628817960228,0.14571322774209744,0.0,0.2505031756445734,0.9086975085099243,1.982944041947041,3.4782816215825805,5.3962184080791955,7.734523389894947,10.487017896044536,13.643367108858584,17.18887157674189,21.104258726930674,25.365474378263887,29.94347425392709,34.80401549422505,39.90744816933359,45.208506792060284,50.65610183061512,56.193111221347856,61.75617188152707,67.2754712221026,72.67453866043951,77.87003713311303,82.77155460863321,87.28139560023314,91.29437267861394,94.69759798470947,97.37027474243902,99.18348877147437,100.0,99.67403397747529,98.05107338737703,94.96764955997693,90.25113398510271,83.71952982488153,75.18126342651405,64.43497583502712,51.26931430603967,35.46272381850696,82.39889415903849,0.6477352013391375,0.47199516877389985,model D,gamma,v1.0,1.6078364423074867,-1.5717310289487834,81.0,69.0,82.68629151535407
