id,name,expires,t_1,t_2,t_3,t_4,t_5,t_6,t_7,t_8,t_9,t_10,t_11,t_12,t_13,t_14,t_15,t_16,t_17,t_18,t_19,t_20,t_21,t_22,t_23,t_24,t_25,t_26,t_27,t_28,t_29,t_30,t_31,t_32,t_33,t_34,t_35,t_36,t_37,t_38,t_39,t_40,t_41,t_42,t_43,t_44,t_45,t_46,t_47,t_48,t_49,t_50,t_51,t_52,t_53,t_54,t_55,t_56,t_57,t_58,t_59,t_60,t_61,t_62,t_63,t_64,t_65,t_66,t_67,t_68,t_69,t_70,t_71,t_72,t_73,t_74,t_75,t_76,t_77,t_78,t_79,t_80,t_81,t_82,t_83,t_84,t_85,t_86,t_87,t_88,t_89,t_90,t_91,t_92,t_93,t_94,t_95,t_96,t_97,t_98,t_99,t_100,InfoCore Size,Arakyd Vocabulator Model,Axial Piston Model,Nanochip Model,Astrogation Buffer Length,Sonoreceptors,Repulsorlift Motor HP,Cranial Uplink Bandwidth,Polarity Sinks,AutoTerrain Tread Count,Productivity
0,Pushwidget Botberg Jr.,85.0,100.0,97.5022129821487,95.00003800693983,92.4951643711244,89.98928137145336,87.48407830467761,84.98124446754812,82.48246915681587,79.98944166923178,77.50385130154683,75.02738735051194,72.5617391128781,70.10859588539626,67.66964696481733,65.2465816478923,62.8410892313721,60.454859012007724,58.08958028655007,55.746942351750114,53.42863450435882,51.13634604112713,48.871766258806005,46.63658445414637,44.43248992389922,42.26117196481546,40.12431987364609,38.02362294714202,35.96077048205423,33.93745177513367,31.955356123131274,30.016172822798016,28.12159117088483,26.273300464142686,24.472989999322525,22.72234907317531,21.023066982451965,19.37683302390348,17.785336494280802,16.25026669033485,14.773312908816616,13.35616444647703,12.000510600067045,10.708040666337615,9.480443942039697,8.319409723924256,7.226627308742219,6.203785993244563,5.252575074182217,4.374683848306142,3.5718016123673015,2.8456176631166388,2.1978212973050986,1.630101811683644,1.1441485030032186,0.741650668014785,0.4242976034692875,0.1937786061176886,0.051782972710950705,0.0,0.04011898473579892,0.17382922366927359,0.402820013551441,0.728780651133209,1.153400433165504,1.6783686563993427,2.305374617585633,3.0361076134753557,3.8722569408194554,4.815511896368857,5.867561776874525,7.03009587908742,8.304803499758505,9.693373935638725,11.197496483479041,12.818860440030363,14.559155102043706,16.42006976626998,18.403293729460117,20.51051628836514,22.74342673973596,25.10371438032352,27.593068506878783,30.213178416152715,32.965733404896206,35.85242276986031,38.87493580779591,42.034961815454,45.334190089585476,48.77430992694134,52.35701062427255,56.08398147833,59.9569117858647,63.977490843627585,68.1474079483696,72.4683523968417,76.94201348579475,81.57008051197987,86.35424277214793,91.29618956304991,96.39761018143673,46.22024241942543,model D,beta,v1.0,1.4698717800140026,-1.4158418576452718,0.27241190729235715,-0.2806249598688866,36.0,18.0,59.89862643064153
1,Pushwalker Botsky,79.0,76.89773525291582,63.62457661001009,51.8342439705347,41.45524338708983,32.41651287579856,24.647529091436144,18.07841051944928,12.64001718486558,8.26404687809318,4.883127897610462,2.430908309545971,0.8421417241483294,0.05276958914649185,0.0,0.6223830270393458,1.8598825594965742,3.65394466642606,5.947562474515234,8.685337562785547,11.813537874183705,15.2801521440628,19.03494084555376,23.029483651826833,27.217223415243275,31.55350666339708,35.995620612047134,40.50282669493902,45.03639061051736,49.559608885528085,54.03783195551104,58.438483762182756,62.73107786770854,66.88723008586624,70.88066763009877,74.68723477845755,78.28489505543513,81.65372993068988,84.77593403465842,87.6358068910599,90.21974116628994,92.51620743570413,94.51573546679253,96.21089201924435,97.59625516190144,98.6683851066034,99.4257915589223,99.86889758578747,100.0,99.82322626163858,99.34448789635425,98.57143043055588,97.51337984348572,96.18128553618497,94.58765981735002,92.74651390607737,90.67329045150069,88.38479256931645,85.89910939520051,83.23553815511482,80.41450275250372,77.45746887237989,74.38685560230306,71.22594357024558,67.9987795993501,64.73007787957658,61.44511765624075,58.169637435439995,54.92972570637259,51.75170818054396,48.662031547866995,45.68714374964828,42.85337076846624,40.18678993494186,37.713099751392875,35.45748623238724,33.44448576217949,31.697844469040277,30.240374116474133,29.093804511330585,28.278632428801824,27.81396705431599,27.717371942309754,28.004703491905254,28.689945939464963,29.785042868046123,31.299725233736588,33.24133590888789,35.61465074223435,38.42169613590653,41.66156313932767,45.330218060005805,49.42030959121855,53.9209724565792,58.81762757149978,64.0917787215446,69.72080575766883,75.67775430835184,81.9311220086174,88.44464124595054,95.17705842309068,75.10175634153103,model B,zeta,v0.5,1.3953792760760284,-1.3078324175554674,0.1952848180810779,-0.23362010771758168,63.0,42.0,18.25901672413824
2,Firedigger Botson Jr.,35.0,100.0,99.9686936040506,99.81574191417464,99.54472485058675,99.15922233350159,98.66281428313376,98.05908061969792,97.35160126340871,96.54395613448071,95.63972515312864,94.64248823956707,93.55582531401063,92.38331629667401,91.12854110777181,89.79507966751865,88.38651189612919,86.90641771381806,85.3583770407999,83.7459697972893,82.07277590350095,80.34237527964947,78.5583478459495,76.72427352261563,74.84373222986255,72.92030388790486,70.95756841695723,68.95910573723425,66.9284957689506,64.86931843232085,62.785153647559696,60.67958133488176,58.55618141450165,56.418533806634045,54.27021843149353,52.114815209294775,49.95590406025238,47.79706490458103,45.641877662495325,43.49392225420988,41.35677859993939,39.23402661989843,37.12924623430167,35.04601736336374,32.98791992729926,30.95853384632286,28.961439040649207,27.000215430492915,25.078442936068612,23.199701477590924,21.367570975274536,19.585631349334022,17.857462519984058,16.18664440743925,14.576756931914245,13.031380013623671,11.554093572782186,10.148477529604415,8.818111804304973,7.5665763170985185,6.3974509881996475,5.314315737823037,4.320750486183305,3.4203351534950857,2.6166496599730174,1.9132739258317364,1.3137878712858795,0.8217714165500436,0.4408044818389247,0.17446698736710028,0.026338853349286054,0.0,0.09903034753397767,0.3270098161657767,0.6875183261101325,1.1841357975815632,1.820442150794745,2.6000173059643346,3.526441183305027,4.6032937030313015,5.834154785357894,7.222604350499401,8.772222318670558,10.486588610085864,12.369283144959994,14.423885843507664,16.653976625943372,19.063135412481838,21.654942123337673,24.432976678725595,27.40081899886007,30.56204900395585,33.92024661422761,37.47899174988985,41.24186433115725,45.21244427824449,49.39431151136627,53.791045950737036,58.406227516571526,63.24343612908447,68.30625170849032,-52.24335393824751,model E,alpha,windows 2000,0.99125653870514,-0.9243095847169829,-0.01903538404775834,0.0670377402452165,12.0,15.0,48.58671454146641
3,Stonehauler Botchik II,62.0,18.24648334761991,13.961750601690484,10.41454920781861,7.56094711150425,5.358026736154498,3.7638849830834644,2.7376332315123983,2.239397338569591,2.230317639290426,2.6725489466173644,3.5292605513999464,4.7646362223948024,6.343874206265629,8.233187227583203,10.399802488825383,12.811961670377109,15.43892093053042,18.2509509054844,21.21933670934523,24.31637793412617,27.515388649747578,30.790697404036838,34.11764722272848,37.47259560946408,40.83291454579228,44.1769904911688,47.48422438295653,50.7350316364253,53.910842144752124,56.994100279020984,59.96826488822317,62.81780929925678,65.52822131692712,68.08600322394659,70.47867178093463,72.69475822641786,74.72380827682979,76.55638212651112,78.18405444770968,79.59941439058025,80.79606558318491,81.7686261314926,82.51272861937929,83.02502010862834,83.30316213892984,83.34583072788124,83.15271637098698,82.72452404165848,82.06297319121438,81.17079774888022,80.0517461217888,78.71058119497994,77.15308033140055,75.38603537190454,73.41725263525294,71.25555291811398,68.91077149506293,66.39375811858184,63.716377019060324,60.891506904794745,57.933040961988524,54.85588685475239,51.675966725104104,48.41021719296825,45.07658935617677,41.69404879046858,38.28257554948978,34.863164164793325,31.45782364583947,28.089577479995448,24.78246363253563,21.56153454664117,18.452857143400937,15.483512821810349,12.68159745877183,10.076221409095528,7.697509505497773,5.5766010586030115,3.7456498569416627,2.237824166951982,1.0873067329791894,0.3292947772754158,0.0,0.13664857921920906,0.777481170906651,1.9617529089427104,3.729733405115022,6.122706749118329,9.18297150855408,12.953840728931665,17.479641933666755,22.805717124082065,28.978422779407904,36.04512985678181,44.0542237912474,53.055104495756346,63.09818636116764,74.23489825624547,86.51768352766305,100.0,-56.521777618417765,model D,beta,v1.0,1.4992772366055118,-1.4773052855665147,0.36860842903582663,-0.3859566773296151,94.0,45.0,-12.120394154895678
4,Rockpulverizer Botchik II,84.0,100.0,91.14551318567591,83.25034603406952,76.26744755716565,70.15005224469684,64.85175016468094,60.326554772877635,56.52896843116354,53.4140456348262,50.93745394877672,49.055532652681286,47.72534909501133,46.904752756012584,46.552427019592734,46.62793865412797,47.09178500218821,47.90543887918115,49.03139118091506,50.43319120008021,52.0754846516493,53.92404940719647,55.9458289381351,58.1089634678743,60.382818832894515,62.738013052741294,65.14644060893838,67.58129443281918,70.01708560227729,72.42966074743549,74.79621716523361,77.09531564293552,79.30689099055394,81.41226028219519,83.39412880632192,85.23659372493464,86.92514544167248,88.44666667883206,89.78942926330573,90.94308862143829,91.89867598280225,92.64858829289237,93.18657583473852,93.50772755943757,93.60845412560342,93.48646864773717,93.14076515351447,92.57159474999278,91.78043949873619,90.7699839998611,89.54408468499764,88.10773681917308,86.46703921161122,84.62915663545274,82.60227995639234,80.39558397023669,78.01918294937906,75.48408389819453,72.80213751735282,69.98598687705021,67.04901379916,64.00528294830276,60.869483631833454,57.6568693087492,54.38319480751495,51.06465125280734,47.71779870117887,44.35949648563845,41.00683126915493,37.67704280707348,34.38744741845476,31.155359166333408,27.998008746893255,24.932460087560255,21.975524654017455,19.143673466137553,16.452946822832708,13.918861735822501,11.556317072326243,9.379496406667325,7.4017685807998586,5.635585973752262,4.092380479992633,2.78245719670986,1.7148858200143926,0.8973897500577893,0.33623290507173714,0.03610424432561327,0.0,0.22910361798574413,0.7226634075931347,1.4778679001874222,2.4897189167363822,3.7509023442839755,5.2516566213343285,6.97963893216573,8.919789110048589,11.054191249397835,13.361933026828519,15.818962731146001,18.39794400224239,-92.90117778010058,model C,kappa,v1.5,1.7511902199128566,-1.768865959395492,0.3689544135814979,-0.3802097753883593,91.0,8.0,20.152481913658313
5,Pullminer Botski I,79.0,50.11333278057608,53.131281885922654,55.5457733069327,57.405086213015046,58.75529452700228,59.6403145645662,60.10195267363338,60.1799528738006,59.91204449575046,59.33398982066683,58.47963171965039,57.38094129313409,56.068065510298716,54.569374848488394,52.91151093262608,51.119434174629085,49.21647141282458,47.22436355136512,45.163313199644136,43.05203231171148,40.907789825688866,38.746459303185496,36.582566568713446,34.42933734910329,32.29874491291952,30.201557709876088,28.14738701025195,26.144734544306562,24.20104014169541,22.322729370885362,20.51526117857051,18.783175529087256,17.13014104383026,15.559002640667638,14.071829173356562,12.66996107095893,11.354057977256495,10.12414639016673,8.979667301158418,7.919523834666696,6.942128887508947,6.045452768300136,5.227070836868526,4.484211143671112,3.8138020692087484,3.212519963442375,2.6768367852078154,2.2030677416319278,1.7874189275475398,1.4260349649094306,1.1150466422092662,0.8506185538921465,0.6289967397706601,0.44655632444176196,0.2998491567016359,0.1856514489610779,0.10101141666151332,0.043296917689482094,0.010243091793954296,0.0,0.011180264025108537,0.04290670569517569,0.09485998635858103,0.1673262463034282,0.2612447441721658,0.37825549637684985,0.5207469165152667,0.6919034547853959,0.8957532374030649,1.1372157060145096,1.4221492571152827,1.7573988814619836,2.150843803490623,2.6114451207320903,3.1492934432246136,3.7756565329344594,4.50302694316569,5.345169657979957,6.317169731610292,7.435479927875913,8.71796835959959,10.183966128022725,11.854314962218751,13.751414858511795,15.899271719889088,18.323544995419585,21.05159531966676,24.1125321521055,27.53726141653855,31.35853314050886,35.610989094718946,40.331210432442866,45.55776532894505,51.33125662089396,57.69436944577618,64.69191888131412,72.37089758488409,80.78052343292393,89.97228716035659,100.0,-23.13221921506039,model E,alpha,windows 2000,1.102025701065687,-1.091767268825989,0.2343640776263181,-0.23455249131154948,5.0,34.0,58.80856765764378
6,Waterpulverizer Botson,99.0,32.82751075600806,39.400659343512224,45.40990126553177,50.87631254145945,55.82066268290223,60.26341469368142,64.22472506983253,67.72444379960542,70.7821143634642,73.41697373408724,75.64795237636721,77.49367424741109,78.97245679654009,80.10231096528972,80.90094118740971,81.38574538886422,81.57381498783154,81.48193489470428,81.12658351208937,80.52393273480799,79.68984794989555,78.63988803660186,77.3893053663909,75.95304580294095,74.34574870214465,72.58174691210874,70.67506677315447,68.63942811781719,66.48824427084664,64.23462204920666,61.89136176207569,59.470957210846166,56.985595689124835,54.447157982732854,51.86721836970559,49.257044620292696,46.62759799695802,43.98953325437983,41.35319863945058,38.728635891277094,36.12558024118032,33.55346041269564,31.021398621572637,28.538210575775075,26.112405475481275,23.752186013083694,21.465448373188945,19.259782232617937,17.14247076040614,15.120490617802906,13.200511958272171,11.3888984274921,9.691707163354979,8.11468879596759,6.663287447650669,5.3426407329395476,4.157579758583959,3.112629123547303,2.212006919007926,1.4596247283578838,0.8590876272042182,0.41369418336741176,0.12643645688283073,0.0,0.036763857182405706,0.2388005651083931,0.6078761526699951,1.145450140973866,1.852675543340992,2.7303988653060998,3.779160104619092,4.999192751243382,6.390423787357159,7.9524736873523905,9.684656417835608,11.58597943762784,13.655143697763952,15.890543641493625,18.290267204280124,20.85209581380168,23.57350438995019,26.4516613448323,29.483428582768852,32.66536150029448,35.99370898615909,39.464413421326036,43.07311067897303,46.8151301244924,50.6854946154904,54.67892050178841,58.78981762541996,63.01228932063586,67.34013241389889,71.76683722388701,76.28558756149248,80.88926072982107,85.57042752419456,90.32135223214652,95.13399263342727,100.0,-51.50079549188851,model D,beta,v1.0,1.5577253545377414,-1.4539044819111024,0.206111691885616,-0.2017197418919522,48.0,22.0,46.966398867577794
7,Pulldigger Botberg II,48.0,3.4648808381714207,11.409733380595245,18.955313474963702,26.109200174194356,32.87897253120474,39.27220959891239,45.296490430234854,50.95939407808968,56.2684995953944,61.23138603506661,65.85563245002376,70.1488178931835,74.11852141746328,77.77232207578072,81.1177989210533,84.16253100619859,86.91409738413415,89.38007710777754,91.56804923004624,93.48559280385784,95.14028688212987,96.53971051777988,97.69144276372542,98.60306267288401,99.28214929817324,99.7362816925106,99.97303890881368,100.0,99.8247440189871,99.45485001869253,98.8978970520338,98.16146417192854,97.25313043129424,96.18047488304842,94.9510765801087,93.57251457539253,92.05236792181752,90.39821567230118,88.61763687976108,86.71821059711478,84.70751587727973,82.59313177317361,80.38263733771387,78.08361162381804,75.70363368440377,73.25028257238849,70.73113734068977,68.15377704222527,65.52578072991237,62.85472745666868,60.14819627541178,57.41376623905916,54.65901640052834,51.89152581273698,49.11887352860258,46.348638601042545,43.58840008297467,40.84573702731624,38.12822848698496,35.44345351489843,32.79899116397399,30.202420487129224,27.661320537281924,25.183270367349387,22.775849030249148,20.446635578898924,18.203209066216154,16.053148545118322,14.004033068523144,12.063441689348066,10.238953460510444,8.53814743492821,6.9686026655187225,5.537898205199196,4.2536131068878085,3.1233264235018003,2.154617207958375,1.355064513175629,0.7322473920710002,0.29374489756168237,0.04713608256546562,0.0,0.15991570278258402,0.5344622438309027,1.1312186760626175,1.9577640523948867,3.0216774257456414,4.330537849032414,5.891924375172385,7.713416057083347,9.802591947683089,12.167031099888662,14.814312566617849,17.75201540078834,20.987718655317398,24.529001383122708,28.383442637121973,32.558621470232445,37.062116935371655,41.90150808545755,17.300466829310807,model D,beta,v1.0,1.6047251052761848,-1.6987141290005472,0.21589553907713632,-0.22983488512905884,94.0,7.0,10.60308018021506
8,Wallwidget Botson II,62.0,41.862841019332905,48.81877550182202,55.2452156784477,61.16021482948833,66.58156855234184,71.52681476152564,76.0132336886768,80.05784788255185,83.67742220902693,86.88846385109767,89.70722230887928,92.14968939960654,94.23159925763375,95.96842833443473,97.37539539860293,98.46746153585129,99.25933014901229,99.76544695803798,100.0,99.97691962908945,99.70987851661704,99.21229165101305,98.49731633782719,97.57785219972888,96.466541176507,95.17576752506994,93.71765781944576,92.10408095078192,90.34664812734557,88.45671287452333,86.44537103482133,84.32346076786534,82.10156255040066,79.78999917629211,77.39883575652408,74.93787971920041,72.41668080954469,69.84453108989986,67.23046493972858,64.58325905561293,61.9114324512545,59.2232464574746,56.52670472221405,53.829553210532985,51.13928020461148,48.463116303748734,45.808034424363896,43.18074979999533,40.58771998130131,38.035144836059196,35.52896654916625,33.074869622639284,30.678280875614405,28.34436944434735,26.078046782213764,23.88396665970823,21.766525164445348,19.729860701159186,17.777853991703196,15.914128075050538,14.142048307293628,12.464722361644986,10.88500022843613,9.405474215118472,8.028478946262837,6.756091363559445,5.590130725818515,4.5321586089693655,3.5834789060610808,2.745137827262233,2.017923899860776,1.4023679682646852,0.8987431940009243,0.5070650557166689,0.22709134917781268,0.05832218727044441,0.0,0.05110953449131667,0.21037785498898023,0.47627434285724274,0.8470106965794106,1.3205409317588175,1.89456138111834,2.5665106944996623,3.3335698388654182,4.192662098296288,5.140453073993633,6.173350684277802,7.287505164588176,8.478809067485592,9.74289726264812,11.075146936874598,12.470677594083817,13.924351055312467,15.430771458718977,16.984285259579433,18.578981230290523,20.20869046036828,21.866986356447736,23.547184642284783,64.9747955332746,model E,alpha,windows 2000,1.0388181721466765,-1.030659091110046,-0.07509103875646464,0.06784553863224119,43.0,49.0,36.14336192580326
9,Waterlift Botsky II,64.0,25.251195662240633,29.471811676135832,33.698127676433735,37.91232944916885,42.09708601231012,46.235585975360394,50.311572064085055,54.30937381036972,58.21393840720709,62.01085972881295,65.68640551587121,69.22754272590817,72.62196104879575,75.85809458738397,78.9251417032626,81.81308302765167,84.51269763742145,87.01557739624116,89.31413946085719,91.40163695250013,93.27216779342115,94.92068170855725,96.34298539232593,97.53574584054864,98.49649184750365,99.22361366810793,99.71636084522807,99.97483820212034,100.0,99.79364226073963,99.35839325469655,98.69770215366944,97.81582584898389,96.71781393470752,95.40949185599355,93.89744222255408,92.18898428726222,90.29215158988343,88.21566776593563,85.96892052067929,83.56193376823538,81.0053379358338,78.31033843318971,75.48868228700996,72.55262294062791,69.51488321876785,66.38861645743815,63.18736579895401,59.92502165208895,56.615777317355324,53.27408277741444,49.91459665261536,46.552136321662864,43.20162620741501,39.87804422780899,36.59636641191683,33.371509681129844,30.218272795472373,27.1512754650444,24.1848956265937,21.333204885216496,18.609902121188146,16.028245261921516,13.600981219056472,11.340273990676621,9.25763092865592,7.363827171134762,5.668828240124529,4.181710804241762,2.9105816065712613,1.8624945576579777,1.043365993628514,0.4578880994420634,0.10944049726898787,0.0,0.13004852988464813,0.49847920229674325,1.1025005746318108,1.9375390603312135,2.9971395080371876,4.2728639458757085,5.754188490869036,7.4283984234779705,9.280481427271955,11.29301899372868,13.446075992164506,15.717088404789886,18.08074922690042,20.508892532188955,22.970375703194744,25.43095982687519,27.8531882553116,30.196263331541,32.415921280517395,34.464305265205105,36.28983660779683,37.83708417606313,39.046631934831375,39.854944662593496,40.194231833242696,-74.83573178742984,model C,kappa,v1.5,1.7989034445601837,-1.7097664228115186,0.3954288355960583,-0.345462288894105,2.0,0.0,55.29032444441523
