id,name,expires,t_1,t_2,t_3,t_4,t_5,t_6,t_7,t_8,t_9,t_10,t_11,t_12,t_13,t_14,t_15,t_16,t_17,t_18,t_19,t_20,t_21,t_22,t_23,t_24,t_25,t_26,t_27,t_28,t_29,t_30,t_31,t_32,t_33,t_34,t_35,t_36,t_37,t_38,t_39,t_40,t_41,t_42,t_43,t_44,t_45,t_46,t_47,t_48,t_49,t_50,t_51,t_52,t_53,t_54,t_55,t_56,t_57,t_58,t_59,t_60,t_61,t_62,t_63,t_64,t_65,t_66,t_67,t_68,t_69,t_70,t_71,t_72,t_73,t_74,t_75,t_76,t_77,t_78,t_79,t_80,t_81,t_82,t_83,t_84,t_85,t_86,t_87,t_88,t_89,t_90,t_91,t_92,t_93,t_94,t_95,t_96,t_97,t_98,t_99,t_100,Axial Piston Model,Astrogation Buffer Length,InfoCore Size,Polarity Sinks,Arakyd Vocabulator Model,Nanochip Model,Repulsorlift Motor HP,AutoTerrain Tread Count,Sonoreceptors,Cranial Uplink Bandwidth,Productivity
0,Stonevator Botchik II,93.0,41.136159397030404,42.5288385855105,44.10470420343943,45.84422642937897,47.72842770195558,49.73888271986045,51.85771844184942,54.067614086743035,56.35180113342654,58.69406332084988,61.07873664802766,63.4907093740392,65.91542201802852,68.33886735920433,70.74759043684,73.12868855027362,75.46981125890801,77.75916038221055,79.9854899997135,82.13810645101364,84.20686833577255,86.18218651371646,88.05502410463629,89.81689648838768,91.45987130489092,92.97656845413108,94.36016009615777,95.60437065108543,96.70347679909311,97.65230748042464,98.44624389538842,99.08121950435768,99.55372002777021,99.8607834461286,100.0,99.96951219001642,99.76801477687445,99.39475478133538,98.84953148422527,98.13269642643476,97.24515340891924,96.18835849269884,94.96431999885827,93.57559850854702,92.02530686297924,90.31711016343382,88.45522577125419,86.44442330784871,84.29002465469023,81.99790395331634,79.5744876053294,77.02675427239639,74.362234876249,71.58901259868365,68.71572288156132,65.75155342680792,62.70624419641378,59.5900874124341,56.413927556988796,53.18916137226222,49.92773786050378,46.642158284027346,43.345476165211444,40.05129728649954,36.77377969039946,33.52763367948398,30.328121816390478,27.191058923821025,24.132812084542397,21.170300641385957,18.320996197247947,15.602922615089268,13.034656017935214,10.63532478887626,8.424609571067228,6.422743267727664,4.650511042141916,3.129250317659232,1.8808507776927625,0.9277543657213885,0.2929552852878854,0.0,0.07298723353041378,0.5365679696160173,1.4159454520589425,2.7368751847254096,4.525664931546666,6.80917471651903,9.614816823702544,12.970555797222802,16.904908441270067,21.446943820098436,26.62628325802742,32.473100339441565,39.01812090878903,46.292623070583836,54.32843718940352,63.15794588989123,72.81408405675467,83.3303388347657,model C,1.5331896184419147,-0.22462621266451754,0.5685877492180554,kappa,windows 2000,-0.015947758638293452,-0.017942766666788908,72.0,6.0,23.12955293131327
1,Thumpwalker Botson Jr.,93.0,49.12424244198917,53.737641857630244,58.11274716418359,62.25198490725976,66.15786729800531,69.83299221310278,73.28004319477068,76.50178945076354,79.50108585437182,82.28087294442203,84.84417692527663,87.19410966683405,89.33386870452874,91.26673723933112,92.9960841377476,94.52536393182058,95.8581168191284,96.99796866278545,97.94863099144207,98.7139009992846,99.29766154603537,99.70388115695266,99.93661402283078,100.0,99.89826461032656,99.63571904121275,99.21676014559678,98.64587044195285,97.9276181142912,97.06665701215799,96.06772665063541,94.9356522103416,93.67534453743073,92.29180014359291,90.79010120605427,89.1754155675769,87.4529967364589,85.62818388653432,83.70640185717326,81.69316115328174,79.59405794530177,77.41477406921145,75.16107702652464,72.83881998429142,70.45394177509775,68.01246689706558,65.52050551385287,62.98425345465352,60.409992214197395,57.804088952750554,55.1729964961147,52.52325333562785,49.86148362816375,47.19439719613228,44.528789527479276,41.87154177568659,39.22962075977188,36.61007896428908,34.020054539327916,31.466771300514125,28.957538729009446,26.499751971511603,24.100891840254302,21.768524813007257,19.51030303307613,17.333964309302598,15.247332116064335,13.258315593274943,11.374909546384112,9.605194446377325,7.957336429776247,6.439587298638472,5.0602845205576275,3.827851228663192,2.7507962216206128,1.8377139636315911,1.09728458443344,0.5382738792998801,0.16953330904020816,0.0,0.038696744060626447,0.2947319986395407,0.7772998866901204,1.4956801967019158,2.4592383827002213,3.6774255642464366,5.159778526437885,6.915919719907933,8.955557260825877,11.288484930897187,13.924582177362998,16.873814113000623,20.146231516123496,23.751970830580696,27.701254165757565,32.00438929657523,36.67176966349107,41.713874372498175,47.141268195125804,52.96460156843891,model B,1.5125454903539945,-0.023817798367446907,0.5700972043966296,kappa,windows 2000,-0.21709018284642834,0.19217176142991269,34.0,0.0,44.81664160465063
2,Pullminer Boterson Jr.,65.0,88.29435726155084,86.55740799982932,85.06782606259792,83.80695060732006,82.7566283441637,81.89921353600135,81.21756799840992,80.69506109967091,80.31556976077026,80.06347845539847,79.92367920995049,79.8815716035258,79.92306276792837,80.03456738766668,80.20300769995372,80.41581349470697,80.66092211454837,80.92677845480446,81.20233496350619,81.47705164138907,81.74089604189304,81.98434327116266,82.19837598804685,82.37448440409916,82.50466628357755,82.58142694344454,82.59777925336712,82.5472436357168,82.42384806556956,82.2221280707059,81.93712673161087,81.56439468147391,81.09999010618911,80.54047874435493,79.88293388727435,79.12493637895494,78.2645746161087,77.30044454815216,76.23164967720632,75.05780105809666,73.7790172983533,72.39592455821068,70.90965655060786,69.32185454118837,67.63466734830024,65.85075134299599,63.973270449032604,62.00589614287174,59.95280745367931,57.818690963325935,55.60874080638665,53.32865867014094,50.984653794572864,48.58344297237096,46.13225054892832,43.63880842234238,41.11135604341538,38.55864041565374,35.98991609526858,33.41494519117539,30.843997364994152,28.287849831049627,25.757787356370663,23.265602260690983,20.82359441644865,18.444571248786133,16.141847735550606,13.929246407293327,11.821097347270882,9.832238191443311,7.978014128476116,6.274277899738773,4.737389799305133,3.3842176739538896,2.232136923168332,1.2990304991357136,0.6032889067484827,0.16381020360271928,0.0,0.13177145894569772,0.5795452961499823,1.364249780027209,2.5073207316967303,4.030701524982173,5.956843086411315,8.308703895217032,11.109749983336467,14.383954935411229,18.15579988878691,22.450273533514757,27.292872112349585,32.709599420750976,38.72696680688322,45.37199317161477,52.6722049685189,60.655636203872845,69.3508284366591,78.78683077856432,88.99319989397922,100.0,model D,1.349486429157842,0.09863363361964739,0.42831303029401835,kappa,windows 2000,-0.08666719873084139,0.11872982788776959,9.0,14.0,42.66998711800264
3,Stonevator Botski Jr.,55.0,5.046461522634997,19.763901100944043,32.580749614782455,43.65111586576349,53.12170371998931,61.13197374586107,67.81430485188903,73.2941559245028,77.69022746586127,81.11462323166292,83.67301186895575,85.46478855394768,86.58323662981631,87.1156892445194,87.14369098860479,86.74315953302046,85.98454726692489,84.93300293549707,83.64853327774648,82.18616466432344,80.59610473532912,78.92390403812564,77.2106176651463,75.49296689170549,73.80350081380915,72.17075798596461,70.61942805899076,69.17051341782832,67.84149081934973,66.6464730301696,65.5963704644546,64.69905282173323,63.95951072470704,63.38001735705944,62.960290101266715,62.697652176407814,62.58719427597465,62.62193620568174,62.79298852127725,63.08971416635204,63.49989011015057,64.00986898538066,64.60474072602375,65.26849420514498,65.98417887270345,66.73406639336187,67.4998122842975,68.2626175530114,69.00339033513897,69.70290753226078,70.3419764497106,70.901596434388,71.36312051256742,71.7084170277073,71.92003127826233,71.98134715549118,71.87674878126839,71.59178214589498,71.11331674590559,70.42970722188139,69.53095499625992,68.408869911144,67.0572318661129,65.4719524560312,63.65123660886074,61.59574422347012,59.308751807443514,56.79631411489115,54.06742578426306,51.134182976151266,48.011945011110264,44.7194960074589,41.2792065190915,37.71719517329326,34.063490308546704,30.352191612339013,26.62163175897746,22.91453804739647,19.27819403896881,15.764601195318912,12.430640516119695,9.338234176922072,6.554507166952288,4.15194892692424,2.208574986853366,0.8080886038584342,0.04004239998446453,0.0,0.7896976692153749,2.517205951289428,5.297091306043993,9.250577747260651,14.505708480514551,21.197507540960288,29.468141431156642,39.46708075886986,51.351261874893424,65.28524851083914,81.44139341697236,100.0,model D,1.1335428694551346,-0.23000215522283313,0.03220369588722008,gamma,v1.0,-0.13618915372604756,0.08643269316891197,28.0,74.0,72.53921824213288
4,Wallhauler Botson I,59.0,10.353431552550397,18.519630585393383,26.361742479824642,33.86032922858855,40.99818716165813,47.76028280200979,54.13368872139815,60.10751939613075,65.67286706284284,70.82273757427221,75.55198625503382,79.85725375739474,83.73690191704878,87.19094960889136,90.22100860279416,92.83021941938007,95.02318718579778,96.8059174914966,98.18575224400135,99.17130552468694,99.7723994445533,100.0,99.8661529286012,99.38391956488024,98.56731269608451,97.43123241796026,95.99140199052721,94.2643036938535,92.26711468383031,90.01764284794682,87.53426266106467,84.83585104119308,81.94172320526336,78.87156852490386,75.64538638221458,72.28342202554207,68.80610242525407,65.23397212951443,61.587629120057805,57.88766066796438,54.15457918943471,50.40875810156442,46.67036767811912,42.959310905308875,39.2951593375635,35.69708895330658,32.18381601073104,28.77353290357327,25.48384401688842,22.33170158282458,19.333341536398134,16.504219371268185,13.858945995511451,11.411223587397043,9.173781451160982,7.158311872781307,5.375405975752854,3.8344895768616696,2.5437590419600378,1.5101171417410675,0.7391089075145365,0.2348574869788188,0.0,0.035623394381853635,0.3412003016443297,0.9145248927968249,1.75164873411305,2.8468166429055732,4.192402543300909,5.778845322014515,7.59458468412478,9.625997008848575,11.857331205316159,14.270644568345018,16.845738634215454,19.56009503644463,22.38881136156156,25.30453700488289,28.277409026286293,31.2749880059868,34.262193900308795,37.20124189746356,40.05157827332377,42.7698162471956,45.309671837597406,47.62189971803149,49.654229072759854,51.3512994525802,52.65459663059705,53.50238845800162,53.82966071984182,53.56805299080183,52.64579449097122,50.987639941623854,48.514805420992325,45.14490422004045,40.791882698241125,35.36595613934848,28.773544607172852,20.917208801357905,model B,1.3901733450380331,-0.1226074301091199,0.407367469558664,gamma,v1.0,-0.4154486192768437,0.5751347326556273,96.0,75.0,-40.547977195018795
5,Watervator Botberg II,92.0,12.304208947036315,13.790385530908972,15.54398177834625,17.54080195325563,19.75729106270553,22.1705348569253,24.758259829305217,27.498833216396505,30.371262997911323,33.355197896722764,36.430927378864844,39.57938165353253,42.78213167308172,46.02138913302925,49.28000647205289,52.54147687199132,55.78993425784421,59.01015329777211,62.187549403096554,65.30817872829995,68.3587381710257,71.32656537207814,74.19963871542248,76.96657732818493,79.61664108065261,82.13973058627356,84.52638720165683,86.76779302657226,88.85577090395077,90.78278441988415,92.54193790362511,94.12697642758738,95.53228580734549,96.75289260163503,97.78446411235247,98.62330838455517,99.26637420646152,99.71125110945084,99.9561693680633,100.0,99.84225476612312,99.48308617045566,98.92328746018153,98.16429262564571,97.20817640035396,96.05765426097307,94.71608242733069,93.18745786241551,91.47641827237712,89.58824210652595,87.5288485573335,85.3047975604322,82.92328979461526,80.39216668183698,77.7199103872124,74.9156438190179,71.98913062869026,68.95077521082776,65.81162270318916,62.58335898669428,59.27831068542395,55.909445166619996,52.49037054068481,49.035335661182415,45.55923012483692,42.07758427153409,38.60656918432034,35.16299668940285,31.764319356150082,28.428630497090744,25.17466416791579,22.02179516747567,18.990039037782726,16.100052064009546,13.373131274490591,10.831214440720112,8.496880077354255,6.393347442209708,4.544476536263938,2.9747681036554834,1.7093636316840626,0.774045350809903,0.1952362346543697,0.0,0.21604110678983066,0.8717047581280012,1.9959769002798882,3.61848422267128,5.769494157889433,8.47991488168204,11.781295312957607,15.705825113786812,20.286334689399805,25.55629518818853,31.549818501705012,38.30165726466336,45.84720485493807,54.22249539356391,63.46420374473784,73.60964551581716,model B,1.4330642811466414,-0.20409815049208097,0.6235256947746247,kappa,windows 2000,-0.09828492540496919,0.14076543867561503,39.0,66.0,24.3877748290426
6,Walldigger Botsky,92.0,100.0,99.30225267619079,98.79021263642971,98.4387420893294,98.22396663751185,98.12325205914641,98.11518108948756,98.1795302024128,98.2972463919605,98.45042395386768,98.62228126710802,98.79713757542959,98.9603897688927,99.09848916540778,99.19891829227329,99.25016766771354,99.24171258241643,99.16398988107146,99.00837474390752,98.76715746823075,98.43352024996238,98.00151396517658,97.46603495163835,96.8228017903413,96.06833208704562,95.1999192538158,94.21560929055859,93.11417756656078,91.89510560202713,90.55855784961807,89.1053584759878,87.53696814332191,85.85546079087536,84.06350041651027,82.16431785823386,80.16168757573617,78.05990443192798,75.86376047447881,73.57852171735446,71.20990492235518,68.76405438065328,66.24751869433112,63.66722755791893,61.03046853993263,58.34486386441179,55.61834719245732,52.85914040376948,50.07573037818561,47.27684577721804,44.471433825591944,41.66863709278319,38.87777027455625,36.108296974501854,33.369806485575154,30.671990571633284,28.024620248973374,25.437522567870253,22.920557394114695,20.483594190550843,18.13648879861399,15.889060219868817,13.751067397547414,11.73218599808624,9.84198519266481,8.089904438743428,6.485230261600449,5.037073035871036,3.7543437670843733,2.6457308732015656,1.719676966153611,0.9843556333794199,0.44764821936376004,0.1171206071741309,0.0,0.10315170268965752,0.4330559032886976,0.995784454577259,1.7969776556085546,2.8418210332459837,4.1350221237017255,5.6807872540735795,7.482798323885021,9.544189586619495,11.867524431261787,14.454772163834226,17.307284788933426,20.425773791270828,23.81028691720922,27.460184956298818,31.374118522818307,35.55000483731139,39.98500450812214,44.67549831293924,49.61706398032631,54.804452971262386,60.23156726068542,65.89143611902095,71.77619289372498,77.87705179082329,84.1842846564448,model D,1.3637261162459278,0.03255403771348342,0.39063421469805537,kappa,windows 2000,-0.23547467961230978,0.14556251089086392,57.0,5.0,33.46736963164868
7,Stoneborer Botberg II,43.0,29.024248635558735,39.054039076689754,48.1666687694618,56.40112592672541,63.79569820908559,70.38797272490181,76.214836030288,81.3124741291125,85.7163724729982,89.46131596132241,92.58138894121686,95.1099752075678,97.07975800301591,98.52272001795633,99.47014339053874,99.95260970666709,100.0,99.64149475195043,98.90557389168579,97.82001679612813,96.41190228995364,94.70760864559328,92.73281358323233,90.51249427081048,88.07092732402201,85.43168880631556,82.6176542288943,79.65099855071581,76.55319617849213,73.3450209666898,70.04654621752982,66.67714468098757,63.255488554793004,59.799549484430514,56.326598563138774,52.85320633191125,49.395242779495575,45.96787734239392,42.585578904863084,39.26211579891414,36.01055580431264,32.843266148578586,29.771913506986635,26.807464002565567,23.960183206098957,21.239636136124666,18.65468725893498,16.21350048857679,13.923539186851286,11.791566163314302,9.82364367527588,8.025133427800904,6.400696573708135,4.954293713571583,3.689184895718931,2.6079296162329135,1.712386818950396,1.003714895462698,0.4823716851157306,0.1481144750099599,0.0,0.03638444269538739,0.2549234334596688,0.6525720504108239,1.225584819421949,1.9695157141195434,2.8792181558858756,3.9488450138566176,5.171848604922037,6.540980693727396,8.048292492672063,9.685134661909697,11.442157309348852,13.309309990652565,15.275841709237028,17.330300916275405,19.46053551069261,21.65369283917018,23.896219696142396,26.173862323799558,28.471666412085444,30.773977098698087,33.06443896909108,35.32599605647138,37.5408918418009,39.69066925379612,41.756170668928114,43.717537911421196,45.55421225325579,47.2449344141659,48.76774456164,50.09998231092132,51.21828672500786,52.09859631465039,52.71614903835613,53.045482302386596,53.060432960755755,52.73413731523489,52.03903111534688,50.94684955837282,model B,1.3577198922798333,-0.3807400310739712,0.19932741453255426,gamma,v1.0,-0.2081102748291217,0.22945399078371131,64.0,98.0,-26.818171729151416
8,Wallwalker Boterson II,59.0,76.4286686601534,79.32658094447837,82.01379897185585,84.4946775091258,86.77357132312822,88.85483518070308,90.7428238486903,92.44189209392992,93.9563946832619,95.29068638352615,96.44912196156272,97.43605618421154,98.25584381831256,98.91283963070576,99.41139838823115,99.75587485772867,99.95062380603828,100.0,99.90835820645374,99.6800531922395,99.31943972419727,98.83087256916698,98.21870649398862,97.48729626550214,96.64099665054754,95.68416241596476,94.62114832859382,93.45630915527465,92.19399966284725,90.83857461815155,89.39438878802754,87.86579693931522,86.25715383885449,84.57281425348539,82.81713295004785,80.99446469538188,79.10916425632742,77.16558639972445,75.16808589241289,73.1210175012328,71.02873599302411,68.89559613462679,66.72595269288078,64.52416043462608,62.294574126702685,60.04154853595054,57.76943842920962,55.48259857331984,53.18538373512127,50.88214868145384,48.57724817915747,46.27503699507219,43.97986989603799,41.696101648894775,39.42808702048251,37.18018077764123,34.956737687210904,32.76211251603146,30.600660030942862,28.47673499878505,26.394692186398146,24.358886360621973,22.373672288296557,20.443404736261833,18.57243847135784,16.765128260424518,15.02582887030178,13.358895067829657,11.768681619848104,10.259543293197101,8.835834854716616,7.501911071246623,6.262126709627092,5.120836536697946,4.082395319299235,3.151157824270815,2.3314788184527764,1.6277130686850514,1.044215341807614,0.5853404046604279,0.2554430240834669,0.05887796691665209,0.0,0.0831638901735378,0.31272440427712284,0.6930363091507928,1.2284543716345113,1.9233333585682526,2.7820280367919157,3.8088931731456026,5.008283534469161,6.384553887602616,7.942058999386006,9.685153636659189,11.618192566262172,13.745530555034884,16.07152236981741,18.600522777449534,21.33688654477141,24.284968438623032,model C,1.4547346729679165,0.1284871732108439,0.3907005439316643,gamma,v1.0,-0.3446433138858146,0.38829561582976263,87.0,49.0,2.7782910890780244
9,Waterdigger Botchik,93.0,100.0,99.32135121369461,98.55869661553879,97.71478336392973,96.79235861726454,95.7941695339404,94.72296327235445,93.58148699090384,92.37248784798572,91.09871300199727,89.76290961133562,88.36782483439794,86.91620582958134,85.41079975528302,83.8543537699001,82.24961503182975,80.59933069946914,78.90624793121538,77.17311388546565,75.4026757206171,73.59768059506689,71.76087566721215,69.89500809545004,68.00282503817773,66.08707365379234,64.15050110069107,62.19585453727103,60.225881121929405,58.24332801306331,56.250942369069925,54.2514713483464,52.247662109289884,50.24226181029753,48.238017609766494,46.237676666093925,44.24398613767696,42.259693182912784,40.28754496019853,38.33028862793136,36.390671344508405,34.47144026832683,32.57534255778381,30.70512537127646,28.863535867201968,27.05332120395746,25.277228539940094,23.538005033547044,21.838397843175432,20.18115412722241,18.569021044085154,17.00474575216083,15.491075409846555,14.03075717553948,12.62653820763678,11.28116566453562,9.997386704633096,8.777948486326418,7.625598168012722,6.543082908089154,5.533149864952863,4.598546197001004,3.7420190626307503,2.966315620239221,2.274183028223591,1.6683684449810003,1.151619028908614,0.7266819384035834,0.3963043318630499,0.16323336768417715,0.030216204264117447,0.0,0.07533191328900023,0.25895910252829357,0.5536287261150208,0.9620879424462878,1.4870839099192936,2.1313637869311552,2.897674731879072,3.7887639031601603,4.807378459171585,5.956265558310487,7.238172358974042,8.65584601955939,10.212033698463694,11.909482554084082,13.750939744817723,15.739152429061768,17.876867765213376,20.166832911669726,22.611795026827913,25.214501269085098,27.977698796838464,30.904134768485143,33.99655634242229,37.257710677047065,40.69034493075663,44.297206261948105,48.08104182901868,52.04459879036547,56.19062430438567,model B,1.325657494837944,0.03559216991595515,0.3627792875126745,kappa,windows 2000,-0.19339739325870425,0.2548388004040144,65.0,45.0,19.633601821571617
