id,name,expires,t_1,t_2,t_3,t_4,t_5,t_6,t_7,t_8,t_9,t_10,t_11,t_12,t_13,t_14,t_15,t_16,t_17,t_18,t_19,t_20,t_21,t_22,t_23,t_24,t_25,t_26,t_27,t_28,t_29,t_30,t_31,t_32,t_33,t_34,t_35,t_36,t_37,t_38,t_39,t_40,t_41,t_42,t_43,t_44,t_45,t_46,t_47,t_48,t_49,t_50,t_51,t_52,t_53,t_54,t_55,t_56,t_57,t_58,t_59,t_60,t_61,t_62,t_63,t_64,t_65,t_66,t_67,t_68,t_69,t_70,t_71,t_72,t_73,t_74,t_75,t_76,t_77,t_78,t_79,t_80,t_81,t_82,t_83,t_84,t_85,t_86,t_87,t_88,t_89,t_90,t_91,t_92,t_93,t_94,t_95,t_96,t_97,t_98,t_99,t_100,Astrogation Buffer Length,InfoCore Size,Sonoreceptors,Arakyd Vocabulator Model,Axial Piston Model,Nanochip Model,Cranial Uplink Bandwidth,Polarity Sinks,AutoTerrain Tread Count,Repulsorlift Motor HP,Productivity
0,Firewaller Botson Jr.,92.0,0.0,5.075166874422641,9.994374347314853,14.759451945358393,19.372229195235025,23.834535623626497,28.14820075721457,32.315054122681005,36.33692524670755,40.21564365597597,43.95303887716801,47.55094043696545,51.01117786205002,54.33558067910349,57.52597841480761,60.58420059584415,63.512076748894856,66.3114364006415,68.98410907776581,71.53192430694956,73.95671161487451,76.26030052822242,78.44452057367502,80.51120127791413,82.46217216762143,84.29926276947872,86.02430261016772,87.63912121637023,89.14554811476802,90.54541283204279,91.84054489487632,93.03277382995037,94.12392916394671,95.11584042354711,96.01033713543326,96.80924882628699,97.51440502279002,98.1276352516241,98.650769039471,99.0856359130125,99.43406539893029,99.69788702390619,99.87893031462194,99.97902479775927,100.0,99.94368544802583,99.81191066851851,99.60650518815986,99.32929853363159,98.98212023161543,98.56679980879322,98.08516679184662,97.53905070745748,96.93028108230747,96.26068744307844,95.53209931645202,94.74634622911009,93.90525770773435,93.01066327900662,92.06439246960853,91.06827480622195,90.02413981552854,88.93381702421016,87.7991359589485,86.6219261464254,85.40401711332247,84.14723838632156,82.85341949210449,81.52438995735292,80.16197930874857,78.76801707297325,77.34433277670884,75.89275594663683,74.41511610943927,72.91324279179766,71.38896552039397,69.84411382190979,68.28051722302699,66.70000525042722,65.10440743079242,63.4955532908041,61.87527235714416,60.245394156494356,58.607748215536525,56.964164060952214,55.316471219423256,53.666499217631525,52.016077582258724,50.36703583998654,48.72120351749679,47.08041014147118,45.44648523859157,43.82125833553955,42.20655895899706,40.60421663564573,39.01606089216738,37.443921255243694,35.88962725155651,34.35500840778757,32.84189425061857,79.2256291273593,1.432466423024707,-0.44411254611331774,model C,kappa,v0.5,-0.08794797404319687,0.028617945548529866,57.0,73.0,-57.15047205140351
1,Pushpulverizer Botberg,29.0,100.0,92.11426981177242,84.8654486233228,78.22447857427008,72.16287839659913,66.6527434146608,61.6667455451718,57.17813329721481,53.16073177223847,49.58894266405729,46.43774425885174,43.682691435168216,41.29991566391904,39.266125008382474,37.5586041242027,36.15521425938985,35.03439325431994,34.17515554173495,33.557092146742804,33.16037068681733,32.965735371798274,32.95450700389135,33.108582977668206,33.410437280066326,33.84312049038928,34.39025978030642,35.0360589138531,35.765298247430586,36.56333472980612,37.41610190211283,38.31010989784974,39.23244544288186,40.17077185544018,41.1133290461214,42.04893351788848,42.966978366070045,43.857433278360695,44.71084453482107,45.51833500787766,46.27160416232294,46.962928055315096,47.58515933637858,48.13172724740365,48.59663762264637,48.97447288872889,49.2603920646391,49.45013076173105,49.54000118372455,49.526892126705455,49.408268979125495,49.18217372180221,48.84722492791929,48.40261776302633,47.8481239850387,47.18409194423779,46.41144658327082,45.53168943715113,44.54689863325797,43.459728891336404,42.273411523497366,40.99175443421777,39.61914212034052,38.160535671074484,36.62147276799465,35.008067685041524,33.327011288521504,31.585571037107158,29.791590981837313,27.95349176611632,26.080270625714213,24.18150138876723,22.267334475777716,20.348496899613597,18.436292265509543,16.542600771065075,14.67987920624585,12.861160953384024,11.100055987177395,9.410750874689526,7.808008775350536,6.3071694409550965,4.924149215665111,3.675441036007929,2.578114430877431,1.6498155215324506,0.9087670215979221,0.37376823706525986,0.06419506629143198,0.0,0.20171212127975796,0.6904371055842223,1.4878572207358085,2.6162313269203126,4.098394876691182,5.957759914966397,8.218315079030306,10.904625598533455,14.041833295492276,17.655656584289805,21.772390471673976,69.09522966890745,1.4664137986830468,-0.3398140583738375,model C,kappa,v0.5,-0.05391237463088727,0.048027100939912186,36.0,16.0,49.263279016142235
2,Thumplift Botchik,38.0,62.078626539077455,64.47373800104124,66.37459609112773,67.83871941014708,68.92024929589486,69.67003116150691,70.13569583381425,70.36174089169799,70.38961200444436,70.25778427009946,70.00184355382439,69.65456782624987,69.24600850183153,68.8035717772045,68.35209996953857,67.91395285489294,67.50908900657129,67.1551471334765,66.86752741846581,66.65947285670556,66.54215059402618,66.52473326527712,66.61448033268175,66.81681942419223,67.1354276718446,67.57231305011344,68.12789571426701,68.80108933872214,69.58938245539899,70.48891979207615,71.49458361074554,72.60007504596715,73.7979954432242,75.07992769727795,76.43651759052258,77.85755513134022,79.3320558924557,80.84834234929166,82.39412521832338,83.95658479543366,85.52245229426781,87.07809118458859,88.60957853063101,90.10278632945735,91.54346284931208,92.91731396797671,94.21008451112483,95.407639590677,96.4960459431553,97.46165326803924,98.29117556611902,98.97177247785251,99.49113062171821,99.83754493257196,100.0,99.96825140667575,99.73290706671314,99.2855085640227,98.6186124906657,97.72587178520965,96.60211707108266,95.24343799492914,93.64726456496342,91.81244848932614,89.73934451443813,87.42989176335628,84.88769507412711,82.11810633814329,79.12830583849691,75.92738358833591,72.52642066921783,68.93857056946584,65.17914052252183,61.265672845304444,57.21802627655993,53.058457315221204,48.81170155875918,44.50505504154038,40.168455573180324,35.83456407689928,31.5388459278758,27.3196522916042,23.21830146224696,19.279160200989736,15.549725074399998,12.080703792774889,8.926096548505312,6.143277354422703,3.7930753821560206,1.9398563004911507,0.6516036137201306,0.0,0.06050864970455851,0.912454603782448,2.639106092108556,5.327755871843394,9.069802565782357,13.960832000717973,20.100698545785296,27.593606450826147,4.5115349986239295,1.247509346498553,-0.5002357968688442,model B,beta,v1.0,-0.19207670550964567,0.19280177866027623,66.0,81.0,-97.3358804512551
3,Waterborer Botchik II,93.0,100.0,96.84068895650866,93.89904485497837,91.16375584789824,88.62376147756143,86.26825267606507,84.08667176531038,82.06871245700259,80.20431985265087,78.48369044356853,76.89727211087282,75.43576412548504,74.0901171481305,72.85153322933854,71.71146580944254,70.66161971857989,69.69395117669195,68.80066779352418,67.97422856862603,67.20734389135097,66.49297554085649,65.82433668610409,65.19489188585932,64.59835708869173,64.0286996329749,63.480138246886455,62.94714304840795,62.42443554532511,61.906988635227556,61.390026605508986,60.8690251333671,60.339711285803645,59.79806351962436,59.24031168143902,58.662937007661434,58.0626721245094,57.436501048004764,56.781659183973396,56.09563332804517,55.376161665654,54.62123377203781,53.82909061223852,52.99822454110217,52.12737930327867,51.215550033222065,50.26198325519039,49.266176883245734,48.2278802212541,47.14709396288564,46.02407019161453,44.8593123807188,43.65357539328066,42.40786548218634,41.12344029012596,39.80180884959383,38.444731582888195,37.05422030211126,35.6325382091694,34.1821998957729,32.705971343436104,31.206869923477313,29.688164397018973,28.153374914987523,26.606273018113356,25.050881636930843,23.491475091778508,21.932579092798925,20.378970739938502,18.835678522947745,17.3079823213813,15.801413404597724,14.3217544317596,12.875039451833537,11.467553903590165,10.105834615604193,8.796669806254295,7.547099083723192,6.3644134459975605,5.256155280868201,4.23011836592986,3.2943478685813528,2.4571403460253984,1.7270437452690686,1.1128574031229206,0.623632046202156,0.26866979092539983,0.05752414351571471,0.0,0.10615364620917868,0.3862927577784456,0.8509764001466049,1.5110150285568364,2.377470488055949,3.4616560134953573,4.775136229529791,6.3297271506187744,8.137496181025119,10.210762114816108,12.56209513586304,15.204316817840843,-11.144394654926558,1.0785132306266554,-0.8044087553771132,model A,gamma,v2.0,-0.47279204705854183,0.45922550165153636,40.0,5.0,57.38784313659396
4,Stonelift Botberg,38.0,51.450069289622476,42.78135548798247,35.05210413624731,28.21811093494319,22.23602133101395,17.0633305178211,12.658383435143824,8.980374769178963,5.98934895254102,3.6462001642621895,1.9126723297923316,0.7513591209989298,0.12570395616719984,0.0,0.3393901636178147,1.1098671045588502,2.27827322677896,3.8123006806516986,5.680491362968204,7.852236916937347,10.297778732185698,12.988207944757383,15.895465437114332,18.99234183813604,22.25247752311971,25.650362613780185,29.161336978250006,32.76159023107941,36.4281617332362,40.13894059210596,43.87266566149193,47.60892554161487,51.32815857911347,55.0116528670438,58.64154624487974,62.200826298512936,65.6733303602525,69.04374550882531,72.29760856937601,75.42130611346683,78.40207445907747,81.22799967060548,83.88801755886634,86.37191368109268,88.67032334093504,90.77473158846196,92.67747322015897,94.37173277892984,95.85154455409563,97.11179258139524,98.14821064298539,98.95738226744034,99.53674072975159,99.8845690513291,100.0,99.88301609000904,99.53444958201887,98.9559824831099,98.15014654677988,97.12032327294409,95.8707439079363,94.40648944450707,92.73349062182513,90.85852792547657,88.78923158746527,86.53408158621308,84.10240764655916,81.50438923975997,78.7510555834905,75.8542856418431,72.82680812532767,69.68220149087128,66.43489394181944,63.100163427935485,59.69413764539963,56.233794036809655,52.73695979118237,49.2223118439511,45.70937687696691,42.21853131849832,38.771001343232875,35.38886287227434,32.09504157314464,28.913312859783296,25.86830189254714,22.985483578212108,20.291182569970385,17.81257326743133,15.57767981662451,13.615376109993798,11.955385786404838,10.62828223113562,9.66548857588704,9.099277698773689,8.962772224330996,9.289944523509224,10.115616713679819,11.475460658626693,13.405997968556777,15.94460000009081,8.19973227586695,1.1025936524639408,-0.6858493237387082,model A,gamma,v2.0,-0.4191367765335031,0.36501208320450645,7.0,27.0,34.76940686097881
5,Thumplift Botson II,28.0,90.57198062118016,83.38107487796381,77.01603068482564,71.43264661493104,66.58767854934182,62.43883967701622,58.944800494808966,56.06518880747116,53.76058972765036,51.99254567589059,50.72355638063226,49.91707887821222,49.53752751286381,49.550273936716735,49.92164710979716,50.618933300027734,51.61037608322745,52.865176343111806,54.35349227129274,56.046439367278545,57.91609043847404,59.935475600180425,62.07858227559536,64.3203551958129,66.63669639982365,69.00446523451443,71.40147835466877,73.80650972296645,76.19929060998373,78.56050959419325,80.8718125619642,83.11580270756215,85.2760405331491,87.33704384878348,89.28428777242017,91.10420472991036,92.78418445500202,94.31257398933917,95.67867768246245,96.87275719180894,97.88603148271197,98.71067682840173,99.33982681000438,99.76757231654277,99.98896154493613,100.0,99.79765049444676,99.37983314888457,98.74542539181857,97.89426195965025,96.82713489667724,95.54579355509412,94.05294459499112,92.35225198435585,90.44833699907169,88.34677822291853,86.054111547573,83.57783017260772,80.9263846054923,78.10918266159254,75.13658946417038,72.01992744438441,68.77147634128981,65.40447320183802,61.933112380877084,58.37254554115122,54.73888165330132,51.049186995864495,47.32148515527443,43.57475702586144,39.82894080985192,36.104932017368476,32.424583466431315,28.810705282955446,25.287064900753535,21.878387061534415,18.610353814903117,15.509604518360781,12.603735837306388,9.921301745033428,7.49181352273319,5.345739759493131,3.5145063522968685,2.0304965060247375,0.9270507334527003,0.23846685525446562,0.0,0.24786260415353595,1.0192244120792224,2.352212476035304,4.28591115617632,6.8603621205551635,10.116564345118812,14.096474113712398,18.843005018076834,24.40002795784879,30.81237114056365,38.12582008165094,46.38711760443595,55.64396384014465,-63.05873623431899,1.4481157722277072,-0.37579738898038273,model C,kappa,v0.5,-0.047056015010935925,0.09079939385888747,2.0,2.0,28.288694857523737
6,Thumpborer Botsky Jr.,25.0,81.98114595360954,81.84221966551675,81.64401140528273,81.39882028745137,81.11845022991373,80.81418073152774,80.4967396938231,80.17627828679072,79.862347858757,79.56387889034305,79.28916199250871,79.0458309486811,78.84084780096846,78.6804899804583,78.57033948160074,78.51527408067645,78.51946059834941,78.5863502063047,78.71867577797073,78.91845128332659,79.18697322779403,79.52482413521443,79.9318780749103,80.40730823283194,80.9495965267885,81.55654526576434,82.22529085331962,82.95231953507633,83.73348519028859,84.56402916749805,85.43860216427399,86.3512881510384,87.2956303389755,88.2646591920266,89.25092248296916,90.24651739358124,91.24312465889032,92.23204475550726,93.20423613404472,94.1503554956207,95.06080011244678,95.92575219250111,96.73522528828627,97.47911274967194,98.14723822082237,98.72940818120863,99.2154665307057,99.59535121877441,99.85915291772807,99.99717574008402,100.0,99.8585470187952,99.56414597455624,99.10860279582788,98.4842710993886,97.68412517211107,96.70183499690714,95.53184332275795,94.16944477882873,92.61086703266835,90.85335399249375,88.89525105355902,86.7360923886099,84.37669028242209,81.819226510425,79.06734576141055,76.12625110432603,73.00280149915254,69.70561135186752,66.24515211349275,62.63385592322647,58.88622129566124,55.01892085208563,51.050911095871584,47.00354423194512,42.90068203034431,38.76881173386016,34.63716400976174,30.537832945608496,26.50589808914574,22.579548532284786,18.80020903916825,15.212668218321735,11.865208738886606,8.809739590941284,6.101930389906384,3.8013477250324548,1.9715935519752936,0.6804456294550941,0.0,0.006815514774966212,0.7820604024952333,2.411660882424493,4.9864518214580125,8.602329435290763,13.36040603367034,19.367166809733472,26.734628673430112,35.58050112902833,46.02834919670906,-50.528980881628314,1.471453795490183,-0.28528668654006184,model C,kappa,v0.5,-0.028759942882804257,-0.05617286037094371,82.0,79.0,-80.26820107809243
7,Firedigger Botberg II,66.0,52.54975169418219,45.36438670467881,39.0479231540395,33.55624059881513,28.846117748516896,24.87523246561645,21.60216176554576,18.986381816697225,16.988267940423594,15.56909461103801,14.691035455813998,14.317163254985443,14.411449941746652,14.938766602252281,15.864883475617386,17.156469953917362,18.781094582188054,20.707225058425628,22.904228233586654,25.34237011158811,27.992815849307295,30.82762975658195,33.81977529621017,36.94311508395039,40.17241088852154,43.48332363160275,46.85241338783375,50.25713938481447,53.67586000310535,57.08783277622707,60.47321439066086,63.813060685848185,67.08932665419101,70.28486644105156,73.38343334475258,76.36967981657699,79.22915746076833,81.94831703453039,84.51450844802734,86.91598076438386,89.14188219968472,91.18226012297535,93.02806105626148,94.67113067450926,96.10421380564499,97.32095443055574,98.31589568308856,99.08447985005128,99.62304837121175,99.9288418392984,100.0,99.83556175196566,99.43546514680517,98.80054738908794,97.93254483634458,96.8340929990658,95.50872654070254,93.96087927766628,92.19588417932881,90.21997336802218,88.0402781190392,85.66482886063281,83.10255517401637,80.36328579336349,77.45774860580825,74.39757065144525,71.1952781233293,67.86429636747559,64.41894988285979,60.874462321417845,57.24695648804617,53.55345434060168,49.81187698990151,46.04104469972295,42.26067688680414,38.49139212084312,34.75470812449914,31.07304177339089,27.46970909609724,23.968925274159012,20.59580464207584,17.376360687308633,14.337506050277756,11.507052524364884,8.913711055911987,6.587091744220784,4.557703841554246,2.8569557531344723,1.517155037145595,0.5715084047312438,0.054121719994501244,0.0,0.4450474147728998,1.4260672872983415,2.9807620935218524,5.147733462349058,7.96648217564737,11.477408168241912,15.721810527919997,20.741887495429616,-11.162009861194335,0.9807956743873543,-0.92,model A,gamma,v2.0,-0.6,0.5509367017507489,0.0,47.0,37.86196335347981
8,Rockpulverizer Botski,89.0,70.63215465353684,60.12543461346306,50.73940846095814,42.41941516461682,35.111892699995636,28.76437804961291,23.325507202948785,18.745015156445195,14.97373591350589,11.963602484496404,9.667646886744095,8.04000014453814,7.03589228912945,6.611652358730826,6.724708398516811,7.333587460623795,8.39791560414993,9.878417895155215,11.736918406661419,13.936340218652136,16.44070541807271,19.215135098830437,22.22584936179421,25.440167314794916,28.826507072625052,32.3543857570391,35.99441949675328,39.718323427445604,43.49891169175591,47.31009743928571,51.126892826598535,54.92540901721957,58.68285618163595,62.377543497296394,65.9888791486116,69.49737032695403,72.88462323065788,76.1333430650192,79.22733404229591,82.15149938170764,84.89184130943582,87.43546105862382,89.7705588693767,91.88643398876124,93.77348467080611,95.42320817650209,96.82820077380104,97.98215773761729,98.8798733498266,99.51724089926695,99.89125268173777,100.0,99.84267316377722,99.4195614897541,98.73205330157722,97.7826359298555,96.57489571215913,95.11351799301994,93.40428712393228,91.45408646335139,89.27089837669583,86.86380423634365,84.24298442163656,81.41971831887777,78.40638432133201,75.21645982922523,71.8645212497464,68.36624399704573,64.73840249223497,60.99887016338743,57.16661944553957,53.26172178068854,49.30534761779276,45.31976641277413,41.32834662851551,37.35555573486099,33.426960208616876,29.56922553355143,25.81011620039582,22.1784957068399,18.704326557538447,15.418670264107284,12.353687345122907,9.54263732612423,7.01987873961217,4.820869125050272,2.9821650288618593,1.5414220044334273,0.5373946121139718,0.009936419212195518,0.0,0.5496369357107321,1.701997814540471,3.5013322316460096,5.992988789145182,9.223415096119087,13.240157768612024,18.091862429626453,23.828273709127753,30.50023524404604,91.38098687092202,0.85,-0.8971141638064617,model A,gamma,v2.0,-0.5806063851965686,0.5674901898105692,30.0,35.0,61.1676347054173
9,Pullwaller Botski II,33.0,100.0,93.71542416485782,88.07387940173595,83.04199850463078,78.58712317895717,74.67730404154858,71.28130062065702,68.36858135595307,65.90932359852582,63.874413610882954,62.23544656695073,60.9647265520739,60.03526656301585,59.42078850795844,59.09572320650215,59.035210389665984,59.215098699887506,59.61194569102282,60.20301782834665,60.9662904885522,61.88044795975127,62.924883441474186,64.07969904466987,65.32570579170579,66.64442361636796,68.0180813638609,69.42961679080778,70.86267656525033,72.3016162666487,73.73150038588167,75.13810232524669,76.50790439845959,77.82809783065481,79.08658275838548,80.27196822962304,81.37357220375769,82.3814215515981,83.28625205537149,84.0795084087237,84.7533442167191,85.30062199584046,85.71491317398946,85.99049809048586,86.12236599606842,86.10621505289424,85.93845233453904,85.61619382599696,85.13726442368082,84.50019793542202,83.7042370804705,82.7493334894947,81.63614770458155,80.36604917923665,78.94111627838434,77.36413627836706,75.63860536694614,73.7687286433015,71.75942011803123,69.61630271315234,67.3457082621004,64.95467750972963,62.450960112312345,59.84301463753938,57.14000856452104,54.35181828378509,51.48902909727874,48.56293521836716,45.585539771833936,42.56955479388204,39.5284012321322,36.476208945624286,33.42781670481612,30.39877219158476,27.405331999225073,24.464461632450814,21.593835507394616,18.811836951607543,16.13755820405897,13.59080041513661,11.19207364664703,8.962596871815634,6.924297975286674,5.099813753121567,3.512489912801116,2.18638107322476,1.1462507647108608,0.41757142899573946,0.02652441923438121,0.0,0.3655973472851173,1.1516245485000889,2.3870986024751804,4.101745419456872,6.325999821112468,9.091005540526341,12.428615222202195,16.37139042206249,20.952601607446695,26.206228157115124,32.1669583612446,95.94865901059111,1.504076146194655,-0.3257475668953129,model C,zeta,v1.5,0.01613812853346719,-0.06831548153163983,24.0,34.0,48.15955414604504
