id,name,expires,t_1,t_2,t_3,t_4,t_5,t_6,t_7,t_8,t_9,t_10,t_11,t_12,t_13,t_14,t_15,t_16,t_17,t_18,t_19,t_20,t_21,t_22,t_23,t_24,t_25,t_26,t_27,t_28,t_29,t_30,t_31,t_32,t_33,t_34,t_35,t_36,t_37,t_38,t_39,t_40,t_41,t_42,t_43,t_44,t_45,t_46,t_47,t_48,t_49,t_50,t_51,t_52,t_53,t_54,t_55,t_56,t_57,t_58,t_59,t_60,t_61,t_62,t_63,t_64,t_65,t_66,t_67,t_68,t_69,t_70,t_71,t_72,t_73,t_74,t_75,t_76,t_77,t_78,t_79,t_80,t_81,t_82,t_83,t_84,t_85,t_86,t_87,t_88,t_89,t_90,t_91,t_92,t_93,t_94,t_95,t_96,t_97,t_98,t_99,t_100,Axial Piston Model,Astrogation Buffer Length,InfoCore Size,AutoTerrain Tread Count,Arakyd Vocabulator Model,Nanochip Model,Repulsorlift Motor HP,Cranial Uplink Bandwidth,Sonoreceptors,Polarity Sinks,Productivity
0,Pushlift Botberg I,33.0,90.87604971360945,94.00366818811088,96.4243843846683,98.18683925356476,99.3389704577248,99.92792909618396,100.0,99.60052560060583,98.77383337060462,97.56316683700635,96.01062016690658,94.15707632560687,92.04214880717709,89.70412693745948,87.17992474951484,84.50503343151018,81.7134773470486,78.83777362794062,75.90889533941778,72.95623821778784,70.00759098053169,67.08910920884253,64.22529280260653,61.438967007825426,58.75126701648109,56.181626138841764,53.74776754821039,51.4656995981144,49.34971471193778,47.4123918449947,45.66460251904512,44.11552042925217,42.7726346235814,41.641766254641944,40.727088903969396,40.0311524787508,39.554910680990865,39.29775204912113,39.257534572049536,39.430623875653524,39.811934981713016,40.39497763928732,41.171905228532154,42.13356723695962,43.26956530813949,44.568312862842376,46.017098292625164,47.60215172585759,49.30871536619164,51.12111740347156,53.02284949708673,54.996647831766076,57.0245777458142,59.0881219317891,61.16827220962332,63.245624872183235,65.30047960327589,67.3129419680917,69.26302947609365,71.13078121634447,72.89637106528004,74.5402244669202,76.0431387855244,77.38640723068832,78.55194635488138,79.52242712342843,80.28140955693027,80.81348094612906,81.1043976392126,81.14123040156298,80.9125133479455,80.40839644714129,79.62080159901797,78.54358228404742,77.17268678526037,75.50632498264677,73.54513871999575,71.29237574417773,68.75406721686804,65.93920879871652,62.85994530594922,59.53175893942447,55.97366108612141,52.20838769307338,48.26259821374399,44.16707812684404,39.95694502759212,35.67185829141084,31.356232310076503,27.059453300296667,22.836099684742273,18.746166045512926,14.85529065004635,11.234986549472351,7.962876249407219,5.122929953186729,2.805707377543823,1.1086031407308665,0.13609572307824858,0.0,model A,1.0724035130900944,0.23971265302510936,-0.013015513513768728,gamma,v2.0,0.7947970010830775,0.8732078882873353,77.0,91.0,64.63833655532216
1,Firelift Botchik,62.0,96.76004651762918,97.06734302623725,97.36178449675882,97.64295764883431,97.91044920210419,98.16384587620894,98.40273439078905,98.62670146548497,98.83533381993716,99.02821817378612,99.20494124667228,99.36508975823612,99.50825042811815,99.63400997595876,99.74195512139849,99.83167258407778,99.90274908363712,99.95477133971694,99.98732607195774,100.0,99.99237984348414,99.96405232205066,99.91460415534007,99.84362206299276,99.75069276464926,99.63540297995,99.49733942853545,99.33608883004612,99.15123790412245,98.94237337040492,98.70908194853398,98.45095035815011,98.16756531889379,97.85851355040548,97.52338177232564,97.16175670429476,96.77322506595328,96.3573735769417,95.91378895690048,95.44205792547007,94.94176720229096,94.41250350700359,93.85385355924849,93.26540407866608,92.64674178489683,91.99745339758124,91.31712563635976,90.60534522087285,89.86169887076096,89.08577330566465,88.27715524522425,87.43543140908035,86.56018851687337,85.65101328824379,84.70749244283205,83.72921270027865,82.71576078022406,81.66672340230873,80.58168728617315,79.46023915145778,78.30196571780309,77.10645370484953,75.8732898322376,74.60206081960774,73.29235338660045,71.94375425285617,70.5558501380154,69.12822776171859,67.6604738436062,66.15217510331873,64.6029182604966,63.01229003478033,61.37987714581033,59.705266313227156,57.98804425667121,56.22779769578299,54.424113350202944,52.57657793957156,50.684778183529275,48.7483008017166,46.766732513773995,44.73966003934191,42.66667009806081,40.54734940957121,38.38128469351354,36.168062669528254,33.907270057255886,31.59849357633684,29.241319946411586,26.835335887120642,24.380128118104466,21.875283359003483,19.320388329458194,16.715029749109075,14.058794337596606,11.351268814561202,8.592039899643385,5.780694312483595,2.9168187727223276,0.0,model E,1.2293480726688892,0.3145442816672178,-0.24447782414999691,gamma,v2.0,0.8669068812266187,0.8506673204710737,81.0,34.0,-16.612779415130788
2,Thumpwidget Botski I,23.0,95.90286986814645,90.1194323364791,84.8965597947418,80.21269398831696,76.04621610854456,72.37546655287511,69.17876468502243,66.43442859511636,64.12079485985572,62.21623830266102,60.6991917538273,59.54816581067691,58.74176859771241,58.25872552676924,58.07789905716866,58.178308455870486,58.53914955762593,59.1398145251304,59.959911609176295,60.97928490880583,62.17803413146387,63.53653435315068,65.03545577857484,66.65578350130589,68.37883726392727,70.18629121818915,72.06019368516117,73.98298691538515,75.93752684902817,77.90710287603511,79.87545759628168,81.82680657972703,83.7458581265667,85.61783302738543,87.42848432330975,89.16411706616118,90.81160807860873,92.35842571432177,93.79264961812291,95.10299048614077,96.27880982596285,97.3101397167882,98.18770256958032,98.90293088721995,99.44798702465806,99.81578294906834,100.0,99.9951086495311,99.79638826242085,99.39994685626252,98.80274086163627,98.00259488226212,96.9982214551526,95.78924081076562,94.37620063315703,92.76059582013396,90.94488824340709,88.93252650874383,86.72796571612106,84.33668721987752,81.76521838886747,79.02115236661261,76.11316783145544,73.05104875671191,69.8457041708241,66.50918791751339,63.05471841593294,59.49669842082059,55.85073478265159,52.13365820779151,48.36354301864911,44.559726913829394,40.742830728285554,36.93477819347264,33.15881569750001,29.43953204528414,25.802878218701654,22.27618713674161,18.88819341565905,15.66905312912743,12.650363568390683,9.865183002418162,7.348050438054743,5.135005380175625,3.263607591838368,1.7729568544353633,0.7037127278480051,0.0981143105975119,0.0,0.4548272523165458,1.5096923429090312,3.213350126390784,5.616233796779743,8.770474647652403,12.729921832295412,17.550162123858723,23.28853967550839,30.00417578057961,37.75798863272902,46.61271308608906,model A,0.7173987533062753,-0.17841147631858517,-0.24246788560188226,zeta,v1.5,0.35883497073877124,0.41220277195835103,72.0,7.0,-19.50470360885977
3,Excahauler Botchik Jr.,23.0,100.0,97.39850302701876,94.93718340414723,92.61271020721603,90.42175251205559,88.36097939449648,86.42705993036925,84.61666319550442,82.92645826573248,81.35311421688402,79.89330012478955,78.54368506527956,77.30093811418463,76.16172834733528,75.12272484056201,74.1805966696954,73.33201291056592,72.57364263900415,71.9021549308406,71.31421886190579,70.80650350803027,70.37567794504456,70.01841124877919,69.73137249506468,69.51123075973157,69.35465511861041,69.25831464753169,69.21887842232599,69.23301551882378,69.29739501285562,69.40868598025205,69.56355749684359,69.75867863846076,69.99071848093412,70.25634610009416,70.55223057177143,70.87504097179647,71.22144637599979,71.58811586021193,71.97171850026342,72.36892337198478,72.77639955120655,73.19081611375925,73.60884213547344,74.0271466921796,74.44239885970832,74.8512677138901,75.25042233055544,75.63653178553491,76.00626515465902,76.35629151375831,76.6832799386633,76.98389950520452,77.25481928921253,77.49270836651783,77.69423581295098,77.85607070434246,77.97488211652282,78.0473391253226,78.07011080657233,78.03986623610251,77.95327448974373,77.80700464332647,77.59772577268129,77.3221069536387,76.97681726202923,76.55852577368343,76.06390156443177,75.48961371010485,74.8323312865332,74.08872336954732,73.2554590349777,72.32920735865495,71.30663741640959,70.18441828407208,68.959219037473,67.62770875244286,66.18655650481222,64.63243137041161,62.96200242507154,61.1719387446225,59.2589094048951,57.21958348171985,55.05063005092723,52.74871818834783,50.3105169698121,47.73269547115067,45.011922768194054,42.1448679367727,39.12820005271721,35.958588191858034,32.63270143002582,29.147208843051043,25.49877950676421,21.684082496995813,17.699786889576508,13.542561760336753,9.20907618510706,4.695999239717992,0.0,model C,1.0536307438467538,0.2970920083299572,-0.10809489921288962,gamma,v2.0,0.8226608371040491,0.7431210632292119,56.0,97.0,23.218307795116786
4,Firelift Botski,77.0,100.0,97.40661916152109,94.97578895304477,92.70348137054722,90.5856684100046,88.61832206739311,86.79741433868888,85.11891721986812,83.578802706907,82.1730427957817,80.89760948246835,79.74847476294318,78.72161063318231,77.81298908916196,77.01858212685828,76.33436174224745,75.75629993130565,75.28036869000904,74.90254001433378,74.61878590025609,74.42507834375209,74.31738934079799,74.29169088736995,74.34395497944415,74.47015361299675,74.66625878400396,74.9282424884419,75.25207672228676,75.63373348151475,76.069184762102,76.55440256002471,77.08535887125903,77.65802569178116,78.26837501756727,78.91237884459349,79.58600916883606,80.28523798627111,81.00603729287485,81.7443790846234,82.49623535749294,83.2575781074597,84.02437933049981,84.79261102258944,85.5582451797048,86.31725379782205,87.06560887291732,87.79928240096683,88.51424637794672,89.20647279983318,89.87193366260244,90.50660096223058,91.1064466946938,91.66744285596832,92.18556144203026,92.65677444885584,93.07705387242117,93.4423717087025,93.74869995367594,93.9920106033177,94.16827565360391,94.27346710051081,94.30355694001453,94.25451716809124,94.12231978071713,93.90293677386839,93.59234014352118,93.18650188565162,92.68139399623595,92.07298847125034,91.35725730667096,90.53017249847393,89.58770604263545,88.52582993513174,87.34051617193896,86.02773674903322,84.58346366239076,83.00366890798772,81.28432448180033,79.42140237980462,77.41087459797696,75.24871313229339,72.93088997873012,70.45337713326334,67.81214659186912,65.0031703505238,62.02242040520348,58.86586875188424,55.52948738654244,52.00924830515413,48.30112350369552,44.40108497814275,40.30510472447194,36.009154738659426,31.5092070166813,26.801233554513633,21.881206348132746,16.74509739351481,11.388878686635945,5.808522223472297,0.0,model A,0.8409633774363061,-0.035509903503203266,-0.13700850440996165,kappa,v1.5,0.5227977744157646,0.567379739058756,77.0,40.0,-0.0115368508529059
5,Pullwidget Botsky II,71.0,100.0,97.64722616816745,95.41376374408391,93.29677015285482,91.29340281958562,89.4008191693817,87.61617662734852,85.93663261859147,84.35934456821602,82.88146990132755,81.50016604303151,80.21259041843334,79.01590045263843,77.90725357075225,76.88380719788017,75.94271875912767,75.08114567960014,74.29624538440301,73.58517529864172,72.94509284742169,72.37315545584833,71.86652054902711,71.4223455520634,71.03778789006266,70.71000498813032,70.43615427137176,70.21339316489248,70.03887909379783,69.9097694831933,69.82322175818426,69.77639334387618,69.76644166537446,69.79052414778452,69.84579821621183,69.92942129576176,70.03855081153976,70.17034418865128,70.32195885220169,70.49055222729646,70.67328173904102,70.86730481254077,71.06977887290113,71.27786134522756,71.48870965462545,71.69948122620025,71.90733348505738,72.10942385630226,72.30290976504033,72.48494863637698,72.65269789541769,72.80331496726782,72.93395727703287,73.04178224981821,73.12394731072928,73.17760988487152,73.19992739735034,73.18805727327116,73.13915693773943,73.05038381586056,72.91889533273995,72.74184891348312,72.51640198319538,72.2397119669822,71.90893628994903,71.52123237720127,71.07375765384435,70.56366954498371,69.98812547572474,69.34428287117291,68.62929915643363,67.8403317566123,66.97453809681438,66.0290756021453,65.00110169771042,63.88777380861524,62.686249359965196,61.393685776865624,60.00724048442203,58.5240709077398,56.94133447192438,55.25618860208116,53.465790723315656,51.56729826073316,49.5578686394392,47.434659284539215,45.194827621138536,42.83553107434261,40.35392706925698,37.747173030986914,35.01242638463792,32.14684455531545,29.14758496812484,26.01180504817159,22.736662220561126,19.319313910398815,15.756917542790111,12.046630542840502,8.185610335655303,4.171014346339986,0.0,model E,0.6463146476151311,-0.3797144911789332,-0.19252547671102954,beta,v1.5,0.34974538826950863,0.3317189966982051,26.0,95.0,21.573181789879328
6,Rockborer Botchik II,66.0,100.0,96.25194588572649,92.6998564265501,89.33939900202338,86.16624099169887,83.17604977512912,80.36449273186665,77.72723724146402,75.2599506834738,72.9583004374485,70.81795388294067,68.83457839950286,67.0038413666876,65.32141016404745,63.782952171134966,62.38413476750265,61.120625332703085,59.98809124628879,58.9821998878123,58.098618636826195,57.333014872883005,56.681055975535266,56.13840932433553,55.70074229883632,55.3637222785902,55.12301664314971,54.974292772067415,54.913218044895814,54.93545984118747,55.036685540494936,55.212562522370746,55.45875816636746,55.77093985203761,56.14477495893373,56.57593086660838,57.06007495461408,57.592874602503386,58.16999718982886,58.78711009614304,59.43988070099844,60.12397638394765,60.83506452454318,61.568812502337586,62.32088769688342,63.086957487733194,63.862689254439466,64.6437503765548,65.42580823363174,66.2045302052228,66.97558367088054,67.7346360101575,68.47735460260618,69.19940682777923,69.89646006522912,70.56418169450843,71.19823909516964,71.79429964676537,72.34803072884807,72.85509972097041,73.31117400268484,73.71192095354392,74.05300795310023,74.33010238090628,74.53887161651463,74.6749830394778,74.73410402934833,74.71190196567883,74.60404422802175,74.40619819592973,74.11403124895519,73.72321076665081,73.22940412856904,72.62827871426246,71.91550190328361,71.08674107518507,70.1376636095193,69.06393688583893,67.86122828369646,66.52520518264443,65.05153496223538,63.4358850020218,61.67392268155636,59.76131538039158,57.69373047807991,55.466835354173995,53.07629738822634,50.51778395978946,47.78696244841592,44.87950023365826,41.79106469506906,38.51732321220082,35.053943164605975,31.396591931837303,27.540936893447242,23.482645428988338,19.217384918013106,14.740822740074103,10.048626274723905,5.136462901514989,0.0,model A,0.5804568792822543,-0.38005079725430285,-0.10368686870495014,beta,v1.5,0.2309563691333498,0.19209443068138576,67.0,36.0,17.70312381162607
7,Firelift Botsky,92.0,21.566595604657344,35.60457435643388,47.887378112541576,58.54308480001807,67.69428226227447,75.45817583714094,81.94669593491217,87.26660561639304,91.519608170944,94.80245469452672,97.2070516677496,98.82056853391322,99.7255452770561,100.0,99.71753650239552,98.94745185876776,97.7548439965617,96.20071927418786,94.34210005906765,92.23213230567924,89.9201931336027,87.45199840556592,84.86971030548986,82.21204491653407,79.5143797991426,76.80886156908917,74.12451347552276,71.48734297901322,68.92044932959682,66.44413114482197,64.07599398779418,61.83105794522207,59.72186520546313,57.75858763656865,55.94913436432921,54.299259350321435,52.81266896995183,51.49112959050356,50.33457514918134,49.34121473115737,48.50764014761681,47.82893351380246,47.298774827062196,46.909549544892535,46.65245616298502,46.51761379327212,46.494169741972065,46.57040708763497,46.733852259187756,46.97138261398018,47.26933401583042,47.61360841307016,47.989781416590596,48.38320987788699,48.77913946710646,49.16281225109097,49.519574271423835,49.83498312247583,50.09491552944985,50.285674926427404,50.39409903441327,50.40766743938059,50.314609170319656,50.10401027727788,49.765921409409614,49.29146539302175,48.67294480961656,47.903949573938114,46.979464512021366,45.895976939230636,44.65158423831205,43.24610143743591,41.681168788239944,39.96035934388357,38.08928653707982,36.07571175815289,33.929651933078375,31.663487101531267,29.29206799492451,26.832823614466683,24.305868809194394,21.734111854029976,19.14336202781636,16.562437191370083,14.023271365523298,11.56102230917026,9.214179097313108,7.024669699106921,5.037968555907308,3.3032041593079673,1.8732666292030065,0.8049152918069808,0.15888625773002665,0.0,0.39726893211853836,1.4240049861050372,3.157927190541083,5.681269248618789,9.080887116183858,13.448366579780227,model A,1.0090079081724515,0.16031861172442696,-0.022696169348752848,gamma,v2.0,0.7906247251017764,0.6976344585630605,93.0,43.0,15.739853464770874
8,Thumpwaller Botsky Jr.,71.0,100.0,97.76035755263878,95.7036313813021,93.82130720133631,92.10502210902867,90.54656458160738,89.13787447724162,87.87104303504144,86.7383128750579,85.73207799828295,84.84488378664952,84.06942700303148,83.3985557912436,82.82526967604163,82.34271956312223,81.94420773912309,81.6231878716227,81.37326500914061,81.18819558113726,81.06188739801405,80.98839965111328,80.96194291271827,80.97687913605317,81.02772165528319,81.1091351855144,81.21593582279387,81.34309104410956,81.48571970739039,81.6390920515062,81.79862969626788,81.95990564242707,82.11864427167654,82.27072134664989,82.4121640109217,82.53915078900746,82.64801158636367,82.73522768938768,82.79743176541788,82.8314078627335,82.83409141055479,82.80256921904291,82.73407947929996,82.62601176336902,82.47590702423403,82.28145759581994,82.04050719299262,81.75105091155889,81.41123522826649,81.01935800080415,80.57386846780147,80.07336724882906,79.51660634439844,78.90248913596203,78.2300703859133,77.49855623758654,76.70730421525708,75.85582322414113,74.94377355039583,73.97096686111941,72.93736620435077,71.84308600907,70.68839208519803,69.47370162359667,68.19958319606887,66.86675675535828,65.47609363514975,64.02861655006863,62.52549959568186,60.96806824849676,59.357799365961824,57.69632118646645,55.98541332934116,54.227006794857004,52.42318396422646,50.57617859960249,48.68837584407927,46.76231222169196,44.800675637416546,42.80630537716989,40.78219210780989,38.731477877135475,36.6574561138864,34.563571627743194,32.45342060932769,30.330750630202402,28.19946064287106,26.063600980777863,23.927373358308277,21.7951308707888,19.67137799448675,17.560770586610257,15.468115885308482,13.398372509671711,11.356650459730872,9.3482111164581,7.378467241766211,5.452982978509252,3.5774738504817596,1.7578067624198397,0.0,model E,0.7136393960789896,-0.14872275544940994,-0.05877668923820356,zeta,v1.5,0.5312308744455119,0.5703642938460427,89.0,24.0,8.277458778755829
9,Extradigger Boterson I,35.0,100.0,95.64354632556586,91.50874403463528,87.59484051202425,83.9007571484575,80.42508211218716,77.16606415549376,74.12160745606937,71.28926749328326,68.66624795932962,66.24939870525782,64.03521472188474,62.01983615558962,60.19904935899104,58.56828897650628,57.12264106479292,55.85684724807288,54.76530990833859,53.842098410441494,53.08095636206303,52.475309908567624,52.018277062738214,51.702678069394004,51.52104680489046,51.465643211501636,51.52846676668492,51.701270987227865,51.97557896827749,52.34269995725176,52.793746962633534,53.31965539764669,53.91120275881439,54.55902933940009,55.253659977730344,55.98552684040037,56.74499324036147,57.522378489891125,58.30798378844519,59.09211914539245,59.86513133763145,60.617432902089554,61.33953216310455,62.022064294688306,62.65582341767286,63.23179573173856,63.74119368232498,64.17549116242381,64.52645974925392,64.78620597581903,64.9472096373476,65.00236313261483,64.94501184014727,64.76899552930942,64.46869080627282,64.0390545948674,63.47566865231518,62.774785119846065,61.93337310819621,60.949166317988556,59.82071169499559,58.547419120284594,57.1296121352449,55.56857970149793,53.86662899568891,52.02713923916155,50.05461656251432,47.9547499050397,45.73446794904522,43.40199708905714,40.96692043590623,38.440237855695855,35.834427043652504,33.16350563285855,30.443094337867045,27.69048113319956,24.924686466725284,22.166529507923364,19.438695431026744,16.765803733049328,14.17447758669411,11.693414228144903,9.353456379739079,7.187664707524314,5.231391313695818,3.5223542639169185,2.1007131495215536,1.0091456845997546,0.29292533796417647,0.0,0.18107168439695792,0.8896772647629647,2.182270246121235,4.118303571288138,6.760313462135057,10.174004295731534,14.428334515370098,19.595603576475927,25.751539927395278,32.97539002506899,41.35000838558738,model C,0.6993366896151763,-0.16978963560231963,-0.2559401629233308,zeta,v1.5,0.40981455736981925,0.4389970210540036,81.0,11.0,-5.601412331406877
