id,name,expires,t_1,t_2,t_3,t_4,t_5,t_6,t_7,t_8,t_9,t_10,t_11,t_12,t_13,t_14,t_15,t_16,t_17,t_18,t_19,t_20,t_21,t_22,t_23,t_24,t_25,t_26,t_27,t_28,t_29,t_30,t_31,t_32,t_33,t_34,t_35,t_36,t_37,t_38,t_39,t_40,t_41,t_42,t_43,t_44,t_45,t_46,t_47,t_48,t_49,t_50,t_51,t_52,t_53,t_54,t_55,t_56,t_57,t_58,t_59,t_60,t_61,t_62,t_63,t_64,t_65,t_66,t_67,t_68,t_69,t_70,t_71,t_72,t_73,t_74,t_75,t_76,t_77,t_78,t_79,t_80,t_81,t_82,t_83,t_84,t_85,t_86,t_87,t_88,t_89,t_90,t_91,t_92,t_93,t_94,t_95,t_96,t_97,t_98,t_99,t_100,Sonoreceptors,Arakyd Vocabulator Model,Axial Piston Model,Nanochip Model,AutoTerrain Tread Count,Cranial Uplink Bandwidth,InfoCore Size,Repulsorlift Motor HP,Astrogation Buffer Length,Polarity Sinks,Productivity
0,Thumpminer Botski I,32.0,20.65965470518309,34.45740809567014,46.66991898469552,57.38252332049759,66.67968859681737,74.64487726178525,81.3604154431622,86.9073669899361,91.36541283027267,94.81273564582152,97.32590986237673,98.97979695689247,99.8474460808534,100.0,99.50660635040852,98.43433421092601,96.84809599196007,94.81057464062333,92.38215616223324,89.62086745816586,86.58231948006544,83.31965570040822,79.88350589942108,76.32194526835553,72.6804588291158,69.0019111702424,65.32652149925046,61.69184401132228,58.13275357435561,54.68143673036609,51.36738801324471,48.2174115828707,45.255628175577876,42.50348737097751,39.97978517513466,37.70068692010046,35.679755479797684,33.927984802263495,32.45383875824464,31.263295306148926,30.359895973351197,29.744800653853982,29.416847722302997,29.37261946435836,29.60651282341839,30.110815463700725,30.875787149678185,31.889746441866496,33.139162708969884,34.60875345638187,36.28158697103694,38.139190282622444,40.161662441140614,42.32779311082809,44.61518648043019,47.000390489828206,49.45903137302409,51.965953517477416,54.49536463979966,57.020986277800766,59.5162095988938,61.95425652484937,64.30834617291234,66.55186661326356,68.658551942849,70.60266467554838,72.359183448716,73.90399604605884,75.21409773688293,76.26779493168935,77.04491415412417,77.52701632928428,77.69761638837849,77.54240818974519,77.04949475621892,76.20962382885791,75.0164287370264,73.46667458482409,71.5605097538813,69.30172272250388,66.69800420116476,63.76121458436753,60.50765671885375,56.958353988161534,53.13933371355139,49.08191587127504,44.82300712620659,40.40540018182532,35.87807844655283,31.296526016447956,26.723042974254497,22.227066004799507,17.885494326760355,13.783020940766317,10.012469193875507,6.675134660389223,3.881132339032313,1.7497491664846887,0.4098018472727637,0.0,-37.10665182045418,model D,beta,windows 2000,-0.18871713535723933,-0.2238226318899527,0.48020266507170123,0.4684500398062604,4.0,14.0,-100.0
1,Wallminer Botberg Jr.,31.0,100.0,98.54240693797342,96.63389078918183,94.34381359303524,91.73727489238033,88.8752159536433,85.81452398697272,82.60813636638244,79.30514484989456,75.95089979968232,72.58711440221289,69.25196888839048,65.98021475369904,62.803278978345276,59.74936824740155,56.84357317094874,54.10797250421916,51.56173736773949,49.22123546747367,47.100135314965776,45.209510447482934,43.55794364815826,42.151631166133704,40.99448693670303,40.088246801454616,39.43257272841449,39.02515703218909,38.8618265941083,38.93664708236827,39.24202717217432,39.76882276588393,40.50644121314952,41.44294553106143,42.56515862429085,43.85876750523254,45.308427514148164,46.897866539308595,48.609989237137356,50.426981252353144,52.33041343811298,54.30134607615501,56.320433096941414,58.368026299801315,60.424279573073555,62.46925311424999,64.48301765011799,66.44575865690352,68.3378805804138,70.14011105618087,71.83360512960351,73.40004947609121,74.8217666212061,76.08181916080636,77.16411398118916,78.05350647923377,78.73590478254374,79.19837396958992,79.42924028985472,79.41819538397263,79.15640050387573,78.63659073293435,77.85317920610144,76.8023613300547,75.4822190033403,73.89282483651415,72.03634637228717,69.91715030566584,67.54190670409702,64.91969322760966,62.0620993489579,58.983330573764334,55.700312660663,52.232795841441,48.60345904118362,44.83801409841508,40.965309985243195,37.017437027500215,33.02983112488901,29.041377971121907,25.094517274066664,21.235346975888312,17.513727473191203,13.983385837164128,10.702020033721023,7.73140314364469,5.137487582728628,2.9905093219257886,1.3650921074804856,0.3403516810812368,0.0,0.4324494572325522,1.7309171016473464,3.993528858122371,7.323423747691186,11.828858107685962,17.623309811880354,24.825582490628552,33.559909751015965,43.9560593969929,56.1494376495269,21.360978084365584,model D,beta,v0.5,-0.10862426183806784,-0.15499872976524082,0.8976445228673946,0.8980491976139802,52.0,96.0,-5.0463306845259694
2,Fireminer Botski,27.0,38.51089497093767,46.47716072690207,53.73578349293564,60.32118628838193,66.26737186092059,71.60786594786478,76.37566311123896,80.60317514663654,84.32218206585773,87.56378565332741,90.35836559629331,92.73553818880406,94.72411760946744,96.35207977298886,97.64652875548965,98.63366579360573,99.33876085736627,99.78612679685249,99.9990960626364,100.0,99.8101507169342,99.44982552591816,98.93825395947839,98.29360735952831,97.53299104048774,96.67243902618246,95.72691136052391,94.71029399196914,93.63540123176062,92.51398078594619,91.35672136117935,90.17326284429954,88.9722090556923,87.76114307642978,86.5466451491914,85.33431315296428,84.1287856515244,82.93376751569676,81.7520581193973,80.58558210945316,79.43542274920426,78.30185783588438,77.18439819178285,76.08182872918566,74.99225208909732,73.91313485374243,72.84135633284768,71.77325992370338,70.70470704500586,69.63113364447949,68.54760928027875,67.44889877617055,66.32952645049687,65.18384291891734,64.0060944709316,62.79049502018187,61.53130062853679,60.22288660395285,58.85982717211908,57.43697772187869,55.949559624433554,54.393247626327145,52.76425981620745,51.059450165371814,49.276403642088574,47.413533899703644,45.47018353852202,43.44672694147286,41.34467568355316,39.16678651505298,36.917171918557315,34.601413239734114,32.22667639189544,29.801830134344833,27.337566924498773,24.846526343794608,22.34342109737487,19.845165587550976,17.371007061048477,14.942659330034639,12.584439066921085,10.32340467295086,8.189497720562029,6.215686969537191,4.438114956924981,2.896247160749049,1.6330237374911047,0.6950138333600316,0.13257246933686156,0.0,0.35570414613329693,1.2623646011112135,2.7871002110670524,5.001638728837129,7.982489141690934,11.811116572835392,16.574119756701762,22.36341108801619,29.276399244640768,37.416174384208546,-22.320473939857493,model C,gamma,v1.5,-0.0615877450793908,-0.05395510710495519,0.20245238051692896,0.17040081355961756,63.0,48.0,-61.261838819225375
3,Extrapulverizer Botson I,44.0,61.680838597270025,69.85988273553059,76.89179156501486,82.8463879556148,87.79254080209984,91.79804723091969,94.9295199650521,97.25227984689559,98.83025351920746,99.72587626408628,100.0,99.71180643685864,98.91872538913216,97.67635824701335,96.03840660562572,94.05660605227625,91.78066511175342,89.25820934967011,86.53473063385141,83.65354155376771,80.65573499801243,77.58014888982517,74.46333608065956,71.33953940179623,68.24067187400082,65.19630207522714,62.233644666364775,59.377556075032565,56.65053533741625,54.0727300981518,51.661947768253334,49.433671841086166,47.401083366384974,45.57508758231673,43.964345705589075,42.57531187960312,41.41227528065172,40.47740738216265,39.770814376986806,39.29059475773094,39.03290205513646,38.99201273450202,39.16039925015225,39.52880825795066,40.0863439858576,40.820556762534174,41.71753670398994,42.76201255827578,43.93745570822398,45.226189332228316,46.609502723076105,48.06777076481878,49.58057856769063,51.1268512610729,52.684988944502194,54.23300679672302,55.74868034278588,57.209695879192026,58.59380605708119,59.878990623463565,61.0436223205015,62.06663794282914,62.927714552923334,63.60745085451598,64.08755372405288,64.35102990019757,64.38238283137919,64.16781468138586,63.695433493003186,62.95546550969884,61.94047265534973,60.64557517201541,59.068679415758375,57.210710810505894,55.075851959959444,52.671785917547155,50.00994461442517,47.10576244551627,43.97893501360406,40.653683031463686,37.15902138203893,33.52903333667003,29.80314993135818,26.02643450108313,22.249872372157952,18.530665712634896,14.932533540754262,11.52601689143781,8.3887891408253,5.605971488862027,3.270453599925753,1.4832194014997664,0.3536780408916635,0.0,0.549458368119054,2.1387752727935463,4.914473468720873,9.033233084688757,14.662253528571481,21.97962055036012,-63.04852597073807,model D,beta,v0.5,0.10038176009621125,0.02515907558096031,0.9950076217159991,0.9443696054555895,38.0,91.0,-65.1262679876832
4,Pushdigger Botski I,90.0,99.63872218912798,100.0,99.83805623657794,99.19739272962279,98.12168615224293,96.65370730513438,94.83524425218866,92.70702930646797,90.30866986654765,87.6785831032261,84.85393449660208,81.87058022351924,78.76301339537817,75.56431414631581,72.30610357175208,69.01850151730407,65.7300882180675,62.46786978826543,59.257247561264705,56.121991279959296,53.08421613752141,50.164363668519705,47.38118649040496,44.75173689536327,42.29135929253627,40.01368650060908,37.93063989076534,36.05243338000978,34.387581274858235,32.94290996539463,31.72357346969587,30.73307282862372,29.973279350984228,29.4444617090543,29.14531688447611,29.073004964518212,29.223187788704703,29.59007144581114,30.16645262122846,30.94376879469355,31.91215228838798,33.06048816540299,34.37647597857366,35.8466953696781,37.45667551900616,39.19096844529406,41.03322615602739,42.96628164811013,44.972233758903165,47.032535867627864,49.128088447138694,51.239335466062144,53.34636464130389,55.42901154092229,57.46696753737104,59.439891611106354,61.327526004565016,63.109815726506056,64.767031906723,66.27989900112247,67.62972584716836,68.79854056969633,69.76922933709334,70.52567896784589,71.05292338745541,71.33729393571991,71.36657352438479,71.13015464515938,70.61920122810254,69.82681435037327,68.74820179535173,67.38085146212453,65.72470862533919,63.782357045426764,61.55920392918921,59.06366874075625,56.30737586290861,53.305351108769315,50.07622208386277,46.64242239853916,43.03039973076675,39.27082773929491,35.39882182718064,31.45415875568319,27.48150010852645,23.53061960653081,19.656634272607608,15.92023944712533,12.387947653642728,9.132331315006669,6.232269319818791,3.773197439268889,1.8473625943385228,0.5540809733693357,0.0,0.2993641514632541,1.5742846272694444,3.955012868232856,7.580217925881799,12.597267682236074,6.999907667983109,model D,beta,v0.5,-0.16708946881374276,-0.11735186206248407,0.864486639853105,0.8976656715072734,31.0,24.0,-100.0
5,Waterminer Boterson,64.0,77.26717841001151,81.87776275352147,85.8943993467961,89.3460649766482,92.26115267988068,94.66747174328685,96.59224770365007,98.06212234774404,99.10315371233258,99.74081608416981,100.0,99.90501224655769,99.4795758605676,98.7468301287447,97.7293305877942,96.44904902441141,94.927373475282,93.1851082270818,91.2424738164768,89.11910703012335,86.83406090466785,84.40580472674705,81.85222403298785,79.19062061000737,76.437712494413,73.60963397280233,70.72193558176312,67.78958410787335,64.82696258770127,61.84787030780533,58.86552280473422,55.892551865026775,52.941005525212105,50.02234807180953,47.14746004132863,44.32663822026909,41.56959564512093,38.88546160236431,36.28278162846961,33.76951750989748,31.353047283098824,29.040165234514625,26.837081900576283,24.749424067705153,22.782234772312957,20.93997330080176,19.2265151895635,17.645152224980812,16.19859244342608,14.888960131262245,13.717795824842213,12.686056310509281,11.794114624596848,11.041760053428707,10.428198133318805,9.952050650570994,9.611355641479882,9.403567392329801,9.325556439395719,9.373609568942419,9.543429817225325,9.830136470489581,10.228265064971213,10.73176738689564,11.334011472479306,12.027781607928329,12.805278329439181,13.65811842319871,14.577334925383825,15.553377122161802,16.57611054968984,17.634816994115454,18.71819449157685,19.81435732820177,20.910836040108553,21.99457741340572,23.05194448419177,24.06871653855563,25.030089112576743,25.92067399232451,26.724499213857868,27.425009063227318,28.005064076472436,28.44694103962348,28.732332988700943,28.842349209715373,28.757515238668134,28.45777286154949,27.922480114341536,27.1304112830154,26.05975690353281,24.688123761845773,22.99253489389691,20.94942958561775,18.534663372931735,15.723508041751282,12.49065162797943,8.810198417509493,4.655668946225426,0.0,-48.044989284763815,model D,beta,v0.5,-0.17480900153972245,-0.20525590173098637,0.8214347800525297,0.7912439631501617,74.0,56.0,-28.026984443066638
6,Pullborer Boterson I,69.0,25.87969850919589,42.425279577635955,56.439819716866715,68.1270043519348,77.68133968757127,85.28833809661019,91.12470350840748,95.35851679725924,98.14942117082066,99.64880755852457,100.0,99.33844103349097,97.79187708427503,95.48054385308194,92.51735170451231,89.00807105545621,85.05151776351187,80.73973851540427,76.15819621540375,71.38595537374478,66.49586749504452,61.55475646672137,56.62360394741383,51.757734755398964,47.00700225701101,42.415973755060435,38.02411587725174,33.865979964603014,29.97138745986408,26.365615295935008,23.069581284285377,20.100029503372234,17.469715687059047,15.187592613034386,13.258995491230449,11.685827352242146,10.46674443574432,9.597341578912804,9.070337604840272,8.875760710957506,9.001133857449934,9.431660155677845,10.15040825659391,11.138497739161924,12.375284498776644,13.838546135680978,15.504667343385867,17.348825297086915,19.34517504208576,21.46703488220656,23.68707176821595,25.97748668624079,28.310200046187088,30.657037070158804,32.98991318087754,35.28101939009827,37.50300768702953,39.62917642675496,41.63365571864623,43.491592814787744,45.17933749838941,46.67462747221014,47.95677374697191,49.006846029785315,49.807858112560574,50.3449532604291,50.60558960016527,50.57972550859877,50.26000500104144,49.64194311969704,48.72411132208588,47.50832286945982,45.99981821522758,44.2074503933627,42.14387040683223,39.825712616011195,37.273780127096444,34.513230180535615,31.573759539440033,28.48978987799785,25.300653169902386,22.05077707676951,18.789870336548177,15.573108151951798,12.46131757885832,9.521162914752754,6.825331087123879,4.452717041894909,2.4886091318400827,1.024874504998876,0.16014449310771509,0.0,0.6571568900412659,2.251651376532456,4.911025410143173,8.770512067321425,13.973220938714542,20.670323517590266,29.02123858824379,39.19381761443989,-54.184270980165515,model D,beta,windows 2000,-0.04777055837261468,-0.048127022347843544,0.5805970294806841,0.5458862607759116,28.0,26.0,-100.0
7,Stoneminer Botski I,24.0,32.35882663769926,46.09435636543843,57.97967791402581,68.12953922100924,76.65706551680223,83.67356427153409,89.28833878784097,93.60851043959778,96.73884955659099,98.78161495513226,99.83640211461305,100.0,99.36625653027127,98.02595269279368,96.06668530364091,93.57275841385223,90.62508336163252,87.30108747049283,83.67463139333213,79.81593510245962,75.79151252555813,71.66411482758834,67.49268233863381,63.33230512768726,59.23419222237693,55.24564947463473,51.41006607230468,47.766909696692466,44.35173032605583,41.19617268503583,38.327997340028496,35.77111044049905,33.545602106234305,31.6677934605387,30.150292309369025,29.002057466411408,28.228471724099148,27.83142347056971,27.80939695256534,28.15757118427196,28.867927502101125,29.929365765411013,31.327829203169316,33.046437906557394,35.06563096751346,37.363317263219045,39.91503488652498,42.69411922231844,45.67187966982959,48.81778501088349,52.0996574240868,55.48387514495915,58.93558377200584,62.418916218728796,65.8972213115811,69.33330103385956,72.68965641553994,75.92874206905584,79.01322937100974,81.90627828983685,84.57181785939794,86.97483529852327,89.08167377649161,90.86033882444912,92.28081339277301,93.31538155437647,93.93896085394837,94.1294433031417,93.86804502169632,93.13966452450798,91.93324965463142,90.24217316223401,88.06461692948146,85.40396484136788,82.26920430248752,78.67533639974485,74.64379471101107,70.20287275971214,65.38816011536869,60.24298714006321,54.81887838086794,49.17601460819091,43.38370350007964,37.52085897245931,31.676489155306804,25.95019301478068,20.452665621278015,15.306212063431268,10.645270008060532,6.616940906054444,3.3815298441898403,1.113094042904496,0.0,0.24548928029335307,2.068252951200479,5.703014664263171,11.401122382627173,19.4311487544535,30.079500132256808,43.6510342382225,-96.96231004673584,model D,beta,v0.5,0.06642212589692531,0.16546259655546725,0.8576148388583624,0.8601126840495472,10.0,32.0,-100.0
8,Fireborer Botsky II,96.0,51.521708578057336,58.082141571456155,63.56639283612271,68.04898253804592,71.60323560336724,74.30115114408753,76.21327785153098,77.40859535756591,77.95440156358259,77.916205937228,77.35762877689753,76.34030644398362,74.92380256288153,73.1655251887518,71.12064994303985,68.84204911675253,66.38022674149161,63.783259628244174,61.09674437393002,58.36375033570612,55.62477857302783,52.9177267574672,50.27786005028827,47.73778794777929,45.327447094341714,43.07409006333654,41.00228010568733,39.13389186624022,37.48811806788084,36.08148216340867,34.927856955167506,34.038489182433366,33.42203007655989,33.08457188387958,33.02969035636268,33.25849321003337,33.769674551141584,34.55957527009337,35.62224940313767,36.94953646180911,38.531139730128864,40.35471052956277,42.405938451734805,44.66864755889928,47.12489855216834,49.755096907498924,52.53810697943319,55.451372072598495,58.47104048096422,61.572097494854305,64.72850337571757,67.91333729865453,71.09894726270191,74.25710596887393,77.35917266595865,80.3762609640755,83.27941261598482,86.03977726615844,88.62879816760389,91.018403866449,93.18120585427988,95.09070218823928,96.72148707887865,98.04946644577083,99.05207944087448,99.7085259396625,100.0,99.90992928878595,99.4242204763454,98.53151059858428,97.22342438689935,95.4948375658396,93.3441461185364,90.77354151987866,87.78929193745368,84.40202940023707,80.62704293504783,76.4845776707533,72.00013991023759,67.20480817012026,62.13555018823757,56.83554589887706,51.354516375771745,45.74905874284742,40.08298705273305,34.427679133022124,28.86242940029374,23.47480764188925,18.361023765450717,13.626298516209426,9.3852401620328,5.762227146232592,2.8917967081321168,0.9190394713711683,0.0,0.3020833223010246,2.004467422382427,5.2985216995244,10.388231395286724,17.49062798837235,9.659913891965275,model C,gamma,v1.0,-0.3563178206961515,-0.3639889179611026,0.4025631903823257,0.41304484536544517,74.0,2.0,-49.34829808320998
9,Pullborer Botson,42.0,57.23941681103493,68.02924360456015,76.98116965305272,84.24454477391852,89.96203485723387,94.26975534503161,97.29740471058692,99.16839793770362,100.0,99.90345934019496,98.98414134939401,97.34166184637535,95.07002055687582,92.25773459287694,88.98797193189114,85.33868489624747,81.38274363237782,77.1880695901031,72.81776900191892,68.33026636228196,63.77943790689577,59.21474509199689,54.681368073641046,50.220339186988824,45.86867642559193,41.6595169206794,37.62225042044326,33.7826527693248,30.163019387300523,26.782298749168188,23.65622586383302,20.797455753593233,18.215696933426813,15.917844890276891,13.908115562338285,12.188178818343019,10.757291936846798,9.61243308551466,8.748434800407583,8.158117465267956,7.832422790805821,7.760547293984851,7.930075777308682,8.327114808106401,8.936426197818731,9.741560481284866,10.724990396027613,11.868244361539666,13.1520399585686,14.556417408405995,16.06087305216939,17.644492830092187,19.28608576080644,20.964317420630433,22.657843422856043,24.34544289703117,26.006151968249235,27.619397236434512,29.165129255624993,30.62395601326433,31.97727640948278,33.2074137363834,34.297749157332305,35.232855186241686,35.99862916685495,36.582426752033825,36.97319538304702,37.161607768851184,37.140195365381274,36.90348185483309,36.448116624953876,35.77300824832208,34.87945796164055,33.771293145015704,32.45500080124927,30.93986103512123,29.238080532674317,27.364926040507203,25.338857845047812,23.181663251853415,20.91859006488967,18.578480065816485,16.193902493270553,13.801287522162026,11.44105974295277,9.157771640943572,7.000237075555539,5.021664759626417,3.2797917386928597,1.8370168702722682,0.7605343031458249,0.122466956660312,0.0,0.4755143314735986,1.6367200578044343,3.576789973414031,6.3944930397218185,10.194327864402847,15.086656180694874,21.187836326678905,-29.557878454186138,model C,gamma,v1.5,-0.3520139360776694,-0.30813645904695225,0.07,0.083570734066417,56.0,30.0,-75.97366360243717
