id,name,expires,t_1,t_2,t_3,t_4,t_5,t_6,t_7,t_8,t_9,t_10,t_11,t_12,t_13,t_14,t_15,t_16,t_17,t_18,t_19,t_20,t_21,t_22,t_23,t_24,t_25,t_26,t_27,t_28,t_29,t_30,t_31,t_32,t_33,t_34,t_35,t_36,t_37,t_38,t_39,t_40,t_41,t_42,t_43,t_44,t_45,t_46,t_47,t_48,t_49,t_50,t_51,t_52,t_53,t_54,t_55,t_56,t_57,t_58,t_59,t_60,t_61,t_62,t_63,t_64,t_65,t_66,t_67,t_68,t_69,t_70,t_71,t_72,t_73,t_74,t_75,t_76,t_77,t_78,t_79,t_80,t_81,t_82,t_83,t_84,t_85,t_86,t_87,t_88,t_89,t_90,t_91,t_92,t_93,t_94,t_95,t_96,t_97,t_98,t_99,t_100,Nanochip Model,Cranial Uplink Bandwidth,Repulsorlift Motor HP,Sonoreceptors,Arakyd Vocabulator Model,Axial Piston Model,Astrogation Buffer Length,InfoCore Size,Polarity Sinks,AutoTerrain Tread Count,Productivity
0,Rockborer Botski,24.0,99.49487257891528,98.29638346070728,97.31398148400427,96.53007595191995,95.92755598933459,95.48979054289495,95.20062838101435,95.04439809387264,95.00590809341625,95.0704466133581,95.22378170917763,95.45216125812085,95.74231295920033,96.08144433319514,96.45724272265088,96.85787529187971,97.27198902696034,97.68871073573796,98.09764704782435,98.48888441459782,98.8529891092032,99.18100722655187,99.4644646833217,99.69536721795718,99.8662003906693,99.96992958343556,100.0,99.95033666587325,99.81534442833244,99.58990795642121,99.26939174094979,98.84964009449493,98.32697715139986,97.69820686777445,96.96061302149502,96.1119592122045,95.15048886131224,94.07492521199428,92.8844713291931,91.57881009961771,90.1581042317437,88.62299625581319,86.97460852383485,85.21454320958377,83.34488230860177,81.36818763819709,79.28750083744448,77.10634336718533,74.82871651002748,72.45910137034527,70.0024588742798,67.46422976973832,64.85033462639511,62.16717383569057,59.42162761083182,56.62105598679245,53.773298820312675,50.88667578989915,47.96998639582517,45.032509960130426,42.08400562662132,39.13471236087061,36.19534895021786,33.277114003768794,30.391685952395907,27.55122304873825,24.76836336720121,22.056224803957182,19.42840507694432,16.898981725868154,14.48251211220026,12.194033419178776,10.049062651808539,8.063596636860842,6.254112022873276,4.637565280150461,3.231392700763283,2.0535103985490206,1.1223143091118402,0.45668018982222175,0.07596361981708633,0.0,0.24910455304124313,0.8440723233774564,1.806178177211869,3.1571768025138773,4.919302709020069,7.115270228233247,9.768273513422777,12.901986539624168,16.54056310364039,20.708636824040198,25.431321141158907,30.734209317098347,36.64337443572766,43.18536940268176,50.38722694536209,58.276459612937,66.8810597763408,76.2294996282754,model B,0.8445512441029637,1.6739589977362632,1.12806751954053,gamma,windows 2000,0.3108245299241259,-0.38957079564179753,4.0,80.0,-9.263416582440328
1,Wallpulverizer Botsky,22.0,89.45410044551065,91.04571711910187,92.49698474115154,93.81070788794655,94.98969113577374,96.03673906092001,96.95465623967219,97.74624724831715,98.41431666314178,98.96166906043292,99.39110901647746,99.70544110756225,99.90746990997411,100.0,99.98583595392671,99.86778234804115,99.64864375863012,99.33122476198054,98.91832993437927,98.41276385211319,97.81733109146911,97.13483622873396,96.36808384019456,95.51987850213777,94.59302479085049,93.59032728261955,92.51459055373184,91.36861918047423,90.15521773913355,88.8771908059967,87.53734295735053,86.1384787694819,84.6834028186777,83.17491968122476,81.61583393340997,80.00895015152018,78.35707291184225,76.66300679066308,74.92955636426949,73.15952620894838,71.35572090098657,69.52094501667099,67.65800313228844,65.76969982412587,63.858839668470026,61.92822724160787,59.980667119826215,58.018963879411956,56.04592209665194,54.06434634783306,52.07704120924214,50.08681125716606,48.0964610678917,46.10879521770591,44.12661828289558,42.15273483974754,40.189949464548654,38.24106673358582,36.308891223145864,34.39622750951568,32.50588016898215,30.640653777832068,28.80335291235239,26.99678214882991,25.22374606355151,23.48704923280408,21.789496232874445,20.133891640049512,18.523040030616084,16.9597459808611,15.446814067071434,13.987048865533879,12.583254952535311,11.238236904362632,9.954799297302673,8.735746707642338,7.583883711668454,6.502014885667914,5.492944805927589,4.559478048734231,3.7044191903749004,2.9305728071363,2.240743475305414,1.637735771169022,1.124354271014,0.7034035511272524,0.37768818779559205,0.1500127573059393,0.023181835945106942,0.0,0.08327182575746196,0.2758018895043825,0.5803947675276205,0.999855036113927,1.536987271550315,2.1945960501236432,2.975485948120755,3.882461541828433,4.918327407533658,6.085888121523182,model A,0.5666065549766974,1.3119945129519455,1.030834148597669,gamma,windows 2000,0.15908483750972502,-0.2677215191340999,7.0,23.0,64.30868814838269
2,Waterhauler Boterson,86.0,66.76747805168812,69.9618616976172,72.97466212869915,75.80906233478306,78.46824530571797,80.95539403135295,83.27369150153707,85.42632070611938,87.41646463494897,89.24730627787486,90.92202862474612,92.44381466541185,93.81584738972106,95.04130978752288,96.12338484866632,97.06525556300043,97.87010492037432,98.54111591063702,99.0814715236376,99.49435474922512,99.78294857724866,99.95043599755725,100.0,99.93482357442593,99.75808971068413,99.47298139862362,99.08268162809351,98.59037338894288,97.99923967102067,97.31246346417609,96.53322775825815,95.66471554311586,94.71010980859836,93.6725935445547,92.55534974083389,91.36156138728501,90.09441147375713,88.75708299009936,87.35275892616067,85.88462227179025,84.35585601683701,82.7696431511501,81.12916666457865,79.43760954697157,77.69815478817802,75.91398537804703,74.08828430642765,72.22423456316899,70.32501913812008,68.39382102112997,66.43382320204775,64.4482086707225,62.440160417003234,60.41286143073905,58.369494701778976,56.31324321997207,54.24728997516749,52.17481795721418,50.099010155961246,48.02304956125778,45.950119162952795,43.88340195089538,41.82608091493463,39.78133904491953,37.75235933069921,35.7423247621227,33.75441832903903,31.79182302129738,29.85772182874671,27.95529774123608,26.08773374861456,24.258212840731282,22.469918007435236,20.72603223857548,19.029738524001154,17.38421985356128,15.792659217104818,14.25823960448101,12.784144005538838,11.373555410127342,10.029656808095528,8.755631189292588,7.554661543567535,6.429930860769403,5.384622130747291,4.421918343350251,3.545002488427276,2.7570575558275476,2.0612665354000903,1.4608124169939645,0.9588781904581413,0.5586468456417749,0.2633013723939803,0.07602476056366518,0.0,0.0384100805520915,0.19443799206890316,0.47126672439945416,0.8720792673929867,1.40005861089844,model B,0.7947181308891387,1.3629552305601336,1.2947810146830645,gamma,windows 2000,0.3859432072389154,-0.3588728252663784,16.0,0.0,62.679805939551215
3,Waterlift Botberg,75.0,100.0,99.12161099975332,98.18578319318712,97.1954644665142,96.15355043251768,95.062884430551,93.92625752653798,92.74640851297265,91.52602390891947,90.2677379600132,88.97413263845887,87.6477376430319,86.291030399078,84.90643605851318,83.49632749982383,82.06302532806663,80.60879787486861,79.13586119842707,77.64637908350967,76.14246304145442,74.62617231016958,73.09951385413383,71.56444236439609,70.02286025857562,68.47661768086205,66.92751250201529,65.37729031936557,63.8276444568135,62.28021596482994,60.73659362045611,59.19831392730356,57.666861115554156,56.14366714196007,54.630111689843844,53.12752216909825,51.637173716186524,50.160289194142095,48.69803919256881,47.25154202764075,45.8218637421024,44.41001810526854,43.016966613024245,41.64361848782495,40.29083067869642,38.95940786123472,37.65010243760623,36.36361453654768,35.100592013366104,33.861630449938865,32.647273154713666,31.458011162708527,30.29428323551175,29.156475861282026,28.044923254748333,26.95990735720997,25.90165783653657,24.870352087168115,23.86611523011484,22.889020112957358,21.939087309846624,21.016285121503866,20.120529575220637,19.251684424858865,18.409561150850774,17.59391896019888,16.80446478647607,16.040853289825527,15.30268685696078,14.589515601165633,13.900837362294272,13.236097706771199,12.594689927591201,11.97595504431939,11.379181803091269,10.803606676612597,10.248413864159474,9.712735291578324,9.195650611285917,8.696187202269332,8.213320170085938,7.745972346863436,7.293014291299943,6.853264288663782,6.425488350793673,6.008400216098564,5.6006613495578765,5.200880942721244,4.807615913708689,4.41937090721045,4.034598294487174,3.6516981733698604,3.2690183682598017,2.8848544301285606,2.4974496365180525,2.1049949915406043,1.7056292258787145,1.2974387967853331,0.8784578880836421,0.44666841016723585,0.0,model D,0.9750651241743762,1.6465397972262894,1.2325743965925495,gamma,windows 2000,0.21087423543564765,-0.16774971768557803,28.0,31.0,63.853492342451986
4,Extrawidget Boterson II,65.0,42.74948059656351,48.01367455185102,52.98663034451874,57.673913933671486,62.08109127841407,66.21372833785131,70.07739107108803,73.67764543722902,77.02005739537915,80.1101929046432,82.95361792412598,85.55589841293234,87.92260033016704,90.05928963493498,91.97153228634095,93.66489424348971,95.14494146548614,96.41723991143503,97.48735554044123,98.36085431160949,99.0433021840447,99.54026511685163,99.85730906913513,100.0,99.97390386855103,99.78458663389311,99.437614255131,98.93855269136951,98.29296790171351,97.50642584526774,96.58449248113713,95.53273376842638,94.35671566624039,93.06200413368394,91.65416512986184,90.13876461387896,88.52136854484002,86.80754288184993,85.00285358401347,83.11286661043547,81.14314792022074,79.09926347247408,76.98677922630036,74.81126114080433,72.57827517509085,70.29338728826473,67.96216343943077,65.59016958769384,63.18297169215863,60.74613571193014,58.28522760611307,55.805813333812225,53.31345885413249,50.81373012617863,48.31219310905554,45.81441376186787,43.32595804372067,40.85239191371857,38.39928133096646,35.97219225456915,33.576690643631466,31.218342457258284,28.902713654554212,26.635370194624375,24.42187803657334,22.26780313950602,20.178711462527303,18.160168964741693,16.21774160525448,14.356995343170171,12.583496137593656,10.902809947629668,9.320502732383197,7.842140450958973,6.473289062461819,5.219514525996454,4.0863828006678835,3.079459845580832,2.2043116198400243,1.4665040825504614,0.8716031928168678,0.42517490974396915,0.1327851924367746,0.0,0.032385291538379976,0.23550702615690502,0.6149311629602103,1.1762236610532057,1.9249504795408205,2.866677577527656,4.006970914118642,5.351396448418583,6.905520139532419,8.674907946564856,10.665125828620598,12.881739744804571,15.330315654221597,18.01641951597649,20.945617289174066,24.12347493291915,model A,0.3246683467056362,1.1872406693119384,0.8427751467129794,beta,v1.5,0.0691925871618958,-0.05130306042792365,39.0,93.0,-66.95899305584786
5,Extravator Botchik,28.0,3.5100053029892213,10.723807954990892,17.609254757792666,24.171983968801257,30.417633845423374,36.35184264506573,41.98024862513503,47.308490043037985,52.34220515618132,57.08703222197171,61.54860949781592,65.7325752411206,69.64456770929252,73.29022515973833,76.67518584986477,79.80508803707855,82.68556997878639,85.32226993239499,87.72082615531107,89.88687690494132,91.82606043869245,93.54401501397119,95.04637888818425,96.33879031873832,97.42688756304013,98.31630887849639,99.01269252251376,99.52167675249905,99.84889982585888,100.0,99.98061553232913,99.79638468025296,99.45294570117818,98.95593685251156,98.31099639165973,97.52376257602948,96.59987366302748,95.54496791006044,94.36468357453506,93.06465891385811,91.65053218543623,90.12794164667616,88.5025255549846,86.77992216776825,84.96576974243393,83.06570653638818,81.08537080703779,79.03040081178952,76.90643480804995,74.71911105322592,72.4740678047241,70.17694331995115,67.83337585631382,65.4490036712189,63.029465022072905,60.580398166282734,58.10744136125503,55.61623286439645,53.112410933113765,50.60161382481368,48.0894797969029,45.581647106788225,43.083754011876145,40.60143876957351,38.1403396372871,35.706094872423414,33.30434273238945,30.940721474591697,28.620869356436874,26.350424635331755,24.135025568683126,21.980310413897474,19.89191742838182,17.87548486954264,15.936650994786634,14.081054061520762,12.314332327151327,10.64212404908528,9.07006748472959,7.603800891490456,6.248962526774933,5.011190647989644,3.89612351254112,2.9093993778364307,2.056656501282016,1.3435331402845843,0.7756675522510298,0.3586979945879726,0.09826272470202892,0.0,0.06954807788859886,0.31254521577453853,0.7346296710644262,1.3414397011651735,2.138613563483288,3.1317895154256883,4.326605814398768,5.728700717809555,7.343712483064653,9.177279367570664,model D,0.503517318477807,1.3384194638709896,0.7502244405190127,beta,v1.5,0.020886883913323162,0.09441323274633487,6.0,2.0,66.96772126815583
6,Extrawidget Boterson,20.0,42.937300663990214,48.682031262500004,54.077556662515555,59.13121253956402,63.8503345691725,68.24225842686818,72.31431978817817,76.0738543286296,79.52819772374963,82.68468564906539,85.55065378010403,88.13343779239264,90.44037336145843,92.4787961628285,94.25604187203,95.77944616459006,97.05634471603582,98.09407320189442,98.899967297693,99.48136267895869,99.84559502121864,100.0,99.95191329082988,99.70867056923542,99.27760751074379,98.66605979088214,97.88136308517751,96.93085306915718,95.82186541834818,94.56173580827765,93.15779991447279,91.61739341246073,89.94785197776858,88.15651128592349,86.25070701245258,84.23777483288303,82.12505042274196,79.91986945755646,77.6295676128537,75.26148056416093,72.82294398700513,70.32129355691349,67.76386494941316,65.15799384003131,62.511015904295,59.83026681773141,57.123082255867686,54.39679789423101,51.65874940834841,48.91627247374716,46.17670276595426,43.44737596049697,40.735627732902316,38.048793758697556,35.394209713409744,32.77921127256598,30.21113411169357,27.697313906319433,25.24508633197094,22.86178706417499,20.554751778458964,18.331316150349803,16.198815855374747,14.164586569060884,12.235963966935405,10.420283724525449,8.724881517358037,7.157093020960486,5.724253910859824,4.433699862583236,3.2927665516577505,2.3087896536106776,1.4891048439689838,0.8410477982599859,0.3719541920106986,0.08915970074832164,0.0,0.11181076529274911,0.4319276721538163,0.9676863961102921,1.726422612689444,2.7154719974182058,3.9421702258239275,5.413852973433529,7.137855915774372,9.121514728373372,11.37216508675789,13.89714266645492,16.703783142991593,19.79942219189513,23.19139548869259,26.88703870891118,30.893687528077983,35.218677621720204,39.869344665364885,44.85302433453927,50.177052304770406,55.84876425158561,61.87549585051182,68.26458277707613,model D,0.4966242254265436,1.2594748290480915,0.9246837512511175,gamma,windows 2000,0.3553660262837721,-0.2787416512990348,60.0,74.0,-81.81698207620445
7,Firevator Botsky I,48.0,64.44284918547217,66.8249176560101,69.2082082424707,71.57939635551855,73.92552578594348,76.23403642219813,78.49279061628526,80.69009819799436,82.81474013748804,84.85599085623797,86.80363918631035,88.64800797800098,90.37997235581989,91.99097662282566,93.47304981330915,94.81881989382688,96.02152661258417,97.0750329971674,97.97383550062648,98.71307279590627,99.28853321862815,99.69666085822058,99.93456029739988,100.0,99.89141434715233,99.60790432181471,99.14923684165045,98.51584274025637,97.70881339674105,96.72989601365212,95.58148754325344,94.2666272621518,92.78898799427313,91.15286598218833,89.36316940678874,87.4254055553111,85.34566663771207,83.13061425139252,80.78746249427113,78.32395972620779,75.74836897877641,73.06944701338755,70.29642202776031,67.43897001074406,64.50718974548957,61.51157646096992,58.462994131850856,55.3726464267106,52.2520463046096,49.112984260009455,45.96749521604176,42.82782406612633,39.70638986393884,36.61574866172887,33.56855499698608,30.577522027457544,27.655380314513422,24.814835254863045,22.068523160620064,19.428965987717415,16.90852471267198,14.519351357698232,12.273339664172303,10.182074414445212,8.256779402005304,6.508264049991125,4.946868678052924,3.5824084175645248,2.424115775184791,1.4805818447672894,0.7596961676215674,0.26858524112275517,0.013549675670924473,0.0,0.2323911148367734,0.714155394908736,1.44763443930196,2.4340094701686827,3.6732303797836408,5.1639434259516115,6.90341757576227,8.887469497696724,11.110387202082364,13.564852329898741,16.241861089929845,19.130643844269603,22.21858334217632,25.49113160227358,28.931725443104305,32.521700662033425,36.240204862498715,40.06410892961349,43.967917154115455,47.92367600467102,51.9008815485218,55.86638552048673,59.784300040309816,63.615900978360784,67.31952996968327,70.85049507639049,model A,0.4420119770360518,1.2974423629026806,0.8548826392703901,beta,v1.5,0.28999794955665237,-0.2874643183312555,37.0,31.0,53.07487657943744
8,Extrawalker Botberg Jr.,21.0,80.55280897570374,85.50941725882228,89.63205303698982,92.97823043976732,95.60446861029482,97.56618944791946,98.91762031885429,99.71170173486716,100.0,99.83262482531849,99.25815191169211,98.32355050060436,97.07411589299355,95.55340693612376,93.80318847848632,91.86337879273147,89.77200196663031,87.56514526206749,85.27692144206374,82.93943606582901,80.5827597518461,78.23490540898412,75.92181043564298,73.66732388692768,71.49319860985328,69.41908834657983,67.46254980567821,65.63904970142578,63.96197676113269,62.44265870049844,61.09038416699878,59.91242965130288,58.91409136672108,58.098722096682756,57.467773010244585,57.02084044562916,56.75571766179422,56.66845155803151,56.75340436159691,57.00332028337027,57.409397141545746,57.96136295335263,58.647557494805866,59.455018828488484,60.36957479936267,61.375939498611665,62.45781469551239,63.597996237339046,64.77848541729479,65.9806053104763,67.1851220778673,68.3723712383623,69.52238890882192,70.61504801215716,71.6301994534448,72.54781826407253,73.34815471391586,74.01189039154306,74.52029925245314,74.85541363534108,75.00019524639762,74.93871111163327,74.65631449723993,74.13983079797734,73.37774839359147,72.36041447326458,71.08023582809402,69.53188461160204,67.71250906827517,65.62194923013605,63.26295758134254,60.641424690820486,57.7666098129237,54.651376456125355,51.312432919743536,47.7705777986893,44.05095045625054,40.18328646490819,36.20217801517621,32.1473392924777,28.06387682204573,24.00256478186331,20.020125283623862,16.179513621727555,12.550208490306922,9.208507168283212,6.237825672454976,3.7290038786065662,1.7806156106674058,0.4992836978768343,0.0,0.40645040056264115,1.8513447681225754,4.476751885561453,8.434439347421883,13.886218425262776,21.00429390104522,29.97161886856432,40.98225450288533,54.241734797835264,model B,0.49298396807321193,1.190144230804286,0.7230267142110826,beta,v1.5,-0.024717817246681983,0.029162250491513348,51.0,0.0,67.38144764691597
9,Pullwidget Boterson,53.0,61.24967424259463,65.4125098389434,69.30825937161224,72.94239649492539,76.32039486320711,79.44772813078156,82.32986995197302,84.97229398110565,87.38047387250374,89.55988328049145,91.51599585939302,93.2542852635327,94.78022514723466,96.09928916482316,97.21695097062242,98.13868421895663,98.86996256415004,99.41625966052685,99.7830491624113,99.97580472412761,100.0,99.86110864435268,99.56460431150987,99.1159606557958,98.52065133153471,97.78414999305078,96.91193029466825,95.90946589071136,94.7822304355043,93.5356975833713,92.17534098863658,90.70663430562438,89.1350511886589,87.46606529206437,85.70515027016503,83.85777977728507,81.92942746774871,79.92556699588019,77.85167201600372,75.71321618244352,73.51567314952385,71.26451657156888,68.96522010290283,66.62325739784994,64.24410211073446,61.83322789588054,59.396108407612445,56.93821730025442,54.46502822813066,51.982014845565374,49.49465080688278,47.008409766407105,44.5287653784626,42.06119129737346,39.611161177463906,37.18414867305818,34.78562743848049,32.42107112805503,30.095953396106083,27.815747896957827,25.585928284934422,23.411968214360193,21.29934133955936,19.253521314856037,17.279981794574557,15.384196433039088,13.571638884573847,11.847782803503105,10.218101844151036,8.688069660841858,7.263159907899795,5.948846239649174,4.750602310414066,3.6739017745187197,2.724218286287373,1.9070255000442404,1.2277970701136063,0.6920066508196372,0.30512789648660615,0.07263446143860841,0.0,0.09269816649493551,0.35620261524762875,0.7959870005823646,1.4175249768233806,2.2262901982947483,3.2277563193207763,4.427396994225726,5.830685877333764,7.443096622969127,9.270102885456005,11.317178319118709,13.589796578281376,16.093431317268244,18.83355619040353,21.815644852011516,25.045170956416428,28.527608157942346,32.268430110913556,36.27311046965437,model B,0.20123743860587132,1.1160224909480583,0.6293941543366305,beta,v1.5,0.07011508710961806,-0.10884257812159226,67.0,91.0,-100.0
